,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['624.363kWh'],['4.028kWh/kW'],['-'],"['0,00 CHF']",['113.253kWh'],['182.466kWh'],['156.090kWh'],['Partial Month (4 days)']
1,['Sep 23'],['5.040MWh'],['4.335kWh/kW'],['-'],"['0,00 CHF']",['54.405kWh'],['219.813kWh'],['167.985kWh'],[]
2,['Aug 23'],['4.710MWh'],['3.921kWh/kW'],['-'],"['0,00 CHF']",['35.067kWh'],['244.749kWh'],['151.929kWh'],[]
3,['Jul 23'],['5.421MWh'],['4.513kWh/kW'],['-'],"['0,00 CHF']",['75.072kWh'],['236.982kWh'],['174.872kWh'],[]
4,['Jun 23'],['6.406MWh'],['5.511kWh/kW'],['-'],"['0,00 CHF']",['71.562kWh'],['244.560kWh'],['213.532kWh'],[]
5,['May 23'],['4.847MWh'],['4.035kWh/kW'],['-'],"['0,00 CHF']",['42.195kWh'],['246.144kWh'],['156.350kWh'],[]
6,['Apr 23'],['4.026MWh'],['3.463kWh/kW'],['-'],"['0,00 CHF']",['30.600kWh'],['250.218kWh'],['134.185kWh'],[]
7,['Mar 23'],['3.347MWh'],['2.786kWh/kW'],['-'],"['0,00 CHF']",['12.783kWh'],['213.888kWh'],['107.965kWh'],[]
8,['Feb 23'],['2.507MWh'],['2.310kWh/kW'],['-'],"['0,00 CHF']",['13.050kWh'],['174.978kWh'],['89.524kWh'],[]
9,['Jan 23'],['1.001MWh'],['0.834kWh/kW'],['-'],"['0,00 CHF']",['3.084kWh'],['102.309kWh'],['32.301kWh'],[]
10,['Dec 22'],['568.221kWh'],['0.473kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['87.267kWh'],['18.329kWh'],[]
11,['Nov 22'],['1.494MWh'],['1.285kWh/kW'],['-'],"['0,00 CHF']",['7.227kWh'],['123.936kWh'],['49.813kWh'],[]
12,['Oct 22'],['2.898MWh'],['2.412kWh/kW'],['-'],"['0,00 CHF']",['13.992kWh'],['191.754kWh'],['93.478kWh'],[]
13,['Sep 22'],['3.970MWh'],['3.415kWh/kW'],['-'],"['0,00 CHF']",['24.399kWh'],['220.320kWh'],['132.323kWh'],[]
14,['Aug 22'],['5.708MWh'],['4.751kWh/kW'],['-'],"['0,00 CHF']",['16.374kWh'],['241.092kWh'],['184.118kWh'],[]
15,['Jul 22'],['855.030kWh'],['4.413kWh/kW'],['-'],"['0,00 CHF']",['84.852kWh'],['208.110kWh'],['171.006kWh'],['Partial Month (5 days)']
16,['Jun 22'],['4.482MWh'],['5.029kWh/kW'],['-'],"['0,00 CHF']",['70.119kWh'],['252.651kWh'],['194.878kWh'],['Partial Month (23 days)']
17,['May 22'],['5.852MWh'],['4.872kWh/kW'],['-'],"['0,00 CHF']",['60.813kWh'],['262.203kWh'],['188.773kWh'],[]
18,['Apr 22'],['4.943MWh'],['4.252kWh/kW'],['-'],"['0,00 CHF']",['9.240kWh'],['256.374kWh'],['164.771kWh'],[]
