,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['453.297kWh'],['3.900kWh/kW'],['-'],"['0,00 CHF']",['113.253kWh'],['182.466kWh'],['151.099kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['1.266MWh'],['4.669kWh/kW'],['-'],"['0,00 CHF']",['134.979kWh'],['206.445kWh'],['180.923kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['890.262kWh'],['3.282kWh/kW'],['-'],"['0,00 CHF']",['54.405kWh'],['204.924kWh'],['127.180kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['1.013MWh'],['3.733kWh/kW'],['-'],"['0,00 CHF']",['67.686kWh'],['200.433kWh'],['144.646kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['1.455MWh'],['5.365kWh/kW'],['-'],"['0,00 CHF']",['188.823kWh'],['219.813kWh'],['207.908kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['890.640kWh'],['3.284kWh/kW'],['-'],"['0,00 CHF']",['35.067kWh'],['212.811kWh'],['127.234kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['996.672kWh'],['3.674kWh/kW'],['-'],"['0,00 CHF']",['43.773kWh'],['210.258kWh'],['142.381kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['1.334MWh'],['4.919kWh/kW'],['-'],"['0,00 CHF']",['144.114kWh'],['216.591kWh'],['190.624kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['1.198MWh'],['4.418kWh/kW'],['-'],"['0,00 CHF']",['86.565kWh'],['228.468kWh'],['171.211kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['1.070MWh'],['3.946kWh/kW'],['-'],"['0,00 CHF']",['95.637kWh'],['244.749kWh'],['152.912kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['994.392kWh'],['3.666kWh/kW'],['-'],"['0,00 CHF']",['101.622kWh'],['204.510kWh'],['142.056kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['1.317MWh'],['4.856kWh/kW'],['-'],"['0,00 CHF']",['126.612kWh'],['218.250kWh'],['188.163kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['1.238MWh'],['4.563kWh/kW'],['-'],"['0,00 CHF']",['75.072kWh'],['224.001kWh'],['176.812kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['1.358MWh'],['5.008kWh/kW'],['-'],"['0,00 CHF']",['121.293kWh'],['236.982kWh'],['194.053kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['1.227MWh'],['4.523kWh/kW'],['-'],"['0,00 CHF']",['71.562kWh'],['232.995kWh'],['175.275kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['1.370MWh'],['5.052kWh/kW'],['-'],"['0,00 CHF']",['132.426kWh'],['243.573kWh'],['195.769kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['1.588MWh'],['5.854kWh/kW'],['-'],"['0,00 CHF']",['206.433kWh'],['244.560kWh'],['226.845kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['1.634MWh'],['6.023kWh/kW'],['-'],"['0,00 CHF']",['198.126kWh'],['242.109kWh'],['233.405kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['1.640MWh'],['6.048kWh/kW'],['-'],"['0,00 CHF']",['197.319kWh'],['246.144kWh'],['234.349kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['1.308MWh'],['4.823kWh/kW'],['-'],"['0,00 CHF']",['46.581kWh'],['244.860kWh'],['186.870kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['776.247kWh'],['2.862kWh/kW'],['-'],"['0,00 CHF']",['42.195kWh'],['204.051kWh'],['110.892kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['767.877kWh'],['2.831kWh/kW'],['-'],"['0,00 CHF']",['65.229kWh'],['165.822kWh'],['109.696kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['1.260MWh'],['4.644kWh/kW'],['-'],"['0,00 CHF']",['108.456kWh'],['238.980kWh'],['179.970kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['1.014MWh'],['3.739kWh/kW'],['-'],"['0,00 CHF']",['57.126kWh'],['205.125kWh'],['144.895kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['801.777kWh'],['2.956kWh/kW'],['-'],"['0,00 CHF']",['30.600kWh'],['189.495kWh'],['114.539kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['801.144kWh'],['2.954kWh/kW'],['-'],"['0,00 CHF']",['35.493kWh'],['218.658kWh'],['114.449kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['1.151MWh'],['4.244kWh/kW'],['-'],"['0,00 CHF']",['47.409kWh'],['250.218kWh'],['164.442kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['854.208kWh'],['3.149kWh/kW'],['-'],"['0,00 CHF']",['61.911kWh'],['202.554kWh'],['122.029kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['696.045kWh'],['2.566kWh/kW'],['-'],"['0,00 CHF']",['26.505kWh'],['213.888kWh'],['99.435kWh'],['20/03/23 - 26/03/23']
