,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['26/08/19'],['137.211kWh'],['3.898kWh/kW'],['-'],['16.559kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 00:09 UTC+2:00']
1,['25/08/19'],['56.355kWh'],['1.601kWh/kW'],['-'],['13.976kW'],['12:40PM'],['Cloudy'],,['Updated 09:41 UTC+2:00']
2,['24/08/19'],['133.247kWh'],['3.785kWh/kW'],['-'],['18.036kW'],['2:30PM'],['Mostly Cloudy'],,['Updated 10:01 UTC+2:00']
3,['23/08/19'],['104.345kWh'],['2.964kWh/kW'],['-'],['17.934kW'],['2:15PM'],['Mostly Cloudy'],,['Updated 08:02 UTC+2:00']
4,['22/08/19'],['0.000kWh'],['0.000kWh/kW'],['-'],['11.947kW'],['4:45PM'],['Not Sure'],,['Updated 23:40 UTC+2:00']
5,['21/08/19'],['16.536kWh'],['0.470kWh/kW'],['-'],['11.270kW'],['9:20AM'],['Cloudy'],,['Updated 17:02 UTC+2:00']
6,['20/08/19'],['22.400kWh'],['0.636kWh/kW'],['-'],['5.612kW'],['11:50AM'],['Showers'],,['Updated 08:19 UTC+2:00']
7,['19/08/19'],['76.087kWh'],['2.162kWh/kW'],['-'],['20.738kW'],['1:20PM'],['Cloudy'],,['Updated 06:09 UTC+2:00']
8,['18/08/19'],['143.871kWh'],['4.087kWh/kW'],['-'],['20.810kW'],['3:05PM'],['Partly Cloudy'],,['Updated 06:46 UTC+2:00']
9,['17/08/19'],['119.069kWh'],['3.383kWh/kW'],['-'],['21.700kW'],['3:15PM'],['Mostly Cloudy'],,['Updated 00:07 UTC+2:00']
10,['16/08/19'],['150.701kWh'],['4.281kWh/kW'],['-'],['21.227kW'],['2:30PM'],['Partly Cloudy'],,['Updated 05:34 UTC+2:00']
11,['15/08/19'],['126.497kWh'],['3.594kWh/kW'],['-'],['22.849kW'],['2:55PM'],['Mostly Cloudy'],,['Updated 05:57 UTC+2:00']
12,['14/08/19'],['24.789kWh'],['0.704kWh/kW'],['-'],['16.951kW'],['12:45PM'],['Cloudy'],,['Updated 00:05 UTC+2:00']
13,['13/08/19'],['136.568kWh'],['3.880kWh/kW'],['-'],['22.591kW'],['2:30PM'],['Mostly Cloudy'],,['Updated 05:32 UTC+2:00']
14,['12/08/19'],['60.677kWh'],['1.724kWh/kW'],['-'],['20.964kW'],['1:10PM'],['Cloudy'],,['Updated 01:08 UTC+2:00']
15,['11/08/19'],['116.888kWh'],['3.321kWh/kW'],['-'],['20.903kW'],['1:45PM'],['Mostly Cloudy'],,['Updated 00:08 UTC+2:00']
16,['10/08/19'],['84.256kWh'],['2.394kWh/kW'],['-'],['20.699kW'],['2:25PM'],['Cloudy'],,['Updated 05:31 UTC+2:00']
17,['4 DAY GAP'],[],[],[],[],[],[],,[]
18,['05/08/19'],['155.618kWh'],['4.421kWh/kW'],['-'],['18.984kW'],['2:20PM'],['Partly Cloudy'],,['Updated 00:08 UTC+2:00']
19,['04/08/19'],['162.284kWh'],['4.610kWh/kW'],['-'],['18.704kW'],['2:25PM'],['Partly Cloudy'],,['Updated 06:06 UTC+2:00']
20,['03/08/19'],['133.166kWh'],['3.783kWh/kW'],['-'],['16.976kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 00:06 UTC+2:00']
21,['02/08/19'],['134.308kWh'],['3.816kWh/kW'],['-'],['22.850kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 06:07 UTC+2:00']
22,['01/08/19'],['3.504kWh'],['0.100kWh/kW'],['-'],['3.348kW'],['6:15PM'],['Showers'],,['Updated 06:11 UTC+2:00']
23,['31/07/19'],['134.063kWh'],['3.809kWh/kW'],['-'],['22.608kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 00:07 UTC+2:00']
24,['30/07/19'],['140.264kWh'],['3.985kWh/kW'],['-'],['22.068kW'],['3:05PM'],['Mostly Cloudy'],,['Updated 06:08 UTC+2:00']
25,['29/07/19'],['161.192kWh'],['4.579kWh/kW'],['-'],['23.857kW'],['12:55PM'],['Partly Cloudy'],,['Updated 06:11 UTC+2:00']
