,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Aug 19'],['2.098MWh'],['2.710kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['162.284kWh'],['95.380kWh'],['Partial Month (22 days)']
1,['Jul 19'],['3.442MWh'],['3.492kWh/kW'],['-'],"['0,00 CHF']",['10.219kWh'],['194.746kWh'],['122.934kWh'],['Partial Month (28 days)']
2,['Jun 19'],['3.655MWh'],['3.581kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['192.845kWh'],['126.046kWh'],['Partial Month (29 days)']
3,['May 19'],['3.802MWh'],['3.484kWh/kW'],['-'],"['0,00 CHF']",['7.485kWh'],['200.292kWh'],['122.634kWh'],[]
4,['Apr 19'],['3.432MWh'],['3.250kWh/kW'],['-'],"['0,00 CHF']",['39.838kWh'],['179.115kWh'],['114.404kWh'],[]
5,['Mar 19'],['2.275MWh'],['2.155kWh/kW'],['-'],"['0,00 CHF']",['0.121kWh'],['132.866kWh'],['75.848kWh'],['Partial Month (30 days)']
6,['Feb 19'],['1.400MWh'],['1.420kWh/kW'],['-'],"['0,00 CHF']",['1.863kWh'],['77.848kWh'],['49.992kWh'],[]
7,['Nov 18'],['305.861kWh'],['0.790kWh/kW'],['-'],"['0,00 CHF']",['1.886kWh'],['39.719kWh'],['27.805kWh'],['Partial Month (11 days)']
8,['Oct 18'],['1.644MWh'],['1.507kWh/kW'],['-'],"['0,00 CHF']",['15.513kWh'],['81.998kWh'],['53.033kWh'],[]
9,['Sep 18'],['2.884MWh'],['2.731kWh/kW'],['-'],"['0,00 CHF']",['55.658kWh'],['133.066kWh'],['96.120kWh'],[]
10,['Aug 18'],['3.881MWh'],['3.557kWh/kW'],['-'],"['0,00 CHF']",['42.617kWh'],['161.156kWh'],['125.189kWh'],[]
11,['Jul 18'],['4.712MWh'],['4.318kWh/kW'],['-'],"['0,00 CHF']",['64.179kWh'],['192.597kWh'],['151.984kWh'],[]
12,['Jun 18'],['4.790MWh'],['4.536kWh/kW'],['-'],"['0,00 CHF']",['66.084kWh'],['205.121kWh'],['159.672kWh'],[]
13,['May 18'],['3.839MWh'],['3.518kWh/kW'],['-'],"['0,00 CHF']",['28.482kWh'],['177.387kWh'],['123.849kWh'],[]
14,['Apr 18'],['3.213MWh'],['3.043kWh/kW'],['-'],"['0,00 CHF']",['19.197kWh'],['167.917kWh'],['107.107kWh'],[]
15,['Mar 18'],['1.553MWh'],['1.423kWh/kW'],['-'],"['0,00 CHF']",['2.233kWh'],['118.268kWh'],['50.085kWh'],[]
16,['Feb 18'],['820.027kWh'],['0.832kWh/kW'],['-'],"['0,00 CHF']",['1.846kWh'],['64.412kWh'],['29.286kWh'],[]
17,['Jan 18'],['548.088kWh'],['0.502kWh/kW'],['-'],"['0,00 CHF']",['3.196kWh'],['40.739kWh'],['17.680kWh'],[]
18,['Dec 17'],['387.311kWh'],['0.355kWh/kW'],['-'],"['0,00 CHF']",['1.660kWh'],['28.370kWh'],['12.493kWh'],[]
19,['Nov 17'],['609.934kWh'],['0.578kWh/kW'],['-'],"['0,00 CHF']",['3.871kWh'],['45.374kWh'],['20.331kWh'],[]
20,['Oct 17'],['1.603MWh'],['1.469kWh/kW'],['-'],"['0,00 CHF']",['12.543kWh'],['76.442kWh'],['51.704kWh'],[]
21,['Sep 17'],['2.156MWh'],['2.041kWh/kW'],['-'],"['0,00 CHF']",['3.241kWh'],['116.366kWh'],['71.853kWh'],[]
22,['Aug 17'],['3.340MWh'],['3.061kWh/kW'],['-'],"['0,00 CHF']",['13.192kWh'],['160.073kWh'],['107.732kWh'],[]
23,['Jul 17'],['2.943MWh'],['2.697kWh/kW'],['-'],"['0,00 CHF']",['0.155kWh'],['186.839kWh'],['94.929kWh'],[]
24,['Jun 17'],['3.691MWh'],['3.496kWh/kW'],['-'],"['0,00 CHF']",['0.845kWh'],['196.146kWh'],['123.046kWh'],[]
25,['May 17'],['4.078MWh'],['3.738kWh/kW'],['-'],"['0,00 CHF']",['34.433kWh'],['189.458kWh'],['131.562kWh'],[]
26,['Apr 17'],['3.642MWh'],['3.449kWh/kW'],['-'],"['0,00 CHF']",['6.602kWh'],['184.070kWh'],['121.391kWh'],[]
27,['Mar 17'],['2.471MWh'],['2.265kWh/kW'],['-'],"['0,00 CHF']",['8.547kWh'],['128.411kWh'],['79.721kWh'],[]
28,['Feb 17'],['1.120MWh'],['1.137kWh/kW'],['-'],"['0,00 CHF']",['2.622kWh'],['83.311kWh'],['40.008kWh'],[]
29,['Jan 17'],['490.975kWh'],['0.450kWh/kW'],['-'],"['0,00 CHF']",['4.995kWh'],['32.983kWh'],['15.837kWh'],[]
30,['Dec 16'],['477.138kWh'],['0.437kWh/kW'],['-'],"['0,00 CHF']",['4.347kWh'],['30.456kWh'],['15.391kWh'],[]
31,['Nov 16'],['662.292kWh'],['0.627kWh/kW'],['-'],"['0,00 CHF']",['6.695kWh'],['42.842kWh'],['22.076kWh'],[]
32,['Oct 16'],['233.667kWh'],['0.737kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['58.588kWh'],['25.963kWh'],['Partial Month (9 days)']
