,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2019-35'],['137.211kWh'],['3.898kWh/kW'],['-'],"['0,00 CHF']",['137.211kWh'],['137.211kWh'],['137.211kWh'],['26/08/19 - 26/08/19']
1,['2019-34'],['408.970kWh'],['1.660kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['133.247kWh'],['58.424kWh'],['19/08/19 - 25/08/19']
2,['2019-33'],['762.172kWh'],['3.093kWh/kW'],['-'],"['0,00 CHF']",['24.789kWh'],['150.701kWh'],['108.881kWh'],['12/08/19 - 18/08/19']
3,['2019-32'],['356.762kWh'],['3.379kWh/kW'],['-'],"['0,00 CHF']",['84.256kWh'],['155.618kWh'],['118.920kWh'],['05/08/19 - 11/08/19']
4,['2019-31'],['868.781kWh'],['3.526kWh/kW'],['-'],"['0,00 CHF']",['3.504kWh'],['162.284kWh'],['124.111kWh'],['29/07/19 - 04/08/19']
5,['2019-30'],['912.016kWh'],['3.701kWh/kW'],['-'],"['0,00 CHF']",['42.766kWh'],['165.292kWh'],['130.288kWh'],['22/07/19 - 28/07/19']
6,['2019-29'],['841.963kWh'],['3.417kWh/kW'],['-'],"['0,00 CHF']",['10.219kWh'],['181.279kWh'],['120.280kWh'],['15/07/19 - 21/07/19']
7,['2019-28'],['807.995kWh'],['3.279kWh/kW'],['-'],"['0,00 CHF']",['17.690kWh'],['194.746kWh'],['115.427kWh'],['08/07/19 - 14/07/19']
8,['2019-27'],['444.679kWh'],['3.158kWh/kW'],['-'],"['0,00 CHF']",['28.291kWh'],['160.118kWh'],['111.169kWh'],['01/07/19 - 07/07/19']
9,['2019-26'],['829.069kWh'],['3.926kWh/kW'],['-'],"['0,00 CHF']",['0.178kWh'],['171.541kWh'],['138.178kWh'],['24/06/19 - 30/06/19']
10,['2019-25'],['963.223kWh'],['3.909kWh/kW'],['-'],"['0,00 CHF']",['87.860kWh'],['186.991kWh'],['137.603kWh'],['17/06/19 - 23/06/19']
11,['2019-24'],['877.428kWh'],['3.561kWh/kW'],['-'],"['0,00 CHF']",['33.194kWh'],['191.532kWh'],['125.346kWh'],['10/06/19 - 16/06/19']
12,['2019-23'],['630.075kWh'],['2.557kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['192.845kWh'],['90.010kWh'],['03/06/19 - 09/06/19']
13,['2019-22'],['965.643kWh'],['3.919kWh/kW'],['-'],"['0,00 CHF']",['32.178kWh'],['195.570kWh'],['137.949kWh'],['27/05/19 - 02/06/19']
14,['2019-21'],['809.592kWh'],['3.286kWh/kW'],['-'],"['0,00 CHF']",['7.485kWh'],['196.948kWh'],['115.656kWh'],['20/05/19 - 26/05/19']
15,['2019-20'],['985.802kWh'],['4.001kWh/kW'],['-'],"['0,00 CHF']",['79.195kWh'],['200.292kWh'],['140.828kWh'],['13/05/19 - 19/05/19']
16,['2019-19'],['814.020kWh'],['3.304kWh/kW'],['-'],"['0,00 CHF']",['21.990kWh'],['162.027kWh'],['116.288kWh'],['06/05/19 - 12/05/19']
17,['2019-18'],['896.615kWh'],['3.639kWh/kW'],['-'],"['0,00 CHF']",['69.145kWh'],['179.115kWh'],['128.087kWh'],['29/04/19 - 05/05/19']
18,['2019-17'],['757.564kWh'],['3.074kWh/kW'],['-'],"['0,00 CHF']",['85.797kWh'],['143.372kWh'],['108.223kWh'],['22/04/19 - 28/04/19']
19,['2019-16'],['915.821kWh'],['3.717kWh/kW'],['-'],"['0,00 CHF']",['78.867kWh'],['159.181kWh'],['130.831kWh'],['15/04/19 - 21/04/19']
20,['2019-15'],['899.507kWh'],['3.651kWh/kW'],['-'],"['0,00 CHF']",['89.367kWh'],['153.761kWh'],['128.501kWh'],['08/04/19 - 14/04/19']
21,['2019-14'],['544.803kWh'],['2.211kWh/kW'],['-'],"['0,00 CHF']",['39.838kWh'],['121.634kWh'],['77.829kWh'],['01/04/19 - 07/04/19']
22,['2019-13'],['734.952kWh'],['3.480kWh/kW'],['-'],"['0,00 CHF']",['104.455kWh'],['132.866kWh'],['122.492kWh'],['25/03/19 - 31/03/19']
23,['2019-12'],['623.489kWh'],['2.530kWh/kW'],['-'],"['0,00 CHF']",['0.121kWh'],['120.904kWh'],['89.069kWh'],['18/03/19 - 24/03/19']
24,['2019-11'],['444.767kWh'],['1.805kWh/kW'],['-'],"['0,00 CHF']",['24.864kWh'],['99.718kWh'],['63.538kWh'],['11/03/19 - 17/03/19']
25,['2019-10'],['322.167kWh'],['1.308kWh/kW'],['-'],"['0,00 CHF']",['26.402kWh'],['95.279kWh'],['46.023kWh'],['04/03/19 - 10/03/19']
26,['2019-09'],['457.502kWh'],['1.857kWh/kW'],['-'],"['0,00 CHF']",['25.550kWh'],['77.848kWh'],['65.357kWh'],['25/02/19 - 03/03/19']
27,['2019-08'],['465.965kWh'],['1.891kWh/kW'],['-'],"['0,00 CHF']",['62.363kWh'],['76.176kWh'],['66.566kWh'],['18/02/19 - 24/02/19']
28,['2019-07'],['400.124kWh'],['1.624kWh/kW'],['-'],"['0,00 CHF']",['35.769kWh'],['64.182kWh'],['57.160kWh'],['11/02/19 - 17/02/19']
29,['2019-06'],['190.197kWh'],['0.772kWh/kW'],['-'],"['0,00 CHF']",['12.930kWh'],['43.417kWh'],['27.171kWh'],['04/02/19 - 10/02/19']
30,['2019-05'],['36.076kWh'],['0.342kWh/kW'],['-'],"['0,00 CHF']",['1.863kWh'],['17.433kWh'],['12.025kWh'],['01/02/19 - 03/02/19']
31,['2018-45'],['169.946kWh'],['0.690kWh/kW'],['-'],"['0,00 CHF']",['1.886kWh'],['38.462kWh'],['24.278kWh'],['05/11/18 - 11/11/18']
32,['2018-44'],['227.286kWh'],['0.922kWh/kW'],['-'],"['0,00 CHF']",['17.051kWh'],['41.092kWh'],['32.469kWh'],['29/10/18 - 04/11/18']
33,['2018-43'],['294.747kWh'],['1.196kWh/kW'],['-'],"['0,00 CHF']",['15.513kWh'],['58.315kWh'],['42.106kWh'],['22/10/18 - 28/10/18']
34,['2018-42'],['405.497kWh'],['1.646kWh/kW'],['-'],"['0,00 CHF']",['52.155kWh'],['62.569kWh'],['57.928kWh'],['15/10/18 - 21/10/18']
35,['2018-41'],['420.971kWh'],['1.708kWh/kW'],['-'],"['0,00 CHF']",['49.913kWh'],['67.436kWh'],['60.138kWh'],['08/10/18 - 14/10/18']
36,['2018-40'],['431.462kWh'],['1.751kWh/kW'],['-'],"['0,00 CHF']",['30.965kWh'],['81.998kWh'],['61.637kWh'],['01/10/18 - 07/10/18']
37,['2018-39'],['632.240kWh'],['2.566kWh/kW'],['-'],"['0,00 CHF']",['65.828kWh'],['119.788kWh'],['90.320kWh'],['24/09/18 - 30/09/18']
