,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['70.428kWh'],['2.001kWh/kW'],['-'],['14.250kW'],['11:50AM'],['Mostly Cloudy'],,['Updated 14:12 UTC+2:00']
1,['03/10/23'],['87.978kWh'],['2.499kWh/kW'],['-'],['14.745kW'],['2:20PM'],['Cloudy'],,['Updated 00:20 UTC+2:00']
2,['02/10/23'],['106.806kWh'],['3.034kWh/kW'],['-'],['14.070kW'],['2:25PM'],['Mostly Cloudy'],,['Updated 00:14 UTC+2:00']
3,['01/10/23'],['103.483kWh'],['2.940kWh/kW'],['-'],['13.650kW'],['1:15PM'],['Mostly Cloudy'],,['Updated 20:33 UTC+2:00']
4,['30/09/23'],['87.463kWh'],['2.485kWh/kW'],['-'],['16.500kW'],['10:35AM'],['Cloudy'],,['Updated 06:43 UTC+2:00']
5,['29/09/23'],['103.110kWh'],['2.929kWh/kW'],['-'],['18.580kW'],['1:25PM'],['Mostly Cloudy'],,['Updated 20:24 UTC+2:00']
6,['28/09/23'],['98.883kWh'],['2.809kWh/kW'],['-'],['15.015kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 00:30 UTC+2:00']
7,['27/09/23'],['106.406kWh'],['3.023kWh/kW'],['-'],['15.420kW'],['10:45AM'],['Mostly Cloudy'],,['Updated 20:20 UTC+2:00']
8,['26/09/23'],['117.816kWh'],['3.347kWh/kW'],['-'],['15.108kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 20:40 UTC+2:00']
9,['25/09/23'],['120.074kWh'],['3.411kWh/kW'],['-'],['15.360kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 00:22 UTC+2:00']
10,['24/09/23'],['131.396kWh'],['3.733kWh/kW'],['-'],['17.736kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 20:33 UTC+2:00']
11,['23/09/23'],['85.429kWh'],['2.427kWh/kW'],['-'],['21.186kW'],['1:25PM'],['Cloudy'],,['Updated 00:14 UTC+2:00']
