,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['368.695kWh'],['2.618kWh/kW'],['-'],"['0,00 CHF']",['70.428kWh'],['106.806kWh'],['92.173kWh'],['Partial Month (4 days)']
1,['Sep 23'],['3.282MWh'],['3.108kWh/kW'],['-'],"['0,00 CHF']",['21.684kWh'],['151.583kWh'],['109.387kWh'],[]
2,['Aug 23'],['3.639MWh'],['3.335kWh/kW'],['-'],"['0,00 CHF']",['42.598kWh'],['161.535kWh'],['117.381kWh'],[]
3,['Jul 23'],['4.281MWh'],['3.923kWh/kW'],['-'],"['0,00 CHF']",['20.222kWh'],['185.318kWh'],['138.090kWh'],[]
4,['Jun 23'],['4.122MWh'],['4.039kWh/kW'],['-'],"['0,00 CHF']",['16.798kWh'],['191.033kWh'],['142.154kWh'],['Partial Month (29 days)']
5,['May 23'],['4.042MWh'],['3.704kWh/kW'],['-'],"['0,00 CHF']",['62.537kWh'],['182.543kWh'],['130.393kWh'],[]
6,['Apr 23'],['2.979MWh'],['2.821kWh/kW'],['-'],"['0,00 CHF']",['35.497kWh'],['150.972kWh'],['99.307kWh'],[]
7,['Mar 23'],['2.049MWh'],['1.878kWh/kW'],['-'],"['0,00 CHF']",['15.191kWh'],['113.224kWh'],['66.097kWh'],[]
8,['Feb 23'],['1.383MWh'],['1.404kWh/kW'],['-'],"['0,00 CHF']",['26.027kWh'],['77.308kWh'],['49.409kWh'],[]
9,['Jan 23'],['497.230kWh'],['0.456kWh/kW'],['-'],"['0,00 CHF']",['5.019kWh'],['26.685kWh'],['16.039kWh'],[]
10,['Dec 22'],['451.709kWh'],['0.414kWh/kW'],['-'],"['0,00 CHF']",['0.126kWh'],['25.524kWh'],['14.571kWh'],[]
11,['Nov 22'],['766.993kWh'],['0.751kWh/kW'],['-'],"['0,00 CHF']",['8.551kWh'],['37.774kWh'],['26.448kWh'],['Partial Month (29 days)']
12,['Oct 22'],['1.423MWh'],['1.304kWh/kW'],['-'],"['0,00 CHF']",['7.674kWh'],['74.390kWh'],['45.896kWh'],[]
13,['Sep 22'],['2.493MWh'],['2.361kWh/kW'],['-'],"['0,00 CHF']",['29.149kWh'],['135.106kWh'],['83.114kWh'],[]
14,['Aug 22'],['3.897MWh'],['3.571kWh/kW'],['-'],"['0,00 CHF']",['50.438kWh'],['164.030kWh'],['125.695kWh'],[]
15,['Jul 22'],['4.959MWh'],['4.545kWh/kW'],['-'],"['0,00 CHF']",['48.103kWh'],['192.439kWh'],['159.980kWh'],[]
16,['Jun 22'],['4.431MWh'],['4.196kWh/kW'],['-'],"['0,00 CHF']",['63.617kWh'],['198.915kWh'],['147.686kWh'],[]
17,['May 22'],['4.358MWh'],['3.994kWh/kW'],['-'],"['0,00 CHF']",['52.903kWh'],['188.330kWh'],['140.575kWh'],[]
18,['Apr 22'],['3.458MWh'],['3.274kWh/kW'],['-'],"['0,00 CHF']",['37.528kWh'],['170.695kWh'],['115.255kWh'],[]
19,['Mar 22'],['2.573MWh'],['2.358kWh/kW'],['-'],"['0,00 CHF']",['36.998kWh'],['117.026kWh'],['83.008kWh'],[]
20,['Feb 22'],['1.319MWh'],['1.338kWh/kW'],['-'],"['0,00 CHF']",['17.319kWh'],['87.230kWh'],['47.100kWh'],[]
21,['Jan 22'],['776.153kWh'],['0.711kWh/kW'],['-'],"['0,00 CHF']",['14.062kWh'],['44.711kWh'],['25.037kWh'],[]
22,['Dec 21'],['372.793kWh'],['0.378kWh/kW'],['-'],"['0,00 CHF']",['0.314kWh'],['23.347kWh'],['13.314kWh'],['Partial Month (28 days)']
23,['Nov 21'],['700.975kWh'],['0.664kWh/kW'],['-'],"['0,00 CHF']",['10.398kWh'],['41.963kWh'],['23.365kWh'],[]
24,['Oct 21'],['1.333MWh'],['1.306kWh/kW'],['-'],"['0,00 CHF']",['7.171kWh'],['74.734kWh'],['45.968kWh'],['Partial Month (29 days)']
25,['Sep 21'],['2.560MWh'],['2.424kWh/kW'],['-'],"['0,00 CHF']",['31.418kWh'],['132.174kWh'],['85.333kWh'],[]
26,['Aug 21'],['3.672MWh'],['3.365kWh/kW'],['-'],"['0,00 CHF']",['27.719kWh'],['148.346kWh'],['118.454kWh'],[]
27,['Jul 21'],['3.768MWh'],['3.453kWh/kW'],['-'],"['0,00 CHF']",['30.705kWh'],['184.126kWh'],['121.546kWh'],[]
28,['Jun 21'],['4.304MWh'],['4.075kWh/kW'],['-'],"['0,00 CHF']",['85.915kWh'],['191.279kWh'],['143.455kWh'],[]
29,['May 21'],['3.711MWh'],['3.514kWh/kW'],['-'],"['0,00 CHF']",['21.532kWh'],['201.162kWh'],['123.697kWh'],['Partial Month (30 days)']
30,['Apr 21'],['3.831MWh'],['3.628kWh/kW'],['-'],"['0,00 CHF']",['30.044kWh'],['170.281kWh'],['127.685kWh'],[]
31,['Mar 21'],['2.622MWh'],['2.403kWh/kW'],['-'],"['0,00 CHF']",['33.551kWh'],['128.546kWh'],['84.596kWh'],[]
32,['Feb 21'],['1.139MWh'],['1.156kWh/kW'],['-'],"['0,00 CHF']",['14.032kWh'],['70.407kWh'],['40.675kWh'],[]
33,['Jan 21'],['611.884kWh'],['0.561kWh/kW'],['-'],"['0,00 CHF']",['5.054kWh'],['34.006kWh'],['19.738kWh'],[]
34,['Dec 20'],['519.887kWh'],['0.476kWh/kW'],['-'],"['0,00 CHF']",['2.049kWh'],['30.008kWh'],['16.770kWh'],[]
35,['Nov 20'],['747.401kWh'],['0.708kWh/kW'],['-'],"['0,00 CHF']",['0.983kWh'],['43.777kWh'],['24.913kWh'],[]
36,['Oct 20'],['1.243MWh'],['1.139kWh/kW'],['-'],"['0,00 CHF']",['0.006kWh'],['71.749kWh'],['40.089kWh'],[]
37,['Sep 20'],['2.648MWh'],['2.507kWh/kW'],['-'],"['0,00 CHF']",['28.825kWh'],['136.796kWh'],['88.256kWh'],[]
38,['Aug 20'],['3.233MWh'],['3.061kWh/kW'],['-'],"['0,00 CHF']",['18.856kWh'],['166.270kWh'],['107.751kWh'],['Partial Month (30 days)']
39,['Jul 20'],['3.408MWh'],['3.227kWh/kW'],['-'],"['0,00 CHF']",['3.217kWh'],['192.810kWh'],['113.586kWh'],['Partial Month (30 days)']
40,['Jun 20'],['3.599MWh'],['3.408kWh/kW'],['-'],"['0,00 CHF']",['3.212kWh'],['191.617kWh'],['119.956kWh'],[]
41,['May 20'],['4.287MWh'],['3.929kWh/kW'],['-'],"['0,00 CHF']",['22.060kWh'],['204.937kWh'],['138.288kWh'],[]
42,['Apr 20'],['3.700MWh'],['3.504kWh/kW'],['-'],"['0,00 CHF']",['33.959kWh'],['162.572kWh'],['123.337kWh'],[]
43,['Mar 20'],['2.473MWh'],['2.267kWh/kW'],['-'],"['0,00 CHF']",['13.738kWh'],['144.612kWh'],['79.782kWh'],[]
44,['Feb 20'],['1.282MWh'],['1.256kWh/kW'],['-'],"['0,00 CHF']",['1.815kWh'],['72.566kWh'],['44.222kWh'],[]
45,['Jan 20'],['667.242kWh'],['0.611kWh/kW'],['-'],"['0,00 CHF']",['0.439kWh'],['41.051kWh'],['21.523kWh'],[]
46,['Dec 19'],['512.734kWh'],['0.470kWh/kW'],['-'],"['0,00 CHF']",['0.093kWh'],['30.225kWh'],['16.539kWh'],[]
47,['Nov 19'],['618.678kWh'],['0.586kWh/kW'],['-'],"['0,00 CHF']",['0.127kWh'],['37.624kWh'],['20.622kWh'],[]
48,['Oct 19'],['1.046MWh'],['1.061kWh/kW'],['-'],"['0,00 CHF']",['0.135kWh'],['83.053kWh'],['37.356kWh'],['Partial Month (28 days)']
49,['Sep 19'],['2.711MWh'],['2.656kWh/kW'],['-'],"['0,00 CHF']",['48.975kWh'],['140.402kWh'],['93.482kWh'],['Partial Month (29 days)']
50,['Aug 19'],['3.823MWh'],['3.504kWh/kW'],['-'],"['0,00 CHF']",['8.480kWh'],['199.071kWh'],['123.334kWh'],[]
51,['Jul 19'],['4.345MWh'],['3.982kWh/kW'],['-'],"['0,00 CHF']",['9.102kWh'],['199.071kWh'],['140.149kWh'],[]
52,['Jun 19'],['4.237MWh'],['4.013kWh/kW'],['-'],"['0,00 CHF']",['3.644kWh'],['190.141kWh'],['141.249kWh'],[]
53,['May 19'],['3.994MWh'],['3.660kWh/kW'],['-'],"['0,00 CHF']",['22.385kWh'],['198.228kWh'],['128.832kWh'],[]
54,['Apr 19'],['3.410MWh'],['3.229kWh/kW'],['-'],"['0,00 CHF']",['39.597kWh'],['177.942kWh'],['113.656kWh'],[]
