,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['265.212kWh'],['2.511kWh/kW'],['-'],"['0,00 CHF']",['70.428kWh'],['106.806kWh'],['88.404kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['737.235kWh'],['2.992kWh/kW'],['-'],"['0,00 CHF']",['87.463kWh'],['120.074kWh'],['105.319kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['685.306kWh'],['2.781kWh/kW'],['-'],"['0,00 CHF']",['33.392kWh'],['131.396kWh'],['97.900kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['650.376kWh'],['2.639kWh/kW'],['-'],"['0,00 CHF']",['21.684kWh'],['121.414kWh'],['92.910kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['891.936kWh'],['3.620kWh/kW'],['-'],"['0,00 CHF']",['116.870kWh'],['139.448kWh'],['127.419kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['743.404kWh'],['3.017kWh/kW'],['-'],"['0,00 CHF']",['42.598kWh'],['151.583kWh'],['106.200kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['736.124kWh'],['2.987kWh/kW'],['-'],"['0,00 CHF']",['44.745kWh'],['148.661kWh'],['105.160kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['916.818kWh'],['3.721kWh/kW'],['-'],"['0,00 CHF']",['104.762kWh'],['149.649kWh'],['130.974kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['995.438kWh'],['4.040kWh/kW'],['-'],"['0,00 CHF']",['107.821kWh'],['161.535kWh'],['142.205kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['827.197kWh'],['3.357kWh/kW'],['-'],"['0,00 CHF']",['71.150kWh'],['159.903kWh'],['118.171kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['852.740kWh'],['3.461kWh/kW'],['-'],"['0,00 CHF']",['76.222kWh'],['170.676kWh'],['121.820kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['1.049MWh'],['4.259kWh/kW'],['-'],"['0,00 CHF']",['103.542kWh'],['179.479kWh'],['149.918kWh'],['17/07/23 - 23/07/23']
