,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023'],['26.644MWh'],['2.742kWh/kW'],['-'],"['0,00 CHF']",['5.019kWh'],['191.033kWh'],['96.534kWh'],['Partial Year (276 days)']
1,['2022'],['30.905MWh'],['2.412kWh/kW'],['-'],"['0,00 CHF']",['0.126kWh'],['198.915kWh'],['84.904kWh'],['Partial Year (364 days)']
2,['2021'],['28.625MWh'],['2.265kWh/kW'],['-'],"['0,00 CHF']",['0.314kWh'],['201.162kWh'],['79.736kWh'],['Partial Year (359 days)']
3,['2020'],['27.807MWh'],['2.170kWh/kW'],['-'],"['0,00 CHF']",['0.006kWh'],['204.937kWh'],['76.391kWh'],['Partial Year (364 days)']
4,['2019'],['29.423MWh'],['2.315kWh/kW'],['34.650kWh'],"['20,79 CHF']",['0.093kWh'],['199.071kWh'],['81.504kWh'],['Partial Year (361 days)']
5,['2018'],['29.972MWh'],['2.352kWh/kW'],['-'],"['0,00 CHF']",['1.142kWh'],['204.100kWh'],['82.795kWh'],['Partial Year (362 days)']
6,['2017'],['29.883MWh'],['2.332kWh/kW'],['-'],"['0,00 CHF']",['1.683kWh'],['196.804kWh'],['82.095kWh'],['Partial Year (364 days)']
7,['2016'],['28.199MWh'],['2.189kWh/kW'],['14.242MWh'],"[""8'544,96 CHF""]",['1.853kWh'],['201.378kWh'],['77.045kWh'],[]
8,['2015'],['30.865MWh'],['2.402kWh/kW'],['27.458MWh'],"[""16'474,98 CHF""]",['3.670kWh'],['204.425kWh'],['84.561kWh'],[]
9,['2014'],['2.814MWh'],['0.869kWh/kW'],['2.456MWh'],"[""1'473,86 CHF""]",['5.165kWh'],['78.130kWh'],['30.586kWh'],['Partial Year (92 days)']
