,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['24/07/23'],['51.135kWh'],['0.468kWh/kW'],['-'],['23.338kW'],['11:10AM'],['Showers'],,['Updated 23:31']
1,['23/07/23'],['278.034kWh'],['2.546kWh/kW'],['-'],['59.475kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 23:31']
2,['22/07/23'],['341.117kWh'],['3.124kWh/kW'],['-'],['54.154kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 01:49']
3,['21/07/23'],['201.823kWh'],['1.848kWh/kW'],['-'],['54.019kW'],['2:15PM'],['Cloudy'],,['Updated 04:38']
4,['20/07/23'],['350.498kWh'],['3.210kWh/kW'],['-'],['56.373kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 23:34']
5,['19/07/23'],['333.736kWh'],['3.056kWh/kW'],['-'],['49.659kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 02:39']
6,['18/07/23'],['253.024kWh'],['2.317kWh/kW'],['-'],['51.034kW'],['2:20PM'],['Cloudy'],,['Updated 00:34']
7,['17/07/23'],['319.913kWh'],['2.930kWh/kW'],['-'],['53.635kW'],['12:25PM'],['Mostly Cloudy'],,['Updated 01:54']
8,['16/07/23'],['251.789kWh'],['2.306kWh/kW'],['-'],['46.119kW'],['3:45PM'],['Cloudy'],,['Updated 04:24']
9,['15/07/23'],['316.560kWh'],['2.899kWh/kW'],['-'],['45.940kW'],['3:05PM'],['Mostly Cloudy'],,['Updated 03:19']
10,['14/07/23'],['361.747kWh'],['3.313kWh/kW'],['-'],['54.768kW'],['3:15PM'],['Mostly Cloudy'],,['Updated 01:34']
11,['13/07/23'],['251.558kWh'],['2.304kWh/kW'],['-'],['62.436kW'],['1:20PM'],['Cloudy'],,['Updated 05:03']
12,['12/07/23'],['118.180kWh'],['1.082kWh/kW'],['-'],['47.615kW'],['11:25AM'],['Cloudy'],,['Updated 01:54']
13,['11/07/23'],['352.076kWh'],['3.224kWh/kW'],['-'],['46.468kW'],['1:55PM'],['Mostly Cloudy'],,['Updated 23:23']
14,['10/07/23'],['309.185kWh'],['2.831kWh/kW'],['-'],['47.806kW'],['1:15PM'],['Mostly Cloudy'],,['Updated 05:03']
15,['09/07/23'],['376.438kWh'],['3.447kWh/kW'],['-'],['48.200kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 05:03']
16,['08/07/23'],['254.698kWh'],['2.332kWh/kW'],['-'],['61.187kW'],['2:45PM'],['Cloudy'],,['Updated 21:19']
17,['07/07/23'],['383.888kWh'],['3.515kWh/kW'],['-'],['48.311kW'],['1:25PM'],['Mostly Cloudy'],,['Updated 03:14']
18,['06/07/23'],['362.741kWh'],['3.322kWh/kW'],['-'],['56.623kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 04:04']
19,['05/07/23'],['196.509kWh'],['1.800kWh/kW'],['-'],['61.506kW'],['12:00PM'],['Cloudy'],,['Updated 05:08']
20,['04/07/23'],['283.964kWh'],['2.600kWh/kW'],['-'],['65.540kW'],['3:35PM'],['Mostly Cloudy'],,['Updated 02:49']
21,['03/07/23'],['291.650kWh'],['2.671kWh/kW'],['-'],['61.001kW'],['1:25PM'],['Mostly Cloudy'],,['Updated 23:54']
22,['02/07/23'],['224.811kWh'],['2.059kWh/kW'],['-'],['54.997kW'],['12:30PM'],['Cloudy'],,['Updated 03:09']
23,['01/07/23'],['252.926kWh'],['2.316kWh/kW'],['-'],['60.192kW'],['1:25PM'],['Cloudy'],,['Updated 01:39']
24,['30/06/23'],['117.505kWh'],['1.076kWh/kW'],['-'],['45.990kW'],['1:10PM'],['Cloudy'],,['Updated 23:59']
25,['29/06/23'],['303.120kWh'],['2.776kWh/kW'],['-'],['51.454kW'],['1:00PM'],['Mostly Cloudy'],,['Updated 01:29']
26,['28/06/23'],['341.037kWh'],['3.123kWh/kW'],['-'],['53.488kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 04:49']
27,['27/06/23'],['321.990kWh'],['2.949kWh/kW'],['-'],['45.195kW'],['2:35PM'],['Mostly Cloudy'],,['Updated 05:04']
28,['26/06/23'],['364.170kWh'],['3.335kWh/kW'],['-'],['49.654kW'],['1:25PM'],['Mostly Cloudy'],,['Updated 03:24']
29,['25/06/23'],['397.109kWh'],['3.637kWh/kW'],['-'],['48.569kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 03:04']
30,['24/06/23'],['359.550kWh'],['3.293kWh/kW'],['-'],['53.677kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 02:14']
31,['23/06/23'],['341.879kWh'],['3.131kWh/kW'],['-'],['52.811kW'],['2:40PM'],['Mostly Cloudy'],,['Updated 03:59']
32,['22/06/23'],['212.638kWh'],['1.947kWh/kW'],['-'],['47.132kW'],['3:40PM'],['Cloudy'],,['Updated 00:04']
33,['21/06/23'],['248.020kWh'],['2.271kWh/kW'],['-'],['49.305kW'],['1:40PM'],['Cloudy'],,['Updated 05:04']
34,['20/06/23'],['311.562kWh'],['2.853kWh/kW'],['-'],['45.855kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 01:44']
35,['19/06/23'],['285.034kWh'],['2.610kWh/kW'],['-'],['48.564kW'],['3:30PM'],['Mostly Cloudy'],,['Updated 02:14']
36,['18/06/23'],['331.713kWh'],['3.038kWh/kW'],['-'],['55.809kW'],['3:00PM'],['Mostly Cloudy'],,['Updated 02:59']
37,['17/06/23'],['365.044kWh'],['3.343kWh/kW'],['-'],['52.365kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 01:09']
38,['16/06/23'],['337.927kWh'],['3.095kWh/kW'],['-'],['55.156kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 05:04']
39,['15/06/23'],['334.797kWh'],['3.066kWh/kW'],['-'],['55.154kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 01:09']
40,['14/06/23'],['392.175kWh'],['3.591kWh/kW'],['-'],['49.805kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 04:39']
41,['13/06/23'],['400.613kWh'],['3.669kWh/kW'],['-'],['50.628kW'],['2:10PM'],['Mostly Cloudy'],,['Updated 04:34']
42,['12/06/23'],['396.238kWh'],['3.629kWh/kW'],['-'],['49.895kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 23:59']
43,['11/06/23'],['323.189kWh'],['2.960kWh/kW'],['-'],['54.199kW'],['2:10PM'],['Mostly Cloudy'],,['Updated 01:49']
44,['10/06/23'],['391.640kWh'],['3.586kWh/kW'],['-'],['49.541kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 04:14']
45,['09/06/23'],['387.592kWh'],['3.549kWh/kW'],['-'],['49.134kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 01:54']
46,['08/06/23'],['376.091kWh'],['3.444kWh/kW'],['-'],['48.337kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 01:34']
47,['07/06/23'],['388.876kWh'],['3.561kWh/kW'],['-'],['48.724kW'],['1:45PM'],['Mostly Cloudy'],,['Updated 00:44']
48,['06/06/23'],['383.669kWh'],['3.513kWh/kW'],['-'],['49.378kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 03:39']
49,['05/06/23'],['378.580kWh'],['3.467kWh/kW'],['-'],['50.617kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 02:09']
50,['04/06/23'],['303.654kWh'],['2.781kWh/kW'],['-'],['57.743kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 04:58']
51,['03/06/23'],['384.475kWh'],['3.521kWh/kW'],['-'],['49.441kW'],['1:55PM'],['Mostly Cloudy'],,['Updated 04:23']
52,['02/06/23'],['387.349kWh'],['3.547kWh/kW'],['-'],['51.455kW'],['1:25PM'],['Mostly Cloudy'],,['Updated 04:53']
53,['01/06/23'],['373.721kWh'],['3.422kWh/kW'],['-'],['49.471kW'],['2:10PM'],['Mostly Cloudy'],,['Updated 01:29']
54,['31/05/23'],['395.487kWh'],['3.622kWh/kW'],['-'],['49.673kW'],['1:45PM'],['Mostly Cloudy'],,['Updated 01:19']
55,['30/05/23'],['392.411kWh'],['3.594kWh/kW'],['-'],['51.124kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 01:09']
56,['29/05/23'],['392.373kWh'],['3.593kWh/kW'],['-'],['50.501kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 03:59']
57,['28/05/23'],['383.872kWh'],['3.515kWh/kW'],['-'],['48.601kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 04:09']
58,['27/05/23'],['373.944kWh'],['3.424kWh/kW'],['-'],['49.986kW'],['1:55PM'],['Mostly Cloudy'],,['Updated 03:19']
59,['26/05/23'],['383.059kWh'],['3.508kWh/kW'],['-'],['50.963kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 04:48']
60,['25/05/23'],['219.254kWh'],['2.008kWh/kW'],['-'],['63.013kW'],['2:20PM'],['Cloudy'],,['Updated 03:39']
61,['24/05/23'],['74.112kWh'],['0.679kWh/kW'],['-'],['30.765kW'],['2:30PM'],['Showers'],,['Updated 03:49']
