,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Jul 23'],['6.718MWh'],['2.563kWh/kW'],['-'],"['0,00 CHF']",['51.135kWh'],['383.888kWh'],['279.916kWh'],['Partial Month (24 days)']
1,['Jun 23'],['10.241MWh'],['3.126kWh/kW'],['-'],"['0,00 CHF']",['117.505kWh'],['400.613kWh'],['341.365kWh'],[]
2,['May 23'],['7.704MWh'],['2.276kWh/kW'],['-'],"['0,00 CHF']",['67.313kWh'],['395.487kWh'],['248.525kWh'],[]
3,['Apr 23'],['6.309MWh'],['1.926kWh/kW'],['-'],"['0,00 CHF']",['52.029kWh'],['395.209kWh'],['210.311kWh'],[]
4,['Mar 23'],['4.989MWh'],['1.474kWh/kW'],['-'],"['0,00 CHF']",['23.409kWh'],['313.474kWh'],['160.935kWh'],[]
5,['Feb 23'],['2.697MWh'],['0.882kWh/kW'],['-'],"['0,00 CHF']",['24.744kWh'],['159.283kWh'],['96.309kWh'],[]
6,['Jan 23'],['1.129MWh'],['0.333kWh/kW'],['-'],"['0,00 CHF']",['7.216kWh'],['95.080kWh'],['36.407kWh'],[]
7,['Dec 22'],['600.735kWh'],['0.177kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['79.180kWh'],['19.378kWh'],[]
8,['Nov 22'],['1.666MWh'],['0.508kWh/kW'],['-'],"['0,00 CHF']",['13.889kWh'],['112.860kWh'],['55.541kWh'],[]
9,['Oct 22'],['3.525MWh'],['1.041kWh/kW'],['-'],"['0,00 CHF']",['26.722kWh'],['270.920kWh'],['113.707kWh'],[]
10,['Sep 22'],['6.126MWh'],['1.870kWh/kW'],['-'],"['0,00 CHF']",['39.058kWh'],['326.103kWh'],['204.193kWh'],[]
11,['Aug 22'],['9.259MWh'],['2.735kWh/kW'],['-'],"['0,00 CHF']",['30.537kWh'],['408.333kWh'],['298.685kWh'],[]
12,['Jul 22'],['10.981MWh'],['3.244kWh/kW'],['-'],"['0,00 CHF']",['144.761kWh'],['443.193kWh'],['354.210kWh'],[]
13,['Jun 22'],['9.720MWh'],['2.967kWh/kW'],['-'],"['0,00 CHF']",['109.451kWh'],['448.686kWh'],['324.009kWh'],[]
14,['May 22'],['9.859MWh'],['2.913kWh/kW'],['-'],"['0,00 CHF']",['104.829kWh'],['452.027kWh'],['318.044kWh'],[]
15,['Apr 22'],['8.137MWh'],['2.484kWh/kW'],['-'],"['0,00 CHF']",['5.011kWh'],['434.980kWh'],['271.218kWh'],[]
16,['Mar 22'],['7.998MWh'],['2.363kWh/kW'],['-'],"['0,00 CHF']",['36.758kWh'],['354.760kWh'],['258.005kWh'],[]
17,['Feb 22'],['3.220MWh'],['1.053kWh/kW'],['-'],"['0,00 CHF']",['20.305kWh'],['223.760kWh'],['115.001kWh'],[]
18,['Jan 22'],['1.657MWh'],['0.542kWh/kW'],['-'],"['0,00 CHF']",['0.299kWh'],['112.719kWh'],['59.176kWh'],['Partial Month (28 days)']
19,['Dec 21'],['216.556kWh'],['0.330kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['75.378kWh'],['36.092kWh'],['Partial Month (6 days)']
20,['Nov 21'],['1.197MWh'],['0.365kWh/kW'],['-'],"['0,00 CHF']",['0.026kWh'],['112.811kWh'],['39.904kWh'],[]
21,['Oct 21'],['3.848MWh'],['1.137kWh/kW'],['-'],"['0,00 CHF']",['21.644kWh'],['269.983kWh'],['124.118kWh'],[]
22,['Sep 21'],['7.517MWh'],['2.295kWh/kW'],['-'],"['0,00 CHF']",['51.793kWh'],['373.859kWh'],['250.578kWh'],[]
23,['Aug 21'],['7.678MWh'],['2.268kWh/kW'],['-'],"['0,00 CHF']",['89.889kWh'],['433.628kWh'],['247.675kWh'],[]
24,['Jul 21'],['9.640MWh'],['2.848kWh/kW'],['-'],"['0,00 CHF']",['112.339kWh'],['496.469kWh'],['310.975kWh'],[]
25,['Jun 21'],['11.405MWh'],['3.481kWh/kW'],['-'],"['0,00 CHF']",['117.967kWh'],['528.281kWh'],['380.161kWh'],[]
26,['May 21'],['10.110MWh'],['2.987kWh/kW'],['-'],"['0,00 CHF']",['73.122kWh'],['554.572kWh'],['326.140kWh'],[]
27,['Apr 21'],['10.491MWh'],['3.202kWh/kW'],['-'],"['0,00 CHF']",['127.449kWh'],['497.684kWh'],['349.685kWh'],[]
28,['Mar 21'],['7.468MWh'],['2.206kWh/kW'],['-'],"['0,00 CHF']",['46.536kWh'],['428.179kWh'],['240.908kWh'],[]
29,['Feb 21'],['2.922MWh'],['0.956kWh/kW'],['-'],"['0,00 CHF']",['0.937kWh'],['230.772kWh'],['104.361kWh'],[]
30,['Jan 21'],['744.202kWh'],['0.220kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['119.652kWh'],['24.006kWh'],[]
31,['Dec 20'],['946.740kWh'],['0.280kWh/kW'],['-'],"['0,00 CHF']",['0.013kWh'],['94.083kWh'],['30.540kWh'],[]
32,['Nov 20'],['1.802MWh'],['0.660kWh/kW'],['-'],"['0,00 CHF']",['9.878kWh'],['143.095kWh'],['72.082kWh'],['Partial Month (25 days)']
33,['Oct 20'],['3.893MWh'],['1.150kWh/kW'],['-'],"['0,00 CHF']",['14.125kWh'],['277.678kWh'],['125.592kWh'],[]
34,['Sep 20'],['8.210MWh'],['2.506kWh/kW'],['-'],"['0,00 CHF']",['53.248kWh'],['424.229kWh'],['273.679kWh'],[]
35,['Aug 20'],['10.118MWh'],['2.989kWh/kW'],['-'],"['0,00 CHF']",['34.216kWh'],['484.820kWh'],['326.371kWh'],[]
36,['Jul 20'],['12.747MWh'],['3.765kWh/kW'],['-'],"['0,00 CHF']",['98.477kWh'],['540.991kWh'],['411.183kWh'],[]
37,['Jun 20'],['10.595MWh'],['3.234kWh/kW'],['-'],"['0,00 CHF']",['82.527kWh'],['544.531kWh'],['353.174kWh'],[]
38,['May 20'],['11.737MWh'],['3.706kWh/kW'],['-'],"['0,00 CHF']",['55.589kWh'],['545.295kWh'],['404.714kWh'],['Partial Month (29 days)']
39,['Apr 20'],['12.210MWh'],['3.855kWh/kW'],['-'],"['0,00 CHF']",['143.348kWh'],['499.148kWh'],['421.023kWh'],['Partial Month (29 days)']
40,['Mar 20'],['8.179MWh'],['2.416kWh/kW'],['-'],"['0,00 CHF']",['41.195kWh'],['459.951kWh'],['263.822kWh'],[]
41,['Feb 20'],['3.650MWh'],['1.153kWh/kW'],['-'],"['0,00 CHF']",['18.674kWh'],['262.243kWh'],['125.870kWh'],[]
42,['Jan 20'],['2.446MWh'],['0.723kWh/kW'],['-'],"['0,00 CHF']",['16.118kWh'],['119.378kWh'],['78.915kWh'],[]
43,['Dec 19'],['1.462MWh'],['0.432kWh/kW'],['-'],"['0,00 CHF']",['20.128kWh'],['112.621kWh'],['47.168kWh'],[]
44,['Nov 19'],['1.936MWh'],['0.591kWh/kW'],['-'],"['0,00 CHF']",['19.188kWh'],['102.518kWh'],['64.526kWh'],[]
45,['Oct 19'],['4.345MWh'],['1.284kWh/kW'],['-'],"['0,00 CHF']",['24.384kWh'],['357.604kWh'],['140.172kWh'],[]
46,['Sep 19'],['8.616MWh'],['2.630kWh/kW'],['-'],"['0,00 CHF']",['74.290kWh'],['434.141kWh'],['287.185kWh'],[]
47,['Aug 19'],['10.331MWh'],['3.052kWh/kW'],['-'],"['0,00 CHF']",['67.701kWh'],['497.995kWh'],['333.246kWh'],[]
48,['Jul 19'],['12.991MWh'],['3.837kWh/kW'],['-'],"['0,00 CHF']",['72.115kWh'],['546.486kWh'],['419.054kWh'],[]
49,['Jun 19'],['12.520MWh'],['3.822kWh/kW'],['-'],"['0,00 CHF']",['136.724kWh'],['541.132kWh'],['417.324kWh'],[]
50,['May 19'],['10.241MWh'],['3.025kWh/kW'],['-'],"['0,00 CHF']",['34.108kWh'],['543.485kWh'],['330.368kWh'],[]
51,['Apr 19'],['6.157MWh'],['2.819kWh/kW'],['-'],"['0,00 CHF']",['56.984kWh'],['492.478kWh'],['307.874kWh'],['Partial Month (20 days)']
