,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-30'],['51.135kWh'],['0.468kWh/kW'],['-'],"['0,00 CHF']",['51.135kWh'],['51.135kWh'],['51.135kWh'],['24/07/23 - 24/07/23']
1,['2023-29'],['2.078MWh'],['2.719kWh/kW'],['-'],"['0,00 CHF']",['201.823kWh'],['350.498kWh'],['296.877kWh'],['17/07/23 - 23/07/23']
2,['2023-28'],['1.961MWh'],['2.566kWh/kW'],['-'],"['0,00 CHF']",['118.180kWh'],['361.747kWh'],['280.156kWh'],['10/07/23 - 16/07/23']
3,['2023-27'],['2.150MWh'],['2.812kWh/kW'],['-'],"['0,00 CHF']",['196.509kWh'],['383.888kWh'],['307.126kWh'],['03/07/23 - 09/07/23']
4,['2023-26'],['1.926MWh'],['2.519kWh/kW'],['-'],"['0,00 CHF']",['117.505kWh'],['364.170kWh'],['275.079kWh'],['26/06/23 - 02/07/23']
5,['2023-25'],['2.156MWh'],['2.820kWh/kW'],['-'],"['0,00 CHF']",['212.638kWh'],['397.109kWh'],['307.970kWh'],['19/06/23 - 25/06/23']
6,['2023-24'],['2.559MWh'],['3.347kWh/kW'],['-'],"['0,00 CHF']",['331.713kWh'],['400.613kWh'],['365.501kWh'],['12/06/23 - 18/06/23']
7,['2023-23'],['2.630MWh'],['3.440kWh/kW'],['-'],"['0,00 CHF']",['323.189kWh'],['391.640kWh'],['375.662kWh'],['05/06/23 - 11/06/23']
8,['2023-22'],['2.629MWh'],['3.440kWh/kW'],['-'],"['0,00 CHF']",['303.654kWh'],['395.487kWh'],['375.638kWh'],['29/05/23 - 04/06/23']
9,['2023-21'],['2.068MWh'],['2.706kWh/kW'],['-'],"['0,00 CHF']",['74.112kWh'],['395.325kWh'],['295.490kWh'],['22/05/23 - 28/05/23']
10,['2023-20'],['1.241MWh'],['1.624kWh/kW'],['-'],"['0,00 CHF']",['67.313kWh'],['323.168kWh'],['177.339kWh'],['15/05/23 - 21/05/23']
11,['2023-19'],['1.201MWh'],['1.571kWh/kW'],['-'],"['0,00 CHF']",['98.275kWh'],['268.434kWh'],['171.595kWh'],['08/05/23 - 14/05/23']
12,['2023-18'],['2.013MWh'],['2.633kWh/kW'],['-'],"['0,00 CHF']",['170.428kWh'],['389.887kWh'],['287.575kWh'],['01/05/23 - 07/05/23']
13,['2023-17'],['1.585MWh'],['2.074kWh/kW'],['-'],"['0,00 CHF']",['89.375kWh'],['308.806kWh'],['226.450kWh'],['24/04/23 - 30/04/23']
14,['2023-16'],['1.275MWh'],['1.667kWh/kW'],['-'],"['0,00 CHF']",['52.029kWh'],['297.074kWh'],['182.079kWh'],['17/04/23 - 23/04/23']
15,['2023-15'],['1.263MWh'],['1.652kWh/kW'],['-'],"['0,00 CHF']",['59.297kWh'],['340.387kWh'],['180.400kWh'],['10/04/23 - 16/04/23']
16,['2023-14'],['1.780MWh'],['2.328kWh/kW'],['-'],"['0,00 CHF']",['81.119kWh'],['395.209kWh'],['254.224kWh'],['03/04/23 - 09/04/23']
17,['2023-13'],['1.313MWh'],['1.717kWh/kW'],['-'],"['0,00 CHF']",['89.076kWh'],['303.189kWh'],['187.529kWh'],['27/03/23 - 02/04/23']
18,['2023-12'],['1.084MWh'],['1.419kWh/kW'],['-'],"['0,00 CHF']",['47.160kWh'],['313.474kWh'],['154.895kWh'],['20/03/23 - 26/03/23']
19,['2023-11'],['1.570MWh'],['2.054kWh/kW'],['-'],"['0,00 CHF']",['116.475kWh'],['306.377kWh'],['224.343kWh'],['13/03/23 - 19/03/23']
20,['2023-10'],['820.323kWh'],['1.073kWh/kW'],['-'],"['0,00 CHF']",['60.474kWh'],['210.799kWh'],['117.189kWh'],['06/03/23 - 12/03/23']
21,['2023-09'],['703.179kWh'],['0.920kWh/kW'],['-'],"['0,00 CHF']",['23.409kWh'],['219.655kWh'],['100.454kWh'],['27/02/23 - 05/03/23']
22,['2023-08'],['849.189kWh'],['1.111kWh/kW'],['-'],"['0,00 CHF']",['24.744kWh'],['159.283kWh'],['121.312kWh'],['20/02/23 - 26/02/23']
23,['2023-07'],['661.873kWh'],['0.866kWh/kW'],['-'],"['0,00 CHF']",['52.373kWh'],['133.185kWh'],['94.553kWh'],['13/02/23 - 19/02/23']
24,['2023-06'],['860.368kWh'],['1.126kWh/kW'],['-'],"['0,00 CHF']",['58.057kWh'],['142.430kWh'],['122.909kWh'],['06/02/23 - 12/02/23']
25,['2023-05'],['379.058kWh'],['0.496kWh/kW'],['-'],"['0,00 CHF']",['26.509kWh'],['77.454kWh'],['54.151kWh'],['30/01/23 - 05/02/23']
26,['2023-04'],['96.766kWh'],['0.127kWh/kW'],['-'],"['0,00 CHF']",['7.216kWh'],['29.217kWh'],['13.823kWh'],['23/01/23 - 29/01/23']
27,['2023-03'],['312.539kWh'],['0.409kWh/kW'],['-'],"['0,00 CHF']",['16.214kWh'],['95.080kWh'],['44.648kWh'],['16/01/23 - 22/01/23']
28,['2023-02'],['270.198kWh'],['0.353kWh/kW'],['-'],"['0,00 CHF']",['15.506kWh'],['66.432kWh'],['38.599kWh'],['09/01/23 - 15/01/23']
29,['2023-01'],['228.144kWh'],['0.299kWh/kW'],['-'],"['0,00 CHF']",['13.578kWh'],['58.615kWh'],['32.592kWh'],['02/01/23 - 08/01/23']
30,['2022-52'],['337.322kWh'],['0.441kWh/kW'],['-'],"['0,00 CHF']",['17.962kWh'],['72.559kWh'],['48.188kWh'],['26/12/22 - 01/01/23']
31,['2022-51'],['118.674kWh'],['0.155kWh/kW'],['-'],"['0,00 CHF']",['2.709kWh'],['46.720kWh'],['16.953kWh'],['19/12/22 - 25/12/22']
32,['2022-50'],['2.696kWh'],['0.004kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['1.593kWh'],['0.385kWh'],['12/12/22 - 18/12/22']
