,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['35.565kWh'],['1.289kWh/kW'],['-'],['10.657kW'],['12:35PM'],['Cloudy'],,['Updated 14:01 UTC+2:00']
1,['03/10/23'],['51.843kWh'],['1.878kWh/kW'],['-'],['10.097kW'],['12:35PM'],['Cloudy'],,['Updated 21:03 UTC+2:00']
2,['02/10/23'],['65.787kWh'],['2.384kWh/kW'],['-'],['10.408kW'],['1:05PM'],['Cloudy'],,['Updated 21:34 UTC+2:00']
3,['01/10/23'],['67.938kWh'],['2.462kWh/kW'],['-'],['10.595kW'],['1:05PM'],['Cloudy'],,['Updated 21:33 UTC+2:00']
4,['30/09/23'],['59.733kWh'],['2.164kWh/kW'],['-'],['10.379kW'],['12:50PM'],['Cloudy'],,['Updated 20:35 UTC+2:00']
5,['29/09/23'],['59.010kWh'],['2.138kWh/kW'],['-'],['10.507kW'],['1:35PM'],['Cloudy'],,['Updated 21:22 UTC+2:00']
6,['28/09/23'],['68.478kWh'],['2.481kWh/kW'],['-'],['12.291kW'],['1:20PM'],['Cloudy'],,['Updated 21:33 UTC+2:00']
7,['27/09/23'],['72.540kWh'],['2.628kWh/kW'],['-'],['11.165kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 21:27 UTC+2:00']
8,['26/09/23'],['76.347kWh'],['2.766kWh/kW'],['-'],['11.655kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:42 UTC+2:00']
9,['25/09/23'],['78.450kWh'],['2.842kWh/kW'],['-'],['11.809kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 21:41 UTC+2:00']
10,['24/09/23'],['80.628kWh'],['2.921kWh/kW'],['-'],['12.362kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 21:47 UTC+2:00']
11,['23/09/23'],['66.222kWh'],['2.399kWh/kW'],['-'],['13.882kW'],['12:20PM'],['Cloudy'],,['Updated 21:48 UTC+2:00']
12,['22/09/23'],['46.803kWh'],['1.696kWh/kW'],['-'],['15.303kW'],['1:05PM'],['Cloudy'],,['Updated 00:22 UTC+2:00']
13,['21/09/23'],['46.827kWh'],['1.697kWh/kW'],['-'],['14.065kW'],['1:35PM'],['Cloudy'],,['Updated 21:22 UTC+2:00']
14,['20/09/23'],['80.718kWh'],['2.925kWh/kW'],['-'],['11.754kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 21:55 UTC+2:00']
15,['19/09/23'],['68.670kWh'],['2.488kWh/kW'],['-'],['13.243kW'],['1:35PM'],['Cloudy'],,['Updated 21:55 UTC+2:00']
