,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['221.133kWh'],['2.003kWh/kW'],['-'],"['0,00 CHF']",['35.565kWh'],['67.938kWh'],['55.283kWh'],['Partial Month (4 days)']
1,['Sep 23'],['2.260MWh'],['2.730kWh/kW'],['-'],"['0,00 CHF']",['28.827kWh'],['100.203kWh'],['75.337kWh'],[]
2,['Aug 23'],['2.447MWh'],['2.860kWh/kW'],['-'],"['0,00 CHF']",['25.461kWh'],['117.177kWh'],['78.925kWh'],[]
3,['Jul 23'],['3.101MWh'],['3.624kWh/kW'],['-'],"['0,00 CHF']",['3.816kWh'],['134.856kWh'],['100.028kWh'],[]
4,['Jun 23'],['3.573MWh'],['4.315kWh/kW'],['-'],"['0,00 CHF']",['4.359kWh'],['143.604kWh'],['119.105kWh'],[]
5,['May 23'],['2.863MWh'],['3.347kWh/kW'],['-'],"['0,00 CHF']",['31.338kWh'],['139.236kWh'],['92.367kWh'],[]
6,['Apr 23'],['2.162MWh'],['2.611kWh/kW'],['-'],"['0,00 CHF']",['29.166kWh'],['117.948kWh'],['72.073kWh'],[]
7,['Mar 23'],['1.647MWh'],['1.925kWh/kW'],['-'],"['0,00 CHF']",['8.553kWh'],['99.501kWh'],['53.133kWh'],[]
8,['Feb 23'],['969.924kWh'],['1.255kWh/kW'],['-'],"['0,00 CHF']",['11.310kWh'],['56.769kWh'],['34.640kWh'],[]
9,['Jan 23'],['435.699kWh'],['0.509kWh/kW'],['-'],"['0,00 CHF']",['3.933kWh'],['30.657kWh'],['14.054kWh'],[]
10,['Dec 22'],['257.463kWh'],['0.301kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['21.624kWh'],['8.305kWh'],[]
11,['Nov 22'],['593.643kWh'],['0.717kWh/kW'],['-'],"['0,00 CHF']",['7.629kWh'],['33.750kWh'],['19.788kWh'],[]
12,['Oct 22'],['1.251MWh'],['1.462kWh/kW'],['-'],"['0,00 CHF']",['10.359kWh'],['71.682kWh'],['40.362kWh'],[]
13,['Sep 22'],['1.973MWh'],['2.383kWh/kW'],['-'],"['0,00 CHF']",['17.541kWh'],['106.575kWh'],['65.760kWh'],[]
14,['Aug 22'],['3.238MWh'],['3.784kWh/kW'],['-'],"['0,00 CHF']",['26.808kWh'],['133.065kWh'],['104.447kWh'],[]
15,['Jul 22'],['4.036MWh'],['4.717kWh/kW'],['-'],"['0,00 CHF']",['76.020kWh'],['155.610kWh'],['130.182kWh'],[]
16,['Jun 22'],['3.530MWh'],['4.263kWh/kW'],['-'],"['0,00 CHF']",['50.268kWh'],['159.051kWh'],['117.669kWh'],[]
17,['May 22'],['3.594MWh'],['4.201kWh/kW'],['-'],"['0,00 CHF']",['30.480kWh'],['158.784kWh'],['115.947kWh'],[]
18,['Apr 22'],['2.722MWh'],['3.288kWh/kW'],['-'],"['0,00 CHF']",['15.423kWh'],['142.062kWh'],['90.737kWh'],[]
19,['Mar 22'],['2.389MWh'],['2.792kWh/kW'],['-'],"['0,00 CHF']",['12.171kWh'],['103.194kWh'],['77.058kWh'],[]
20,['Feb 22'],['1.075MWh'],['1.391kWh/kW'],['-'],"['0,00 CHF']",['6.117kWh'],['75.114kWh'],['38.391kWh'],[]
21,['Jan 22'],['648.090kWh'],['0.758kWh/kW'],['-'],"['0,00 CHF']",['6.147kWh'],['31.827kWh'],['20.906kWh'],[]
22,['Dec 21'],['393.087kWh'],['0.459kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['27.789kWh'],['12.680kWh'],[]
23,['Nov 21'],['511.266kWh'],['0.617kWh/kW'],['-'],"['0,00 CHF']",['1.194kWh'],['31.887kWh'],['17.042kWh'],[]
24,['Oct 21'],['1.314MWh'],['1.536kWh/kW'],['-'],"['0,00 CHF']",['9.555kWh'],['72.576kWh'],['42.395kWh'],[]
25,['Sep 21'],['2.302MWh'],['2.780kWh/kW'],['-'],"['0,00 CHF']",['18.327kWh'],['111.948kWh'],['76.727kWh'],[]
26,['Aug 21'],['2.747MWh'],['3.211kWh/kW'],['-'],"['0,00 CHF']",['31.134kWh'],['135.243kWh'],['88.626kWh'],[]
27,['Jul 21'],['3.049MWh'],['3.564kWh/kW'],['-'],"['0,00 CHF']",['28.716kWh'],['150.390kWh'],['98.358kWh'],[]
28,['Jun 21'],['3.484MWh'],['4.208kWh/kW'],['-'],"['0,00 CHF']",['48.189kWh'],['159.879kWh'],['116.124kWh'],[]
