,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['153.195kWh'],['1.850kWh/kW'],['-'],"['0,00 CHF']",['35.565kWh'],['65.787kWh'],['51.065kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['482.496kWh'],['2.497kWh/kW'],['-'],"['0,00 CHF']",['59.010kWh'],['78.450kWh'],['68.928kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['418.695kWh'],['2.167kWh/kW'],['-'],"['0,00 CHF']",['28.827kWh'],['80.718kWh'],['59.813kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['494.031kWh'],['2.557kWh/kW'],['-'],"['0,00 CHF']",['50.754kWh'],['85.917kWh'],['70.575kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['656.934kWh'],['3.400kWh/kW'],['-'],"['0,00 CHF']",['89.160kWh'],['100.203kWh'],['93.847kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['474.342kWh'],['2.455kWh/kW'],['-'],"['0,00 CHF']",['25.461kWh'],['97.938kWh'],['67.763kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['491.490kWh'],['2.544kWh/kW'],['-'],"['0,00 CHF']",['25.677kWh'],['104.340kWh'],['70.212kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['673.881kWh'],['3.488kWh/kW'],['-'],"['0,00 CHF']",['76.107kWh'],['111.237kWh'],['96.268kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['653.193kWh'],['3.381kWh/kW'],['-'],"['0,00 CHF']",['69.612kWh'],['117.177kWh'],['93.313kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['527.250kWh'],['2.729kWh/kW'],['-'],"['0,00 CHF']",['44.061kWh'],['97.539kWh'],['75.321kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['583.902kWh'],['3.022kWh/kW'],['-'],"['0,00 CHF']",['48.825kWh'],['118.662kWh'],['83.414kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['787.044kWh'],['4.074kWh/kW'],['-'],"['0,00 CHF']",['94.098kWh'],['133.869kWh'],['112.434kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['765.618kWh'],['3.963kWh/kW'],['-'],"['0,00 CHF']",['78.057kWh'],['122.748kWh'],['109.374kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['687.468kWh'],['3.558kWh/kW'],['-'],"['0,00 CHF']",['3.816kWh'],['134.856kWh'],['98.209kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['699.078kWh'],['3.618kWh/kW'],['-'],"['0,00 CHF']",['45.534kWh'],['130.545kWh'],['99.868kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['698.595kWh'],['3.616kWh/kW'],['-'],"['0,00 CHF']",['4.359kWh'],['141.042kWh'],['99.799kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['932.655kWh'],['4.827kWh/kW'],['-'],"['0,00 CHF']",['111.021kWh'],['143.604kWh'],['133.236kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['911.484kWh'],['4.718kWh/kW'],['-'],"['0,00 CHF']",['117.750kWh'],['140.943kWh'],['130.212kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['904.302kWh'],['4.681kWh/kW'],['-'],"['0,00 CHF']",['116.658kWh'],['139.236kWh'],['129.186kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['777.756kWh'],['4.026kWh/kW'],['-'],"['0,00 CHF']",['36.822kWh'],['135.540kWh'],['111.108kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['532.965kWh'],['2.759kWh/kW'],['-'],"['0,00 CHF']",['31.338kWh'],['123.891kWh'],['76.137kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['469.086kWh'],['2.428kWh/kW'],['-'],"['0,00 CHF']",['43.086kWh'],['89.790kWh'],['67.012kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['689.976kWh'],['3.571kWh/kW'],['-'],"['0,00 CHF']",['64.680kWh'],['135.303kWh'],['98.568kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['591.384kWh'],['3.061kWh/kW'],['-'],"['0,00 CHF']",['33.180kWh'],['117.342kWh'],['84.483kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['423.747kWh'],['2.193kWh/kW'],['-'],"['0,00 CHF']",['33.915kWh'],['90.780kWh'],['60.535kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['447.663kWh'],['2.317kWh/kW'],['-'],"['0,00 CHF']",['29.166kWh'],['112.377kWh'],['63.951kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['580.779kWh'],['3.006kWh/kW'],['-'],"['0,00 CHF']",['39.078kWh'],['117.948kWh'],['82.968kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['426.147kWh'],['2.206kWh/kW'],['-'],"['0,00 CHF']",['26.061kWh'],['99.501kWh'],['60.878kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['374.136kWh'],['1.937kWh/kW'],['-'],"['0,00 CHF']",['8.553kWh'],['92.238kWh'],['53.448kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['466.839kWh'],['2.416kWh/kW'],['-'],"['0,00 CHF']",['29.415kWh'],['93.021kWh'],['66.691kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['258.216kWh'],['1.337kWh/kW'],['-'],"['0,00 CHF']",['10.620kWh'],['74.661kWh'],['36.888kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['293.982kWh'],['1.522kWh/kW'],['-'],"['0,00 CHF']",['19.656kWh'],['76.605kWh'],['41.997kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['325.305kWh'],['1.684kWh/kW'],['-'],"['0,00 CHF']",['31.896kWh'],['56.769kWh'],['46.472kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['248.097kWh'],['1.284kWh/kW'],['-'],"['0,00 CHF']",['18.429kWh'],['48.246kWh'],['35.442kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['279.213kWh'],['1.445kWh/kW'],['-'],"['0,00 CHF']",['18.756kWh'],['44.955kWh'],['39.887kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['118.962kWh'],['0.616kWh/kW'],['-'],"['0,00 CHF']",['11.310kWh'],['30.657kWh'],['16.994kWh'],['30/01/23 - 05/02/23']
