,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['31.842kWh'],['1.940kWh/kW'],['-'],['8.116kW'],['1:00PM'],['Cloudy'],,['Updated 14:06 UTC+2:00']
1,['03/10/23'],['40.584kWh'],['2.472kWh/kW'],['-'],['8.000kW'],['12:45PM'],['Cloudy'],,['Updated 00:27 UTC+2:00']
2,['02/10/23'],['48.551kWh'],['2.958kWh/kW'],['-'],['7.696kW'],['1:00PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
3,['01/10/23'],['47.447kWh'],['2.890kWh/kW'],['-'],['7.760kW'],['12:45PM'],['Mostly Cloudy'],,['Updated 00:16 UTC+2:00']
4,['30/09/23'],['41.779kWh'],['2.545kWh/kW'],['-'],['8.212kW'],['1:15PM'],['Mostly Cloudy'],,['Updated 23:20 UTC+2:00']
5,['29/09/23'],['48.723kWh'],['2.968kWh/kW'],['-'],['7.760kW'],['12:45PM'],['Mostly Cloudy'],,['Updated 00:18 UTC+2:00']
6,['28/09/23'],['50.621kWh'],['3.084kWh/kW'],['-'],['8.060kW'],['1:15PM'],['Mostly Cloudy'],,['Updated 00:20 UTC+2:00']
7,['27/09/23'],['53.592kWh'],['3.265kWh/kW'],['-'],['8.496kW'],['1:00PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
8,['26/09/23'],['56.224kWh'],['3.425kWh/kW'],['-'],['8.440kW'],['12:45PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
9,['25/09/23'],['57.616kWh'],['3.510kWh/kW'],['-'],['8.620kW'],['1:00PM'],['Mostly Cloudy'],,['Updated 00:18 UTC+2:00']
10,['24/09/23'],['47.476kWh'],['2.892kWh/kW'],['-'],['9.492kW'],['12:30PM'],['Mostly Cloudy'],,['Updated 00:23 UTC+2:00']
11,['23/09/23'],['33.571kWh'],['2.045kWh/kW'],['-'],['7.808kW'],['3:15PM'],['Cloudy'],,['Updated 00:23 UTC+2:00']
12,['22/09/23'],['27.175kWh'],['1.655kWh/kW'],['-'],['7.320kW'],['2:00PM'],['Cloudy'],,['Updated 00:22 UTC+2:00']
13,['21/09/23'],['42.358kWh'],['2.580kWh/kW'],['-'],['8.904kW'],['1:00PM'],['Mostly Cloudy'],,['Updated 00:25 UTC+2:00']
14,['20/09/23'],['59.441kWh'],['3.621kWh/kW'],['-'],['8.604kW'],['1:00PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
15,['19/09/23'],['41.500kWh'],['2.528kWh/kW'],['-'],['8.712kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 00:21 UTC+2:00']
16,['18/09/23'],['20.996kWh'],['1.279kWh/kW'],['-'],['6.896kW'],['3:45PM'],['Cloudy'],,['Updated 00:21 UTC+2:00']
17,['17/09/23'],['54.195kWh'],['3.302kWh/kW'],['-'],['8.296kW'],['12:30PM'],['Mostly Cloudy'],,['Updated 00:22 UTC+2:00']
18,['16/09/23'],['58.075kWh'],['3.538kWh/kW'],['-'],['9.308kW'],['1:00PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
19,['15/09/23'],['48.396kWh'],['2.948kWh/kW'],['-'],['9.544kW'],['1:15PM'],['Mostly Cloudy'],,['Updated 00:30 UTC+2:00']
20,['14/09/23'],['30.628kWh'],['1.866kWh/kW'],['-'],['7.444kW'],['1:45PM'],['Cloudy'],,['Updated 00:18 UTC+2:00']
21,['13/09/23'],['26.860kWh'],['1.636kWh/kW'],['-'],['5.700kW'],['2:30PM'],['Cloudy'],,['Updated 00:20 UTC+2:00']
22,['12/09/23'],['51.921kWh'],['3.163kWh/kW'],['-'],['8.936kW'],['12:00PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
23,['11/09/23'],['63.187kWh'],['3.849kWh/kW'],['-'],['8.868kW'],['12:45PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
24,['10/09/23'],['63.787kWh'],['3.886kWh/kW'],['-'],['9.064kW'],['1:15PM'],['Mostly Cloudy'],,['Updated 00:15 UTC+2:00']
25,['09/09/23'],['58.925kWh'],['3.590kWh/kW'],['-'],['8.820kW'],['1:45PM'],['Mostly Cloudy'],,['Updated 00:19 UTC+2:00']
26,['08/09/23'],['62.478kWh'],['3.806kWh/kW'],['-'],['9.032kW'],['1:15PM'],['Mostly Cloudy'],,['Updated 00:19 UTC+2:00']
27,['07/09/23'],['66.764kWh'],['4.067kWh/kW'],['-'],['9.228kW'],['1:00PM'],['Partly Cloudy'],,['Updated 00:23 UTC+2:00']
28,['06/09/23'],['69.856kWh'],['4.256kWh/kW'],['-'],['9.472kW'],['12:45PM'],['Partly Cloudy'],,['Updated 00:24 UTC+2:00']
29,['05/09/23'],['71.978kWh'],['4.385kWh/kW'],['-'],['9.720kW'],['1:00PM'],['Partly Cloudy'],,['Updated 00:26 UTC+2:00']
30,['04/09/23'],['71.771kWh'],['4.372kWh/kW'],['-'],['9.752kW'],['1:30PM'],['Partly Cloudy'],,['Updated 00:15 UTC+2:00']
31,['03/09/23'],['63.264kWh'],['3.854kWh/kW'],['-'],['9.068kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 00:18 UTC+2:00']
32,['02/09/23'],['71.454kWh'],['4.353kWh/kW'],['-'],['9.548kW'],['12:45PM'],['Partly Cloudy'],,['Updated 00:19 UTC+2:00']
33,['01/09/23'],['62.447kWh'],['3.804kWh/kW'],['-'],['9.080kW'],['11:30AM'],['Mostly Cloudy'],,['Updated 00:23 UTC+2:00']
34,['31/08/23'],['33.342kWh'],['2.031kWh/kW'],['-'],['5.628kW'],['2:45PM'],['Cloudy'],,['Updated 00:29 UTC+2:00']
35,['30/08/23'],['55.229kWh'],['3.365kWh/kW'],['-'],['9.168kW'],['3:15PM'],['Mostly Cloudy'],,['Updated 00:22 UTC+2:00']
36,['29/08/23'],['17.499kWh'],['1.066kWh/kW'],['-'],['3.200kW'],['11:15AM'],['Cloudy'],,['Updated 00:27 UTC+2:00']
37,['28/08/23'],['16.550kWh'],['1.008kWh/kW'],['-'],['3.484kW'],['10:45AM'],['Cloudy'],,['Updated 00:18 UTC+2:00']
38,['27/08/23'],['21.173kWh'],['1.290kWh/kW'],['-'],['4.108kW'],['12:00PM'],['Cloudy'],,['Updated 00:17 UTC+2:00']
39,['26/08/23'],['21.302kWh'],['1.298kWh/kW'],['-'],['5.652kW'],['9:00AM'],['Cloudy'],,['Updated 00:18 UTC+2:00']
40,['25/08/23'],['34.970kWh'],['2.130kWh/kW'],['-'],['6.448kW'],['3:00PM'],['Cloudy'],,['Updated 00:18 UTC+2:00']
