,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['168.424kWh'],['2.565kWh/kW'],['-'],"['0,00 CHF']",['31.842kWh'],['48.551kWh'],['42.106kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.577MWh'],['3.202kWh/kW'],['-'],"['0,00 CHF']",['20.996kWh'],['71.978kWh'],['52.568kWh'],[]
2,['Aug 23'],['1.797MWh'],['3.531kWh/kW'],['-'],"['0,00 CHF']",['16.550kWh'],['96.891kWh'],['57.963kWh'],[]
3,['Jul 23'],['2.156MWh'],['4.237kWh/kW'],['-'],"['0,00 CHF']",['34.691kWh'],['99.357kWh'],['69.556kWh'],[]
4,['Jun 23'],['2.622MWh'],['5.325kWh/kW'],['-'],"['0,00 CHF']",['30.049kWh'],['102.439kWh'],['87.401kWh'],[]
5,['May 23'],['1.905MWh'],['3.743kWh/kW'],['-'],"['0,00 CHF']",['18.847kWh'],['99.212kWh'],['61.445kWh'],[]
6,['Apr 23'],['1.455MWh'],['2.956kWh/kW'],['-'],"['0,00 CHF']",['16.109kWh'],['78.299kWh'],['48.516kWh'],[]
7,['Mar 23'],['1.104MWh'],['2.170kWh/kW'],['-'],"['0,00 CHF']",['6.165kWh'],['69.426kWh'],['35.622kWh'],[]
8,['Feb 23'],['664.667kWh'],['1.446kWh/kW'],['-'],"['0,00 CHF']",['6.902kWh'],['40.223kWh'],['23.738kWh'],[]
9,['Jan 23'],['253.224kWh'],['0.498kWh/kW'],['-'],"['0,00 CHF']",['0.033kWh'],['21.349kWh'],['8.168kWh'],[]
10,['Dec 22'],['141.133kWh'],['0.277kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['16.174kWh'],['4.552kWh'],[]
11,['Nov 22'],['425.789kWh'],['0.865kWh/kW'],['-'],"['0,00 CHF']",['3.817kWh'],['25.722kWh'],['14.192kWh'],[]
12,['Oct 22'],['810.522kWh'],['1.593kWh/kW'],['-'],"['0,00 CHF']",['6.856kWh'],['49.536kWh'],['26.145kWh'],[]
13,['Sep 22'],['1.316MWh'],['2.672kWh/kW'],['-'],"['0,00 CHF']",['11.115kWh'],['68.440kWh'],['43.867kWh'],[]
14,['Aug 22'],['2.102MWh'],['4.130kWh/kW'],['-'],"['0,00 CHF']",['6.967kWh'],['92.284kWh'],['67.798kWh'],[]
15,['Jul 22'],['2.613MWh'],['5.134kWh/kW'],['-'],"['0,00 CHF']",['36.807kWh'],['102.910kWh'],['84.276kWh'],[]
16,['Jun 22'],['2.350MWh'],['4.773kWh/kW'],['-'],"['0,00 CHF']",['28.626kWh'],['106.702kWh'],['78.349kWh'],[]
17,['May 22'],['2.320MWh'],['4.559kWh/kW'],['-'],"['0,00 CHF']",['25.199kWh'],['108.302kWh'],['74.829kWh'],[]
18,['Apr 22'],['1.768MWh'],['3.591kWh/kW'],['-'],"['0,00 CHF']",['0.342kWh'],['96.388kWh'],['58.941kWh'],[]
19,['Mar 22'],['1.597MWh'],['3.138kWh/kW'],['-'],"['0,00 CHF']",['9.949kWh'],['68.171kWh'],['51.506kWh'],[]
20,['Feb 22'],['751.457kWh'],['1.635kWh/kW'],['-'],"['0,00 CHF']",['4.048kWh'],['50.478kWh'],['26.837kWh'],[]
21,['Jan 22'],['349.727kWh'],['0.687kWh/kW'],['-'],"['0,00 CHF']",['0.153kWh'],['23.483kWh'],['11.281kWh'],[]
22,['Dec 21'],['244.531kWh'],['0.480kWh/kW'],['-'],"['0,00 CHF']",['1.687kWh'],['14.992kWh'],['7.888kWh'],[]
23,['Nov 21'],['297.950kWh'],['0.605kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['26.299kWh'],['9.931kWh'],[]
24,['Oct 21'],['885.236kWh'],['1.740kWh/kW'],['-'],"['0,00 CHF']",['6.875kWh'],['48.364kWh'],['28.556kWh'],[]
25,['Sep 21'],['1.448MWh'],['2.939kWh/kW'],['-'],"['0,00 CHF']",['12.191kWh'],['70.849kWh'],['48.250kWh'],[]
26,['Aug 21'],['1.613MWh'],['3.170kWh/kW'],['-'],"['0,00 CHF']",['22.080kWh'],['82.756kWh'],['52.042kWh'],[]
27,['Jul 21'],['1.974MWh'],['3.879kWh/kW'],['-'],"['0,00 CHF']",['24.378kWh'],['101.124kWh'],['63.677kWh'],[]
28,['Jun 21'],['2.416MWh'],['4.907kWh/kW'],['-'],"['0,00 CHF']",['26.021kWh'],['108.974kWh'],['80.540kWh'],[]
29,['May 21'],['1.998MWh'],['3.926kWh/kW'],['-'],"['0,00 CHF']",['12.979kWh'],['110.385kWh'],['64.446kWh'],[]
30,['Apr 21'],['2.004MWh'],['4.070kWh/kW'],['-'],"['0,00 CHF']",['29.780kWh'],['95.215kWh'],['66.807kWh'],[]
31,['Mar 21'],['1.374MWh'],['2.699kWh/kW'],['-'],"['0,00 CHF']",['11.508kWh'],['73.504kWh'],['44.308kWh'],[]
32,['Feb 21'],['555.592kWh'],['1.209kWh/kW'],['-'],"['0,00 CHF']",['0.010kWh'],['43.807kWh'],['19.842kWh'],[]
33,['Jan 21'],['61.135kWh'],['0.120kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['11.603kWh'],['1.972kWh'],[]
34,['Dec 20'],['180.541kWh'],['0.355kWh/kW'],['-'],"['0,00 CHF']",['0.002kWh'],['13.213kWh'],['5.823kWh'],[]
35,['Nov 20'],['371.657kWh'],['0.755kWh/kW'],['-'],"['0,00 CHF']",['2.289kWh'],['23.757kWh'],['12.388kWh'],[]
36,['Oct 20'],['777.756kWh'],['1.528kWh/kW'],['-'],"['0,00 CHF']",['2.974kWh'],['43.847kWh'],['25.088kWh'],[]
37,['Sep 20'],['1.485MWh'],['3.016kWh/kW'],['-'],"['0,00 CHF']",['11.320kWh'],['73.248kWh'],['49.513kWh'],[]
38,['Aug 20'],['1.993MWh'],['3.918kWh/kW'],['-'],"['0,00 CHF']",['7.245kWh'],['96.087kWh'],['64.305kWh'],[]
39,['Jul 20'],['2.552MWh'],['5.015kWh/kW'],['-'],"['0,00 CHF']",['22.059kWh'],['109.600kWh'],['82.315kWh'],[]
40,['Jun 20'],['2.065MWh'],['4.193kWh/kW'],['-'],"['0,00 CHF']",['18.552kWh'],['109.671kWh'],['68.830kWh'],[]
41,['May 20'],['2.373MWh'],['4.664kWh/kW'],['-'],"['0,00 CHF']",['11.257kWh'],['108.628kWh'],['76.556kWh'],[]
42,['Apr 20'],['2.265MWh'],['4.599kWh/kW'],['-'],"['0,00 CHF']",['21.552kWh'],['92.369kWh'],['75.485kWh'],[]
43,['Mar 20'],['1.418MWh'],['2.787kWh/kW'],['-'],"['0,00 CHF']",['8.864kWh'],['81.893kWh'],['45.744kWh'],[]
44,['Feb 20'],['693.335kWh'],['1.456kWh/kW'],['-'],"['0,00 CHF']",['2.879kWh'],['49.936kWh'],['23.908kWh'],[]
45,['Jan 20'],['458.136kWh'],['0.900kWh/kW'],['-'],"['0,00 CHF']",['3.216kWh'],['23.534kWh'],['14.778kWh'],[]
