,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['120.977kWh'],['2.457kWh/kW'],['-'],"['0,00 CHF']",['31.842kWh'],['48.551kWh'],['40.325kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['356.002kWh'],['3.098kWh/kW'],['-'],"['0,00 CHF']",['41.779kWh'],['57.616kWh'],['50.857kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['272.517kWh'],['2.371kWh/kW'],['-'],"['0,00 CHF']",['20.996kWh'],['59.441kWh'],['38.931kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['333.262kWh'],['2.900kWh/kW'],['-'],"['0,00 CHF']",['26.860kWh'],['63.187kWh'],['47.608kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['465.559kWh'],['4.052kWh/kW'],['-'],"['0,00 CHF']",['58.925kWh'],['71.978kWh'],['66.508kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['319.785kWh'],['2.783kWh/kW'],['-'],"['0,00 CHF']",['16.550kWh'],['71.454kWh'],['45.683kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['368.227kWh'],['3.205kWh/kW'],['-'],"['0,00 CHF']",['21.173kWh'],['75.036kWh'],['52.603kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['504.997kWh'],['4.395kWh/kW'],['-'],"['0,00 CHF']",['59.204kWh'],['80.480kWh'],['72.142kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['468.024kWh'],['4.073kWh/kW'],['-'],"['0,00 CHF']",['38.711kWh'],['86.607kWh'],['66.860kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['409.556kWh'],['3.565kWh/kW'],['-'],"['0,00 CHF']",['30.414kWh'],['96.891kWh'],['58.508kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['381.979kWh'],['3.324kWh/kW'],['-'],"['0,00 CHF']",['43.692kWh'],['67.513kWh'],['54.568kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['524.461kWh'],['4.564kWh/kW'],['-'],"['0,00 CHF']",['54.633kWh'],['84.423kWh'],['74.923kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['510.281kWh'],['4.441kWh/kW'],['-'],"['0,00 CHF']",['34.691kWh'],['96.139kWh'],['72.897kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['540.296kWh'],['4.702kWh/kW'],['-'],"['0,00 CHF']",['50.599kWh'],['99.357kWh'],['77.185kWh'],['03/07/23 - 09/07/23']
