,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['36.874kWh'],['2.156kWh/kW'],['-'],['9.911kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 13:57 UTC+2:00']
1,['03/10/23'],['53.736kWh'],['3.142kWh/kW'],['-'],['11.002kW'],['12:20PM'],['Mostly Cloudy'],,['Updated 21:05 UTC+2:00']
2,['02/10/23'],['64.236kWh'],['3.756kWh/kW'],['-'],['9.487kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 21:22 UTC+2:00']
3,['01/10/23'],['61.752kWh'],['3.611kWh/kW'],['-'],['9.586kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 21:27 UTC+2:00']
4,['30/09/23'],['52.704kWh'],['3.082kWh/kW'],['-'],['9.620kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 20:31 UTC+2:00']
5,['29/09/23'],['62.604kWh'],['3.661kWh/kW'],['-'],['9.694kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 21:32 UTC+2:00']
6,['28/09/23'],['66.018kWh'],['3.861kWh/kW'],['-'],['9.885kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 21:35 UTC+2:00']
7,['27/09/23'],['67.716kWh'],['3.960kWh/kW'],['-'],['10.298kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 21:25 UTC+2:00']
8,['26/09/23'],['71.763kWh'],['4.197kWh/kW'],['-'],['10.204kW'],['1:05PM'],['Partly Cloudy'],,['Updated 00:14 UTC+2:00']
9,['25/09/23'],['73.134kWh'],['4.277kWh/kW'],['-'],['10.331kW'],['1:35PM'],['Partly Cloudy'],,['Updated 21:48 UTC+2:00']
10,['24/09/23'],['73.176kWh'],['4.279kWh/kW'],['-'],['11.247kW'],['11:50AM'],['Partly Cloudy'],,['Updated 21:40 UTC+2:00']
11,['23/09/23'],['40.143kWh'],['2.348kWh/kW'],['-'],['10.612kW'],['2:50PM'],['Cloudy'],,['Updated 21:46 UTC+2:00']
12,['22/09/23'],['42.369kWh'],['2.478kWh/kW'],['-'],['11.371kW'],['2:50PM'],['Cloudy'],,['Updated 21:48 UTC+2:00']
13,['21/09/23'],['48.939kWh'],['2.862kWh/kW'],['-'],['10.668kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 21:35 UTC+2:00']
14,['20/09/23'],['74.502kWh'],['4.357kWh/kW'],['-'],['10.382kW'],['1:35PM'],['Partly Cloudy'],,['Updated 21:52 UTC+2:00']
15,['19/09/23'],['57.102kWh'],['3.339kWh/kW'],['-'],['11.996kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 21:56 UTC+2:00']
16,['18/09/23'],['23.958kWh'],['1.401kWh/kW'],['-'],['6.952kW'],['4:05PM'],['Cloudy'],,['Updated 21:57 UTC+2:00']
17,['17/09/23'],['66.204kWh'],['3.872kWh/kW'],['-'],['9.988kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 21:58 UTC+2:00']
18,['16/09/23'],['58.305kWh'],['3.410kWh/kW'],['-'],['10.512kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 21:46 UTC+2:00']
19,['15/09/23'],['56.079kWh'],['3.279kWh/kW'],['-'],['11.060kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 22:04 UTC+2:00']
20,['14/09/23'],['38.916kWh'],['2.276kWh/kW'],['-'],['10.099kW'],['1:50PM'],['Cloudy'],,['Updated 21:54 UTC+2:00']
21,['13/09/23'],['29.712kWh'],['1.738kWh/kW'],['-'],['8.435kW'],['11:35AM'],['Cloudy'],,['Updated 21:39 UTC+2:00']
22,['12/09/23'],['58.320kWh'],['3.411kWh/kW'],['-'],['10.373kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 21:58 UTC+2:00']
23,['11/09/23'],['74.793kWh'],['4.374kWh/kW'],['-'],['10.131kW'],['1:50PM'],['Partly Cloudy'],,['Updated 22:11 UTC+2:00']
24,['10/09/23'],['74.814kWh'],['4.375kWh/kW'],['-'],['10.424kW'],['1:05PM'],['Partly Cloudy'],,['Updated 22:17 UTC+2:00']
25,['09/09/23'],['73.950kWh'],['4.325kWh/kW'],['-'],['10.452kW'],['2:05PM'],['Partly Cloudy'],,['Updated 22:04 UTC+2:00']
26,['08/09/23'],['76.365kWh'],['4.466kWh/kW'],['-'],['10.374kW'],['1:35PM'],['Partly Cloudy'],,['Updated 22:22 UTC+2:00']
27,['07/09/23'],['78.234kWh'],['4.575kWh/kW'],['-'],['10.398kW'],['1:20PM'],['Partly Cloudy'],,['Updated 22:09 UTC+2:00']
28,['06/09/23'],['81.015kWh'],['4.738kWh/kW'],['-'],['10.712kW'],['1:35PM'],['Partly Cloudy'],,['Updated 22:10 UTC+2:00']
29,['05/09/23'],['82.830kWh'],['4.844kWh/kW'],['-'],['10.876kW'],['1:20PM'],['Partly Cloudy'],,['Updated 22:27 UTC+2:00']
30,['04/09/23'],['83.184kWh'],['4.865kWh/kW'],['-'],['11.034kW'],['1:35PM'],['Partly Cloudy'],,['Updated 22:17 UTC+2:00']
31,['03/09/23'],['67.482kWh'],['3.946kWh/kW'],['-'],['10.343kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 22:18 UTC+2:00']
32,['02/09/23'],['81.219kWh'],['4.750kWh/kW'],['-'],['10.774kW'],['1:05PM'],['Partly Cloudy'],,['Updated 22:34 UTC+2:00']
33,['01/09/23'],['74.412kWh'],['4.352kWh/kW'],['-'],['11.081kW'],['2:50PM'],['Partly Cloudy'],,['Updated 22:20 UTC+2:00']
34,['31/08/23'],['36.060kWh'],['2.109kWh/kW'],['-'],['6.778kW'],['1:35PM'],['Cloudy'],,['Updated 22:22 UTC+2:00']
