,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['216.598kWh'],['3.166kWh/kW'],['-'],"['0,00 CHF']",['36.874kWh'],['64.236kWh'],['54.149kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.910MWh'],['3.723kWh/kW'],['-'],"['0,00 CHF']",['23.958kWh'],['83.184kWh'],['63.665kWh'],[]
2,['Aug 23'],['1.956MWh'],['3.690kWh/kW'],['-'],"['0,00 CHF']",['16.920kWh'],['99.102kWh'],['63.102kWh'],[]
3,['Jul 23'],['2.366MWh'],['4.464kWh/kW'],['-'],"['0,00 CHF']",['32.352kWh'],['101.661kWh'],['76.330kWh'],[]
4,['Jun 23'],['2.771MWh'],['5.402kWh/kW'],['-'],"['0,00 CHF']",['33.624kWh'],['105.864kWh'],['92.376kWh'],[]
5,['May 23'],['2.114MWh'],['3.988kWh/kW'],['-'],"['0,00 CHF']",['19.902kWh'],['106.467kWh'],['68.187kWh'],[]
6,['Apr 23'],['1.725MWh'],['3.363kWh/kW'],['-'],"['0,00 CHF']",['14.154kWh'],['98.931kWh'],['57.506kWh'],[]
7,['Mar 23'],['1.354MWh'],['2.554kWh/kW'],['-'],"['0,00 CHF']",['7.041kWh'],['80.319kWh'],['43.670kWh'],[]
8,['Feb 23'],['958.945kWh'],['2.003kWh/kW'],['-'],"['0,00 CHF']",['7.230kWh'],['60.618kWh'],['34.248kWh'],[]
9,['Jan 23'],['412.623kWh'],['0.778kWh/kW'],['-'],"['0,00 CHF']",['2.154kWh'],['37.625kWh'],['13.310kWh'],[]
10,['Dec 22'],['201.054kWh'],['0.379kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['31.656kWh'],['6.485kWh'],[]
11,['Nov 22'],['0.000kWh'],['0.000kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['0.000kWh'],['0.000kWh'],[]
12,['Oct 22'],['869.286kWh'],['1.640kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['68.283kWh'],['28.041kWh'],[]
13,['Sep 22'],['1.565MWh'],['3.051kWh/kW'],['-'],"['0,00 CHF']",['12.702kWh'],['80.343kWh'],['52.174kWh'],[]
14,['Aug 22'],['2.329MWh'],['4.393kWh/kW'],['-'],"['0,00 CHF']",['9.201kWh'],['99.213kWh'],['75.113kWh'],[]
15,['Jul 22'],['2.788MWh'],['5.260kWh/kW'],['-'],"['0,00 CHF']",['39.627kWh'],['109.653kWh'],['89.950kWh'],[]
16,['Jun 22'],['2.468MWh'],['4.811kWh/kW'],['-'],"['0,00 CHF']",['30.138kWh'],['110.850kWh'],['82.267kWh'],[]
17,['May 22'],['2.481MWh'],['4.679kWh/kW'],['-'],"['0,00 CHF']",['25.869kWh'],['111.192kWh'],['80.018kWh'],[]
18,['Apr 22'],['2.017MWh'],['3.932kWh/kW'],['-'],"['0,00 CHF']",['1.305kWh'],['104.247kWh'],['67.232kWh'],[]
19,['Mar 22'],['1.996MWh'],['3.765kWh/kW'],['-'],"['0,00 CHF']",['9.498kWh'],['83.139kWh'],['64.385kWh'],[]
20,['Feb 22'],['1.074MWh'],['2.242kWh/kW'],['-'],"['0,00 CHF']",['6.057kWh'],['71.742kWh'],['38.342kWh'],[]
21,['Jan 22'],['692.313kWh'],['1.306kWh/kW'],['-'],"['0,00 CHF']",['0.303kWh'],['43.173kWh'],['22.332kWh'],[]
22,['Dec 21'],['369.516kWh'],['0.697kWh/kW'],['-'],"['0,00 CHF']",['1.677kWh'],['34.080kWh'],['11.919kWh'],[]
23,['Nov 21'],['413.160kWh'],['0.805kWh/kW'],['-'],"['0,00 CHF']",['0.219kWh'],['43.212kWh'],['13.772kWh'],[]
24,['Oct 21'],['1.202MWh'],['2.268kWh/kW'],['-'],"['0,00 CHF']",['6.726kWh'],['68.592kWh'],['38.785kWh'],[]
25,['Sep 21'],['1.848MWh'],['3.603kWh/kW'],['-'],"['0,00 CHF']",['12.057kWh'],['88.476kWh'],['61.607kWh'],[]
26,['Aug 21'],['1.860MWh'],['3.508kWh/kW'],['-'],"['0,00 CHF']",['19.761kWh'],['94.125kWh'],['59.985kWh'],[]
27,['Jul 21'],['2.102MWh'],['3.966kWh/kW'],['-'],"['0,00 CHF']",['27.231kWh'],['105.888kWh'],['67.821kWh'],[]
28,['Jun 21'],['2.481MWh'],['4.837kWh/kW'],['-'],"['0,00 CHF']",['27.714kWh'],['111.633kWh'],['82.705kWh'],[]
29,['May 21'],['2.263MWh'],['4.269kWh/kW'],['-'],"['0,00 CHF']",['16.104kWh'],['117.198kWh'],['72.996kWh'],[]
30,['Apr 21'],['2.250MWh'],['4.385kWh/kW'],['-'],"['0,00 CHF']",['31.953kWh'],['105.339kWh'],['74.988kWh'],[]
31,['Mar 21'],['1.669MWh'],['3.148kWh/kW'],['-'],"['0,00 CHF']",['10.311kWh'],['88.239kWh'],['53.832kWh'],[]
32,['Feb 21'],['769.479kWh'],['1.607kWh/kW'],['-'],"['0,00 CHF']",['0.093kWh'],['64.119kWh'],['27.481kWh'],[]
33,['Jan 21'],['173.712kWh'],['0.328kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['28.647kWh'],['5.603kWh'],[]
34,['Dec 20'],['261.156kWh'],['0.493kWh/kW'],['-'],"['0,00 CHF']",['0.042kWh'],['31.608kWh'],['8.424kWh'],[]
35,['Nov 20'],['548.961kWh'],['1.070kWh/kW'],['-'],"['0,00 CHF']",['2.301kWh'],['41.928kWh'],['18.298kWh'],[]
36,['Oct 20'],['933.183kWh'],['1.760kWh/kW'],['-'],"['0,00 CHF']",['3.054kWh'],['55.494kWh'],['30.102kWh'],[]
37,['Sep 20'],['1.654MWh'],['3.225kWh/kW'],['-'],"['0,00 CHF']",['11.220kWh'],['83.019kWh'],['55.145kWh'],[]
38,['Aug 20'],['2.058MWh'],['3.883kWh/kW'],['-'],"['0,00 CHF']",['6.843kWh'],['99.579kWh'],['66.392kWh'],[]
39,['Jul 20'],['2.546MWh'],['4.803kWh/kW'],['-'],"['0,00 CHF']",['20.979kWh'],['107.331kWh'],['82.134kWh'],[]
40,['Jun 20'],['2.141MWh'],['4.174kWh/kW'],['-'],"['0,00 CHF']",['18.813kWh'],['106.938kWh'],['71.377kWh'],[]
41,['May 20'],['2.426MWh'],['4.576kWh/kW'],['-'],"['0,00 CHF']",['10.338kWh'],['109.197kWh'],['78.252kWh'],[]
42,['Apr 20'],['112.911kWh'],['2.201kWh/kW'],['-'],"['0,00 CHF']",['24.234kWh'],['60.228kWh'],['37.637kWh'],['Partial Month (3 days)']
43,['Feb 20'],['834.540kWh'],['1.877kWh/kW'],['-'],"['0,00 CHF']",['4.236kWh'],['58.530kWh'],['32.097kWh'],['Partial Month (26 days)']
44,['Jan 20'],['699.555kWh'],['1.320kWh/kW'],['-'],"['0,00 CHF']",['3.237kWh'],['37.554kWh'],['22.566kWh'],[]
45,['Dec 19'],['380.877kWh'],['0.718kWh/kW'],['-'],"['0,00 CHF']",['3.819kWh'],['35.220kWh'],['12.286kWh'],[]
46,['Nov 19'],['504.621kWh'],['0.984kWh/kW'],['-'],"['0,00 CHF']",['4.605kWh'],['33.867kWh'],['16.820kWh'],[]
47,['Oct 19'],['991.860kWh'],['1.871kWh/kW'],['-'],"['0,00 CHF']",['4.479kWh'],['68.226kWh'],['31.995kWh'],[]
48,['Sep 19'],['1.731MWh'],['3.374kWh/kW'],['-'],"['0,00 CHF']",['17.703kWh'],['84.948kWh'],['57.699kWh'],[]
49,['Aug 19'],['2.060MWh'],['3.885kWh/kW'],['-'],"['0,00 CHF']",['13.821kWh'],['97.233kWh'],['66.441kWh'],[]
50,['Jul 19'],['2.623MWh'],['4.947kWh/kW'],['-'],"['0,00 CHF']",['17.439kWh'],['108.285kWh'],['84.602kWh'],[]
51,['Jun 19'],['2.515MWh'],['4.903kWh/kW'],['-'],"['0,00 CHF']",['28.533kWh'],['107.430kWh'],['83.846kWh'],[]
52,['May 19'],['2.116MWh'],['3.991kWh/kW'],['-'],"['0,00 CHF']",['8.793kWh'],['108.552kWh'],['68.246kWh'],[]
53,['Apr 19'],['1.775MWh'],['3.459kWh/kW'],['-'],"['0,00 CHF']",['11.316kWh'],['97.392kWh'],['59.151kWh'],[]
54,['Mar 19'],['1.645MWh'],['3.102kWh/kW'],['-'],"['0,00 CHF']",['9.141kWh'],['86.358kWh'],['53.049kWh'],[]
55,['Feb 19'],['1.130MWh'],['2.359kWh/kW'],['-'],"['0,00 CHF']",['2.700kWh'],['68.433kWh'],['40.347kWh'],[]
