,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['154.846kWh'],['3.018kWh/kW'],['-'],"['0,00 CHF']",['36.874kWh'],['64.236kWh'],['51.615kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['455.691kWh'],['3.807kWh/kW'],['-'],"['0,00 CHF']",['52.704kWh'],['73.134kWh'],['65.098kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['360.189kWh'],['3.009kWh/kW'],['-'],"['0,00 CHF']",['23.958kWh'],['74.502kWh'],['51.455kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['382.329kWh'],['3.194kWh/kW'],['-'],"['0,00 CHF']",['29.712kWh'],['74.793kWh'],['54.618kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['550.392kWh'],['4.598kWh/kW'],['-'],"['0,00 CHF']",['73.950kWh'],['83.184kWh'],['78.627kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['359.313kWh'],['3.002kWh/kW'],['-'],"['0,00 CHF']",['16.920kWh'],['81.219kWh'],['51.330kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['405.957kWh'],['3.391kWh/kW'],['-'],"['0,00 CHF']",['20.886kWh'],['83.214kWh'],['57.993kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['540.453kWh'],['4.515kWh/kW'],['-'],"['0,00 CHF']",['57.978kWh'],['85.461kWh'],['77.207kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['495.651kWh'],['4.141kWh/kW'],['-'],"['0,00 CHF']",['42.927kWh'],['91.416kWh'],['70.807kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['462.237kWh'],['3.862kWh/kW'],['-'],"['0,00 CHF']",['41.772kWh'],['99.102kWh'],['66.033kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['437.988kWh'],['3.659kWh/kW'],['-'],"['0,00 CHF']",['45.600kWh'],['85.584kWh'],['62.569kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['569.421kWh'],['4.757kWh/kW'],['-'],"['0,00 CHF']",['59.232kWh'],['93.486kWh'],['81.345kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['531.366kWh'],['4.439kWh/kW'],['-'],"['0,00 CHF']",['32.352kWh'],['95.913kWh'],['75.909kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['602.373kWh'],['5.032kWh/kW'],['-'],"['0,00 CHF']",['58.800kWh'],['101.661kWh'],['86.053kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['534.165kWh'],['4.463kWh/kW'],['-'],"['0,00 CHF']",['33.624kWh'],['99.561kWh'],['76.309kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['594.600kWh'],['4.967kWh/kW'],['-'],"['0,00 CHF']",['56.310kWh'],['105.864kWh'],['84.942kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['684.756kWh'],['5.721kWh/kW'],['-'],"['0,00 CHF']",['88.656kWh'],['105.588kWh'],['97.822kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['700.597kWh'],['5.853kWh/kW'],['-'],"['0,00 CHF']",['89.955kWh'],['103.884kWh'],['100.085kWh'],['05/06/23 - 11/06/23']
