,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['17.070kWh'],['1.317kWh/kW'],['-'],['4.148kW'],['1:50PM'],['Cloudy'],,['Updated 14:06 UTC+2:00']
1,['03/10/23'],['25.455kWh'],['1.964kWh/kW'],['-'],['4.419kW'],['12:20PM'],['Cloudy'],,['Updated 21:03 UTC+2:00']
2,['02/10/23'],['30.324kWh'],['2.340kWh/kW'],['-'],['3.920kW'],['1:35PM'],['Cloudy'],,['Updated 21:13 UTC+2:00']
3,['01/10/23'],['28.446kWh'],['2.195kWh/kW'],['-'],['3.979kW'],['1:35PM'],['Cloudy'],,['Updated 21:25 UTC+2:00']
4,['30/09/23'],['24.700kWh'],['1.906kWh/kW'],['-'],['4.612kW'],['1:35PM'],['Cloudy'],,['Updated 20:21 UTC+2:00']
5,['29/09/23'],['30.072kWh'],['2.320kWh/kW'],['-'],['4.055kW'],['3:50PM'],['Cloudy'],,['Updated 21:18 UTC+2:00']
6,['28/09/23'],['31.014kWh'],['2.393kWh/kW'],['-'],['4.136kW'],['1:35PM'],['Cloudy'],,['Updated 21:41 UTC+2:00']
7,['27/09/23'],['33.975kWh'],['2.622kWh/kW'],['-'],['4.621kW'],['11:35AM'],['Mostly Cloudy'],,['Updated 21:23 UTC+2:00']
8,['26/09/23'],['34.665kWh'],['2.675kWh/kW'],['-'],['4.276kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 00:03 UTC+2:00']
9,['25/09/23'],['35.244kWh'],['2.719kWh/kW'],['-'],['4.338kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 21:29 UTC+2:00']
10,['24/09/23'],['34.611kWh'],['2.671kWh/kW'],['-'],['4.846kW'],['11:35AM'],['Mostly Cloudy'],,['Updated 21:42 UTC+2:00']
11,['23/09/23'],['19.006kWh'],['1.467kWh/kW'],['-'],['4.984kW'],['2:50PM'],['Cloudy'],,['Updated 21:38 UTC+2:00']
12,['22/09/23'],['18.691kWh'],['1.442kWh/kW'],['-'],['5.819kW'],['1:35PM'],['Cloudy'],,['Updated 21:19 UTC+2:00']
13,['21/09/23'],['23.118kWh'],['1.784kWh/kW'],['-'],['4.486kW'],['12:35PM'],['Cloudy'],,['Updated 21:14 UTC+2:00']
14,['20/09/23'],['36.603kWh'],['2.824kWh/kW'],['-'],['4.431kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 21:53 UTC+2:00']
15,['19/09/23'],['30.954kWh'],['2.388kWh/kW'],['-'],['5.318kW'],['2:35PM'],['Cloudy'],,['Updated 21:49 UTC+2:00']
16,['18/09/23'],['12.939kWh'],['0.998kWh/kW'],['-'],['3.496kW'],['4:20PM'],['Showers'],,['Updated 21:45 UTC+2:00']
17,['17/09/23'],['33.534kWh'],['2.588kWh/kW'],['-'],['4.591kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 21:55 UTC+2:00']
18,['16/09/23'],['29.658kWh'],['2.288kWh/kW'],['-'],['4.673kW'],['12:50PM'],['Cloudy'],,['Updated 21:19 UTC+2:00']
19,['15/09/23'],['31.536kWh'],['2.433kWh/kW'],['-'],['4.758kW'],['1:35PM'],['Cloudy'],,['Updated 21:59 UTC+2:00']
20,['14/09/23'],['20.658kWh'],['1.594kWh/kW'],['-'],['5.162kW'],['1:05PM'],['Cloudy'],,['Updated 21:26 UTC+2:00']
21,['13/09/23'],['16.470kWh'],['1.271kWh/kW'],['-'],['3.443kW'],['11:35AM'],['Cloudy'],,['Updated 19:51 UTC+2:00']
22,['12/09/23'],['29.376kWh'],['2.267kWh/kW'],['-'],['4.633kW'],['1:50PM'],['Cloudy'],,['Updated 21:48 UTC+2:00']
