,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['101.295kWh'],['1.954kWh/kW'],['-'],"['0,00 CHF']",['17.070kWh'],['30.324kWh'],['25.323kWh'],['Partial Month (4 days)']
1,['Sep 23'],['971.823kWh'],['2.500kWh/kW'],['-'],"['0,00 CHF']",['12.939kWh'],['43.608kWh'],['32.394kWh'],[]
2,['Aug 23'],['1.080MWh'],['2.688kWh/kW'],['-'],"['0,00 CHF']",['9.216kWh'],['55.293kWh'],['34.841kWh'],[]
3,['Jul 23'],['1.341MWh'],['3.338kWh/kW'],['-'],"['0,00 CHF']",['19.440kWh'],['58.899kWh'],['43.261kWh'],[]
4,['Jun 23'],['1.580MWh'],['4.064kWh/kW'],['-'],"['0,00 CHF']",['18.387kWh'],['62.604kWh'],['52.667kWh'],[]
5,['May 23'],['1.182MWh'],['2.941kWh/kW'],['-'],"['0,00 CHF']",['11.220kWh'],['60.894kWh'],['38.117kWh'],[]
6,['Apr 23'],['923.478kWh'],['2.375kWh/kW'],['-'],"['0,00 CHF']",['8.061kWh'],['51.273kWh'],['30.782kWh'],[]
7,['Mar 23'],['678.308kWh'],['1.688kWh/kW'],['-'],"['0,00 CHF']",['3.642kWh'],['40.443kWh'],['21.880kWh'],[]
8,['Feb 23'],['434.324kWh'],['1.197kWh/kW'],['-'],"['0,00 CHF']",['3.728kWh'],['26.044kWh'],['15.511kWh'],[]
9,['Jan 23'],['181.176kWh'],['0.451kWh/kW'],['-'],"['0,00 CHF']",['0.975kWh'],['14.958kWh'],['5.844kWh'],[]
10,['Dec 22'],['93.825kWh'],['0.234kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['12.459kWh'],['3.026kWh'],[]
11,['Nov 22'],['272.315kWh'],['0.700kWh/kW'],['-'],"['0,00 CHF']",['1.941kWh'],['18.198kWh'],['9.077kWh'],[]
12,['Oct 22'],['536.665kWh'],['1.336kWh/kW'],['-'],"['0,00 CHF']",['4.059kWh'],['31.878kWh'],['17.311kWh'],[]
13,['Sep 22'],['838.877kWh'],['2.158kWh/kW'],['-'],"['0,00 CHF']",['6.605kWh'],['44.139kWh'],['27.962kWh'],[]
14,['Aug 22'],['1.324MWh'],['3.295kWh/kW'],['-'],"['0,00 CHF']",['4.602kWh'],['58.086kWh'],['42.700kWh'],[]
15,['Jul 22'],['1.584MWh'],['3.943kWh/kW'],['-'],"['0,00 CHF']",['17.496kWh'],['63.777kWh'],['51.098kWh'],[]
16,['Jun 22'],['1.450MWh'],['3.729kWh/kW'],['-'],"['0,00 CHF']",['19.344kWh'],['64.977kWh'],['48.324kWh'],[]
17,['May 22'],['1.448MWh'],['3.604kWh/kW'],['-'],"['0,00 CHF']",['16.038kWh'],['68.034kWh'],['46.706kWh'],[]
18,['Apr 22'],['1.125MWh'],['2.894kWh/kW'],['-'],"['0,00 CHF']",['0.909kWh'],['59.709kWh'],['37.507kWh'],[]
19,['Mar 22'],['467.182kWh'],['1.163kWh/kW'],['-'],"['0,00 CHF']",['0.132kWh'],['36.132kWh'],['15.070kWh'],[]
20,['Feb 22'],['483.366kWh'],['1.332kWh/kW'],['-'],"['0,00 CHF']",['2.805kWh'],['32.016kWh'],['17.263kWh'],[]
21,['Jan 22'],['280.542kWh'],['0.698kWh/kW'],['-'],"['0,00 CHF']",['0.033kWh'],['17.601kWh'],['9.049kWh'],[]
22,['Dec 21'],['153.870kWh'],['0.383kWh/kW'],['-'],"['0,00 CHF']",['0.834kWh'],['12.177kWh'],['4.963kWh'],[]
23,['Nov 21'],['188.685kWh'],['0.485kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['17.115kWh'],['6.289kWh'],[]
24,['Oct 21'],['572.922kWh'],['1.426kWh/kW'],['-'],"['0,00 CHF']",['3.402kWh'],['33.360kWh'],['18.481kWh'],[]
25,['Sep 21'],['976.407kWh'],['2.511kWh/kW'],['-'],"['0,00 CHF']",['7.245kWh'],['48.708kWh'],['32.546kWh'],[]
26,['Aug 21'],['1.068MWh'],['2.658kWh/kW'],['-'],"['0,00 CHF']",['11.547kWh'],['54.909kWh'],['34.454kWh'],[]
27,['Jul 21'],['1.228MWh'],['3.055kWh/kW'],['-'],"['0,00 CHF']",['15.597kWh'],['60.399kWh'],['39.597kWh'],[]
28,['Jun 21'],['1.454MWh'],['3.739kWh/kW'],['-'],"['0,00 CHF']",['16.029kWh'],['67.200kWh'],['48.452kWh'],[]
29,['May 21'],['1.304MWh'],['3.245kWh/kW'],['-'],"['0,00 CHF']",['9.963kWh'],['69.159kWh'],['42.057kWh'],[]
30,['Apr 21'],['1.261MWh'],['3.244kWh/kW'],['-'],"['0,00 CHF']",['18.522kWh'],['59.703kWh'],['42.045kWh'],[]
31,['Mar 21'],['868.152kWh'],['2.161kWh/kW'],['-'],"['0,00 CHF']",['6.237kWh'],['45.879kWh'],['28.004kWh'],[]
32,['Feb 21'],['390.669kWh'],['1.077kWh/kW'],['-'],"['0,00 CHF']",['0.312kWh'],['29.082kWh'],['13.952kWh'],[]
33,['Jan 21'],['86.604kWh'],['0.216kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['14.124kWh'],['2.793kWh'],[]
34,['Dec 20'],['126.039kWh'],['0.314kWh/kW'],['-'],"['0,00 CHF']",['0.027kWh'],['11.649kWh'],['4.065kWh'],[]
35,['Nov 20'],['244.371kWh'],['0.629kWh/kW'],['-'],"['0,00 CHF']",['1.047kWh'],['17.529kWh'],['8.145kWh'],[]
36,['Oct 20'],['492.996kWh'],['1.227kWh/kW'],['-'],"['0,00 CHF']",['1.299kWh'],['28.116kWh'],['15.903kWh'],[]
37,['Sep 20'],['925.413kWh'],['2.380kWh/kW'],['-'],"['0,00 CHF']",['5.400kWh'],['47.709kWh'],['30.847kWh'],[]
38,['Aug 20'],['1.220MWh'],['3.036kWh/kW'],['-'],"['0,00 CHF']",['3.975kWh'],['58.854kWh'],['39.342kWh'],[]
39,['Jul 20'],['1.590MWh'],['3.958kWh/kW'],['-'],"['0,00 CHF']",['12.723kWh'],['67.923kWh'],['51.292kWh'],[]
40,['Jun 20'],['1.329MWh'],['3.418kWh/kW'],['-'],"['0,00 CHF']",['10.650kWh'],['68.166kWh'],['44.299kWh'],[]
41,['May 20'],['1.504MWh'],['3.742kWh/kW'],['-'],"['0,00 CHF']",['6.375kWh'],['68.787kWh'],['48.501kWh'],[]
