,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['72.849kWh'],['1.874kWh/kW'],['-'],"['0,00 CHF']",['17.070kWh'],['30.324kWh'],['24.283kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['218.116kWh'],['2.404kWh/kW'],['-'],"['0,00 CHF']",['24.700kWh'],['35.244kWh'],['31.159kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['175.922kWh'],['1.939kWh/kW'],['-'],"['0,00 CHF']",['12.939kWh'],['36.603kWh'],['25.131kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['199.833kWh'],['2.203kWh/kW'],['-'],"['0,00 CHF']",['16.470kWh'],['38.601kWh'],['28.547kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['285.420kWh'],['3.146kWh/kW'],['-'],"['0,00 CHF']",['37.017kWh'],['43.608kWh'],['40.774kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['193.941kWh'],['2.138kWh/kW'],['-'],"['0,00 CHF']",['9.216kWh'],['43.077kWh'],['27.705kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['220.857kWh'],['2.435kWh/kW'],['-'],"['0,00 CHF']",['11.472kWh'],['46.029kWh'],['31.551kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['296.934kWh'],['3.273kWh/kW'],['-'],"['0,00 CHF']",['32.721kWh'],['47.364kWh'],['42.419kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['280.035kWh'],['3.087kWh/kW'],['-'],"['0,00 CHF']",['22.800kWh'],['51.141kWh'],['40.005kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['251.403kWh'],['2.771kWh/kW'],['-'],"['0,00 CHF']",['26.232kWh'],['55.293kWh'],['35.914kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['248.634kWh'],['2.741kWh/kW'],['-'],"['0,00 CHF']",['26.847kWh'],['47.712kWh'],['35.519kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['322.017kWh'],['3.549kWh/kW'],['-'],"['0,00 CHF']",['31.098kWh'],['51.963kWh'],['46.002kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['308.124kWh'],['3.396kWh/kW'],['-'],"['0,00 CHF']",['19.440kWh'],['58.002kWh'],['44.017kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['343.809kWh'],['3.790kWh/kW'],['-'],"['0,00 CHF']",['33.699kWh'],['58.899kWh'],['49.115kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['300.927kWh'],['3.317kWh/kW'],['-'],"['0,00 CHF']",['18.387kWh'],['57.312kWh'],['42.989kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['337.308kWh'],['3.718kWh/kW'],['-'],"['0,00 CHF']",['34.659kWh'],['61.185kWh'],['48.186kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['392.319kWh'],['4.325kWh/kW'],['-'],"['0,00 CHF']",['49.122kWh'],['62.604kWh'],['56.045kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['407.703kWh'],['4.494kWh/kW'],['-'],"['0,00 CHF']",['55.017kWh'],['60.198kWh'],['58.243kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['399.150kWh'],['4.400kWh/kW'],['-'],"['0,00 CHF']",['46.602kWh'],['60.894kWh'],['57.021kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['322.818kWh'],['3.558kWh/kW'],['-'],"['0,00 CHF']",['12.366kWh'],['59.235kWh'],['46.116kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['194.172kWh'],['2.141kWh/kW'],['-'],"['0,00 CHF']",['11.220kWh'],['46.533kWh'],['27.738kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['189.111kWh'],['2.085kWh/kW'],['-'],"['0,00 CHF']",['17.091kWh'],['41.313kWh'],['27.015kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['294.561kWh'],['3.247kWh/kW'],['-'],"['0,00 CHF']",['27.012kWh'],['55.077kWh'],['42.080kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['241.782kWh'],['2.665kWh/kW'],['-'],"['0,00 CHF']",['14.331kWh'],['48.441kWh'],['34.540kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['183.204kWh'],['2.020kWh/kW'],['-'],"['0,00 CHF']",['8.061kWh'],['39.717kWh'],['26.172kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['187.434kWh'],['2.066kWh/kW'],['-'],"['0,00 CHF']",['9.399kWh'],['50.409kWh'],['26.776kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['250.425kWh'],['2.760kWh/kW'],['-'],"['0,00 CHF']",['12.768kWh'],['51.273kWh'],['35.775kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['187.905kWh'],['2.071kWh/kW'],['-'],"['0,00 CHF']",['14.463kWh'],['40.443kWh'],['26.843kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['153.627kWh'],['1.693kWh/kW'],['-'],"['0,00 CHF']",['6.882kWh'],['39.258kWh'],['21.946kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['200.752kWh'],['2.213kWh/kW'],['-'],"['0,00 CHF']",['18.237kWh'],['35.874kWh'],['28.678kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['113.836kWh'],['1.255kWh/kW'],['-'],"['0,00 CHF']",['9.591kWh'],['25.425kWh'],['16.262kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['98.094kWh'],['1.081kWh/kW'],['-'],"['0,00 CHF']",['3.642kWh'],['28.140kWh'],['14.013kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['135.610kWh'],['1.495kWh/kW'],['-'],"['0,00 CHF']",['3.728kWh'],['26.044kWh'],['19.372kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['111.327kWh'],['1.227kWh/kW'],['-'],"['0,00 CHF']",['8.931kWh'],['20.349kWh'],['15.903kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['135.394kWh'],['1.492kWh/kW'],['-'],"['0,00 CHF']",['9.492kWh'],['22.614kWh'],['19.342kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['60.490kWh'],['0.667kWh/kW'],['-'],"['0,00 CHF']",['3.903kWh'],['11.976kWh'],['8.641kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['14.670kWh'],['0.162kWh/kW'],['-'],"['0,00 CHF']",['0.975kWh'],['4.626kWh'],['2.095kWh'],['23/01/23 - 29/01/23']
37,['2023-03'],['51.402kWh'],['0.567kWh/kW'],['-'],"['0,00 CHF']",['3.309kWh'],['14.958kWh'],['7.343kWh'],['16/01/23 - 22/01/23']
38,['2023-02'],['44.798kWh'],['0.494kWh/kW'],['-'],"['0,00 CHF']",['2.283kWh'],['10.974kWh'],['6.399kWh'],['09/01/23 - 15/01/23']
39,['2023-01'],['35.289kWh'],['0.389kWh/kW'],['-'],"['0,00 CHF']",['2.013kWh'],['9.123kWh'],['5.041kWh'],['02/01/23 - 08/01/23']
40,['2022-52'],['54.183kWh'],['0.597kWh/kW'],['-'],"['0,00 CHF']",['2.838kWh'],['11.349kWh'],['7.740kWh'],['26/12/22 - 01/01/23']
41,['2022-51'],['17.607kWh'],['0.194kWh/kW'],['-'],"['0,00 CHF']",['0.231kWh'],['7.923kWh'],['2.515kWh'],['19/12/22 - 25/12/22']
42,['2022-50'],['0.558kWh'],['0.006kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['0.363kWh'],['0.079kWh'],['12/12/22 - 18/12/22']
43,['2022-49'],['26.499kWh'],['0.292kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['12.459kWh'],['3.785kWh'],['05/12/22 - 11/12/22']
44,['2022-48'],['18.102kWh'],['0.200kWh/kW'],['-'],"['0,00 CHF']",['0.834kWh'],['5.052kWh'],['2.586kWh'],['28/11/22 - 04/12/22']
45,['2022-47'],['70.357kWh'],['0.776kWh/kW'],['-'],"['0,00 CHF']",['6.204kWh'],['13.098kWh'],['10.051kWh'],['21/11/22 - 27/11/22']
46,['2022-46'],['63.645kWh'],['0.702kWh/kW'],['-'],"['0,00 CHF']",['4.491kWh'],['14.325kWh'],['9.092kWh'],['14/11/22 - 20/11/22']
47,['2022-45'],['62.262kWh'],['0.686kWh/kW'],['-'],"['0,00 CHF']",['2.151kWh'],['18.198kWh'],['8.894kWh'],['07/11/22 - 13/11/22']
48,['2022-44'],['80.416kWh'],['0.886kWh/kW'],['-'],"['0,00 CHF']",['8.043kWh'],['16.242kWh'],['11.488kWh'],['31/10/22 - 06/11/22']
49,['2022-43'],['113.889kWh'],['1.255kWh/kW'],['-'],"['0,00 CHF']",['4.059kWh'],['20.130kWh'],['16.269kWh'],['24/10/22 - 30/10/22']
50,['2022-42'],['112.009kWh'],['1.235kWh/kW'],['-'],"['0,00 CHF']",['5.376kWh'],['26.053kWh'],['16.001kWh'],['17/10/22 - 23/10/22']
51,['2022-41'],['113.544kWh'],['1.252kWh/kW'],['-'],"['0,00 CHF']",['6.347kWh'],['24.576kWh'],['16.220kWh'],['10/10/22 - 16/10/22']
52,['2022-40'],['154.749kWh'],['1.706kWh/kW'],['-'],"['0,00 CHF']",['8.835kWh'],['31.878kWh'],['22.107kWh'],['03/10/22 - 09/10/22']
53,['2022-39'],['106.499kWh'],['1.174kWh/kW'],['-'],"['0,00 CHF']",['6.084kWh'],['20.880kWh'],['15.214kWh'],['26/09/22 - 02/10/22']
54,['2022-38'],['205.977kWh'],['2.270kWh/kW'],['-'],"['0,00 CHF']",['11.625kWh'],['40.545kWh'],['29.425kWh'],['19/09/22 - 25/09/22']
