,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023'],['8.473MWh'],['2.360kWh/kW'],['-'],"['0,00 CHF']",['0.975kWh'],['62.604kWh'],['30.589kWh'],['Partial Year (277 days)']
1,['2022'],['9.903MWh'],['2.094kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['68.034kWh'],['27.132kWh'],[]
2,['2021'],['9.552MWh'],['2.019kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['69.159kWh'],['26.168kWh'],[]
3,['2020'],['10.571MWh'],['2.229kWh/kW'],['-'],"['0,00 CHF']",['0.027kWh'],['68.787kWh'],['28.883kWh'],[]
4,['2019'],['10.457MWh'],['2.210kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['69.069kWh'],['28.648kWh'],[]
5,['2018'],['10.724MWh'],['2.273kWh/kW'],['-'],"['0,00 CHF']",['0.081kWh'],['67.623kWh'],['29.462kWh'],['Partial Year (364 days)']
6,['2017'],['10.699MWh'],['2.262kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['72.241kWh'],['29.313kWh'],[]
7,['2016'],['10.291MWh'],['2.170kWh/kW'],['-'],"['0,00 CHF']",['1.336kWh'],['69.991kWh'],['28.118kWh'],[]
8,['2015'],['10.930MWh'],['2.323kWh/kW'],['-'],"['0,00 CHF']",['0.695kWh'],['71.754kWh'],['30.109kWh'],['Partial Year (363 days)']
9,['2014'],['173.614kWh'],['0.383kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['14.470kWh'],['4.960kWh'],['Partial Year (35 days)']
