,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['79.548kWh'],['2.037kWh/kW'],['-'],['30.097kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 14:12 UTC+2:00']
1,['03/10/23'],['123.073kWh'],['3.151kWh/kW'],['-'],['29.373kW'],['1:45PM'],['Mostly Cloudy'],,['Updated 23:47 UTC+2:00']
2,['02/10/23'],['167.219kWh'],['4.281kWh/kW'],['-'],['25.622kW'],['2:10PM'],['Partly Cloudy'],,['Updated 22:41 UTC+2:00']
3,['01/10/23'],['162.474kWh'],['4.160kWh/kW'],['-'],['24.563kW'],['2:15PM'],['Partly Cloudy'],,['Updated 21:19 UTC+2:00']
4,['30/09/23'],['134.184kWh'],['3.435kWh/kW'],['-'],['27.285kW'],['2:30PM'],['Mostly Cloudy'],,['Updated 18:56 UTC+2:00']
5,['29/09/23'],['142.780kWh'],['3.655kWh/kW'],['-'],['28.693kW'],['4:10PM'],['Mostly Cloudy'],,['Updated 21:22 UTC+2:00']
6,['28/09/23'],['169.068kWh'],['4.328kWh/kW'],['-'],['29.709kW'],['1:40PM'],['Partly Cloudy'],,['Updated 20:18 UTC+2:00']
7,['27/09/23'],['179.838kWh'],['4.604kWh/kW'],['-'],['26.871kW'],['2:40PM'],['Partly Cloudy'],,['Updated 21:25 UTC+2:00']
8,['26/09/23'],['185.541kWh'],['4.750kWh/kW'],['-'],['27.159kW'],['2:20PM'],['Partly Cloudy'],,['Updated 20:03 UTC+2:00']
9,['25/09/23'],['190.506kWh'],['4.877kWh/kW'],['-'],['28.166kW'],['1:35PM'],['Partly Cloudy'],,['Updated 23:02 UTC+2:00']
10,['24/09/23'],['200.089kWh'],['5.123kWh/kW'],['-'],['28.719kW'],['2:20PM'],['Fine'],,['Updated 23:05 UTC+2:00']
11,['23/09/23'],['116.515kWh'],['2.983kWh/kW'],['-'],['30.120kW'],['3:00PM'],['Mostly Cloudy'],,['Updated 20:08 UTC+2:00']
12,['22/09/23'],['84.873kWh'],['2.173kWh/kW'],['-'],['30.140kW'],['2:55PM'],['Cloudy'],,['Updated 23:26 UTC+2:00']
13,['21/09/23'],['127.413kWh'],['3.262kWh/kW'],['-'],['30.154kW'],['12:25PM'],['Mostly Cloudy'],,['Updated 23:01 UTC+2:00']
14,['20/09/23'],['176.775kWh'],['4.526kWh/kW'],['-'],['30.160kW'],['2:15PM'],['Partly Cloudy'],,['Updated 21:40 UTC+2:00']
15,['19/09/23'],['140.815kWh'],['3.605kWh/kW'],['-'],['30.162kW'],['2:35PM'],['Mostly Cloudy'],,['Updated 21:44 UTC+2:00']
16,['18/09/23'],['42.745kWh'],['1.094kWh/kW'],['-'],['11.331kW'],['3:15PM'],['Cloudy'],,['Updated 23:11 UTC+2:00']
17,['17/09/23'],['159.409kWh'],['4.081kWh/kW'],['-'],['29.783kW'],['12:40PM'],['Partly Cloudy'],,['Updated 21:48 UTC+2:00']
18,['16/09/23'],['157.448kWh'],['4.031kWh/kW'],['-'],['27.548kW'],['3:15PM'],['Partly Cloudy'],,['Updated 21:30 UTC+2:00']
19,['15/09/23'],['160.646kWh'],['4.113kWh/kW'],['-'],['30.159kW'],['3:10PM'],['Partly Cloudy'],,['Updated 23:18 UTC+2:00']
20,['14/09/23'],['73.640kWh'],['1.885kWh/kW'],['-'],['29.242kW'],['12:50PM'],['Cloudy'],,['Updated 23:04 UTC+2:00']
21,['13/09/23'],['46.083kWh'],['1.180kWh/kW'],['-'],['13.092kW'],['2:10PM'],['Cloudy'],,['Updated 23:09 UTC+2:00']
22,['12/09/23'],['122.123kWh'],['3.127kWh/kW'],['-'],['30.137kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 23:15 UTC+2:00']
23,['11/09/23'],['192.376kWh'],['4.925kWh/kW'],['-'],['27.266kW'],['2:25PM'],['Partly Cloudy'],,['Updated 23:25 UTC+2:00']
24,['10/09/23'],['193.404kWh'],['4.951kWh/kW'],['-'],['26.950kW'],['2:20PM'],['Partly Cloudy'],,['Updated 23:26 UTC+2:00']
25,['09/09/23'],['194.989kWh'],['4.992kWh/kW'],['-'],['26.990kW'],['2:10PM'],['Partly Cloudy'],,['Updated 22:08 UTC+2:00']
26,['08/09/23'],['187.805kWh'],['4.808kWh/kW'],['-'],['27.750kW'],['2:15PM'],['Partly Cloudy'],,['Updated 23:29 UTC+2:00']
27,['07/09/23'],['200.251kWh'],['5.127kWh/kW'],['-'],['27.566kW'],['2:10PM'],['Fine'],,['Updated 23:33 UTC+2:00']
28,['06/09/23'],['208.685kWh'],['5.343kWh/kW'],['-'],['28.253kW'],['2:10PM'],['Fine'],,['Updated 23:34 UTC+2:00']
29,['05/09/23'],['211.129kWh'],['5.405kWh/kW'],['-'],['28.484kW'],['2:10PM'],['Fine'],,['Updated 23:06 UTC+2:00']
30,['04/09/23'],['214.786kWh'],['5.499kWh/kW'],['-'],['28.843kW'],['2:40PM'],['Fine'],,['Updated 23:27 UTC+2:00']
31,['03/09/23'],['182.574kWh'],['4.674kWh/kW'],['-'],['28.120kW'],['2:15PM'],['Partly Cloudy'],,['Updated 23:49 UTC+2:00']
32,['02/09/23'],['211.241kWh'],['5.408kWh/kW'],['-'],['28.984kW'],['2:45PM'],['Fine'],,['Updated 20:54 UTC+2:00']
33,['01/09/23'],['220.835kWh'],['5.654kWh/kW'],['-'],['29.429kW'],['2:35PM'],['Fine'],,['Updated 23:41 UTC+2:00']
34,['31/08/23'],['118.941kWh'],['3.045kWh/kW'],['-'],['23.950kW'],['5:55PM'],['Mostly Cloudy'],,['Updated 22:18 UTC+2:00']
35,['30/08/23'],['149.524kWh'],['3.828kWh/kW'],['-'],['30.121kW'],['4:25PM'],['Mostly Cloudy'],,['Updated 20:52 UTC+2:00']
36,['29/08/23'],['72.488kWh'],['1.856kWh/kW'],['-'],['12.079kW'],['4:15PM'],['Cloudy'],,['Updated 23:45 UTC+2:00']
37,['28/08/23'],['46.620kWh'],['1.194kWh/kW'],['-'],['14.817kW'],['1:15PM'],['Cloudy'],,['Updated 23:41 UTC+2:00']
38,['27/08/23'],['64.230kWh'],['1.644kWh/kW'],['-'],['19.697kW'],['11:15AM'],['Cloudy'],,['Updated 22:24 UTC+2:00']
39,['26/08/23'],['72.387kWh'],['1.853kWh/kW'],['-'],['30.144kW'],['5:30PM'],['Cloudy'],,['Updated 23:52 UTC+2:00']
40,['25/08/23'],['141.777kWh'],['3.630kWh/kW'],['-'],['30.182kW'],['2:40PM'],['Mostly Cloudy'],,['Updated 23:47 UTC+2:00']
41,['24/08/23'],['188.823kWh'],['4.834kWh/kW'],['-'],['27.307kW'],['2:10PM'],['Partly Cloudy'],,['Updated 23:57 UTC+2:00']
42,['23/08/23'],['207.950kWh'],['5.324kWh/kW'],['-'],['27.260kW'],['2:10PM'],['Fine'],,['Updated 22:41 UTC+2:00']
43,['22/08/23'],['202.245kWh'],['5.178kWh/kW'],['-'],['28.237kW'],['3:30PM'],['Fine'],,['Updated 22:45 UTC+2:00']
44,['21/08/23'],['217.457kWh'],['5.567kWh/kW'],['-'],['28.333kW'],['2:35PM'],['Fine'],,['Updated 22:45 UTC+2:00']
45,['20/08/23'],['214.622kWh'],['5.495kWh/kW'],['-'],['28.332kW'],['2:35PM'],['Fine'],,['Updated 21:21 UTC+2:00']
