,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['532.314kWh'],['3.407kWh/kW'],['-'],"['0,00 CHF']",['79.548kWh'],['167.219kWh'],['133.078kWh'],['Partial Month (4 days)']
1,['Sep 23'],['4.829MWh'],['4.121kWh/kW'],['-'],"['0,00 CHF']",['42.745kWh'],['220.835kWh'],['160.952kWh'],[]
2,['Aug 23'],['4.891MWh'],['4.040kWh/kW'],['-'],"['0,00 CHF']",['46.620kWh'],['235.012kWh'],['157.782kWh'],[]
3,['Jul 23'],['5.681MWh'],['4.692kWh/kW'],['-'],"['0,00 CHF']",['94.713kWh'],['261.326kWh'],['183.256kWh'],[]
4,['Jun 23'],['6.802MWh'],['5.804kWh/kW'],['-'],"['0,00 CHF']",['74.726kWh'],['275.612kWh'],['226.719kWh'],[]
5,['May 23'],['4.793MWh'],['3.958kWh/kW'],['-'],"['0,00 CHF']",['43.539kWh'],['269.175kWh'],['154.609kWh'],[]
6,['Apr 23'],['3.739MWh'],['3.191kWh/kW'],['-'],"['0,00 CHF']",['23.811kWh'],['225.907kWh'],['124.629kWh'],[]
7,['Mar 23'],['2.830MWh'],['2.337kWh/kW'],['-'],"['0,00 CHF']",['0.005kWh'],['185.517kWh'],['91.275kWh'],[]
8,['Feb 23'],['2.363MWh'],['2.160kWh/kW'],['-'],"['0,00 CHF']",['13.981kWh'],['137.693kWh'],['84.376kWh'],[]
9,['Jan 23'],['588.207kWh'],['0.486kWh/kW'],['-'],"['0,00 CHF']",['0.005kWh'],['71.492kWh'],['18.974kWh'],[]
10,['Dec 22'],['537.019kWh'],['0.443kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['72.709kWh'],['17.323kWh'],[]
11,['Nov 22'],['1.499MWh'],['1.279kWh/kW'],['-'],"['0,00 CHF']",['9.685kWh'],['103.834kWh'],['49.962kWh'],[]
12,['Oct 22'],['2.762MWh'],['2.281kWh/kW'],['-'],"['0,00 CHF']",['13.635kWh'],['166.101kWh'],['89.086kWh'],[]
13,['Sep 22'],['3.716MWh'],['3.171kWh/kW'],['-'],"['0,00 CHF']",['22.108kWh'],['207.246kWh'],['123.864kWh'],[]
14,['Aug 22'],['5.390MWh'],['4.451kWh/kW'],['-'],"['0,00 CHF']",['26.029kWh'],['243.496kWh'],['173.863kWh'],[]
15,['Jul 22'],['6.671MWh'],['5.510kWh/kW'],['-'],"['0,00 CHF']",['86.837kWh'],['265.859kWh'],['215.204kWh'],[]
16,['Jun 22'],['5.617MWh'],['4.794kWh/kW'],['-'],"['0,00 CHF']",['58.748kWh'],['271.087kWh'],['187.243kWh'],[]
17,['May 22'],['5.618MWh'],['4.640kWh/kW'],['-'],"['0,00 CHF']",['36.277kWh'],['255.758kWh'],['181.226kWh'],[]
18,['Apr 22'],['4.488MWh'],['3.830kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['254.243kWh'],['149.602kWh'],[]
19,['Mar 22'],['4.636MWh'],['3.829kWh/kW'],['-'],"['0,00 CHF']",['26.596kWh'],['193.410kWh'],['149.552kWh'],[]
20,['Feb 22'],['2.493MWh'],['2.279kWh/kW'],['-'],"['0,00 CHF']",['8.384kWh'],['176.157kWh'],['89.037kWh'],[]
21,['Jan 22'],['1.373MWh'],['1.134kWh/kW'],['-'],"['0,00 CHF']",['1.590kWh'],['113.343kWh'],['44.277kWh'],[]
22,['Dec 21'],['379.928kWh'],['0.314kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['83.904kWh'],['12.255kWh'],[]
23,['Nov 21'],['976.415kWh'],['0.833kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['110.834kWh'],['32.547kWh'],[]
24,['Oct 21'],['3.083MWh'],['2.546kWh/kW'],['-'],"['0,00 CHF']",['21.301kWh'],['173.803kWh'],['99.464kWh'],[]
25,['Sep 21'],['4.306MWh'],['3.675kWh/kW'],['-'],"['0,00 CHF']",['27.773kWh'],['229.861kWh'],['143.545kWh'],[]
26,['Aug 21'],['4.600MWh'],['3.799kWh/kW'],['-'],"['0,00 CHF']",['46.215kWh'],['231.273kWh'],['148.375kWh'],[]
27,['Jul 21'],['4.872MWh'],['4.023kWh/kW'],['-'],"['0,00 CHF']",['11.199kWh'],['266.944kWh'],['157.146kWh'],[]
28,['Jun 21'],['5.724MWh'],['4.885kWh/kW'],['-'],"['0,00 CHF']",['79.221kWh'],['275.501kWh'],['190.798kWh'],[]
29,['May 21'],['4.996MWh'],['4.126kWh/kW'],['-'],"['0,00 CHF']",['34.707kWh'],['279.049kWh'],['161.168kWh'],[]
30,['Apr 21'],['4.946MWh'],['4.221kWh/kW'],['-'],"['0,00 CHF']",['0.739kWh'],['251.496kWh'],['164.875kWh'],[]
31,['Mar 21'],['3.721MWh'],['3.073kWh/kW'],['-'],"['0,00 CHF']",['4.666kWh'],['215.500kWh'],['120.022kWh'],[]
32,['Feb 21'],['1.755MWh'],['1.604kWh/kW'],['-'],"['0,00 CHF']",['0.111kWh'],['156.273kWh'],['62.662kWh'],[]
33,['Jan 21'],['340.873kWh'],['0.282kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['105.616kWh'],['10.995kWh'],[]
34,['Dec 20'],['418.365kWh'],['0.345kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['80.333kWh'],['13.495kWh'],[]
35,['Nov 20'],['1.599MWh'],['1.364kWh/kW'],['-'],"['0,00 CHF']",['7.625kWh'],['111.001kWh'],['53.299kWh'],[]
36,['Oct 20'],['2.433MWh'],['2.009kWh/kW'],['-'],"['0,00 CHF']",['8.868kWh'],['153.458kWh'],['78.480kWh'],[]
37,['Sep 20'],['4.246MWh'],['3.623kWh/kW'],['-'],"['0,00 CHF']",['25.313kWh'],['216.766kWh'],['141.532kWh'],[]
38,['Aug 20'],['5.181MWh'],['4.279kWh/kW'],['-'],"['0,00 CHF']",['18.727kWh'],['246.511kWh'],['167.124kWh'],[]
39,['Jul 20'],['6.280MWh'],['5.187kWh/kW'],['-'],"['0,00 CHF']",['47.563kWh'],['275.750kWh'],['202.596kWh'],[]
40,['Jun 20'],['5.270MWh'],['4.498kWh/kW'],['-'],"['0,00 CHF']",['44.298kWh'],['277.555kWh'],['175.673kWh'],[]
41,['May 20'],['5.947MWh'],['4.912kWh/kW'],['-'],"['0,00 CHF']",['38.525kWh'],['276.064kWh'],['191.843kWh'],[]
42,['Apr 20'],['6.007MWh'],['5.126kWh/kW'],['-'],"['0,00 CHF']",['54.540kWh'],['246.358kWh'],['200.228kWh'],[]
43,['Mar 20'],['3.787MWh'],['3.128kWh/kW'],['-'],"['0,00 CHF']",['12.620kWh'],['223.434kWh'],['122.175kWh'],[]
44,['Feb 20'],['2.416MWh'],['2.133kWh/kW'],['-'],"['0,00 CHF']",['12.377kWh'],['161.703kWh'],['83.300kWh'],[]
45,['Jan 20'],['1.857MWh'],['1.533kWh/kW'],['-'],"['0,00 CHF']",['10.357kWh'],['104.289kWh'],['59.892kWh'],[]
46,['Dec 19'],['1.026MWh'],['0.848kWh/kW'],['-'],"['0,00 CHF']",['10.716kWh'],['91.741kWh'],['33.105kWh'],[]
47,['Nov 19'],['1.241MWh'],['1.059kWh/kW'],['-'],"['0,00 CHF']",['10.872kWh'],['92.552kWh'],['41.375kWh'],[]
48,['Oct 19'],['2.725MWh'],['2.251kWh/kW'],['-'],"['0,00 CHF']",['14.679kWh'],['174.685kWh'],['87.916kWh'],[]
49,['Sep 19'],['4.199MWh'],['3.583kWh/kW'],['-'],"['0,00 CHF']",['32.880kWh'],['223.570kWh'],['139.964kWh'],[]
50,['Aug 19'],['5.070MWh'],['4.187kWh/kW'],['-'],"['0,00 CHF']",['28.210kWh'],['252.260kWh'],['163.542kWh'],[]
51,['Jul 19'],['75.840kWh'],['1.942kWh/kW'],['-'],"['0,00 CHF']",['75.840kWh'],['75.840kWh'],['75.840kWh'],['Partial Month (1 day)']
