,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['369.840kWh'],['3.156kWh/kW'],['-'],"['0,00 CHF']",['79.548kWh'],['167.219kWh'],['123.280kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['1.164MWh'],['4.258kWh/kW'],['-'],"['0,00 CHF']",['134.184kWh'],['190.506kWh'],['166.341kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['889.225kWh'],['3.252kWh/kW'],['-'],"['0,00 CHF']",['42.745kWh'],['200.089kWh'],['127.032kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['911.725kWh'],['3.335kWh/kW'],['-'],"['0,00 CHF']",['46.083kWh'],['192.376kWh'],['130.246kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['1.411MWh'],['5.161kWh/kW'],['-'],"['0,00 CHF']",['187.805kWh'],['214.786kWh'],['201.578kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['1.002MWh'],['3.666kWh/kW'],['-'],"['0,00 CHF']",['46.620kWh'],['220.835kWh'],['143.174kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['1.095MWh'],['4.004kWh/kW'],['-'],"['0,00 CHF']",['64.230kWh'],['217.457kWh'],['156.409kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['1.362MWh'],['4.983kWh/kW'],['-'],"['0,00 CHF']",['93.617kWh'],['225.275kWh'],['194.624kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['1.202MWh'],['4.395kWh/kW'],['-'],"['0,00 CHF']",['113.144kWh'],['235.012kWh'],['171.652kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['1.067MWh'],['3.903kWh/kW'],['-'],"['0,00 CHF']",['53.268kWh'],['222.391kWh'],['152.465kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['1.059MWh'],['3.872kWh/kW'],['-'],"['0,00 CHF']",['111.882kWh'],['219.168kWh'],['151.265kWh'],['24/07/23 - 30/07/23']
