,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['16.602kWh'],['1.258kWh/kW'],['-'],['5.973kW'],['12:35PM'],['Fine'],,['Updated 13:13 UTC+2:00']
1,['03/10/23'],['38.113kWh'],['2.887kWh/kW'],['-'],['7.814kW'],['3:05PM'],['Fine'],,['Updated 06:47 UTC+2:00']
2,['02/10/23'],['51.616kWh'],['3.910kWh/kW'],['-'],['7.436kW'],['1:25PM'],['Fine'],,['Updated 06:52 UTC+2:00']
3,['01/10/23'],['49.177kWh'],['3.726kWh/kW'],['-'],['7.229kW'],['2:05PM'],['Fine'],,['Updated 06:54 UTC+2:00']
4,['30/09/23'],['45.077kWh'],['3.415kWh/kW'],['-'],['7.845kW'],['1:40PM'],['Fine'],,['Updated 06:52 UTC+2:00']
5,['29/09/23'],['44.825kWh'],['3.396kWh/kW'],['-'],['8.091kW'],['1:30PM'],['Fine'],,['Updated 06:55 UTC+2:00']
6,['28/09/23'],['48.266kWh'],['3.657kWh/kW'],['-'],['7.410kW'],['1:45PM'],['Fine'],,['Updated 06:54 UTC+2:00']
7,['27/09/23'],['52.971kWh'],['4.013kWh/kW'],['-'],['7.809kW'],['1:55PM'],['Fine'],,['Updated 09:28 UTC+2:00']
8,['26/09/23'],['55.998kWh'],['4.242kWh/kW'],['-'],['7.928kW'],['1:50PM'],['Fine'],,['Updated 06:51 UTC+2:00']
9,['25/09/23'],['57.704kWh'],['4.372kWh/kW'],['-'],['8.050kW'],['1:55PM'],['Fine'],,['Updated 06:50 UTC+2:00']
10,['24/09/23'],['59.019kWh'],['4.471kWh/kW'],['-'],['8.300kW'],['1:55PM'],['Fine'],,['Updated 09:23 UTC+2:00']
11,['23/09/23'],['45.955kWh'],['3.481kWh/kW'],['-'],['8.039kW'],['1:45PM'],['Fine'],,['Updated 06:47 UTC+2:00']
12,['22/09/23'],['54.049kWh'],['4.095kWh/kW'],['-'],['9.069kW'],['2:05PM'],['Fine'],,['Updated 06:50 UTC+2:00']
13,['21/09/23'],['29.663kWh'],['2.247kWh/kW'],['-'],['6.368kW'],['3:45PM'],['Partly Cloudy'],,['Updated 06:52 UTC+2:00']
14,['20/09/23'],['57.323kWh'],['4.343kWh/kW'],['-'],['8.142kW'],['1:45PM'],['Fine'],,['Updated 06:51 UTC+2:00']
15,['19/09/23'],['46.667kWh'],['3.535kWh/kW'],['-'],['8.636kW'],['1:45PM'],['Fine'],,['Updated 06:51 UTC+2:00']
16,['18/09/23'],['9.928kWh'],['0.752kWh/kW'],['-'],['4.124kW'],['5:50PM'],['Cloudy'],,['Updated 06:48 UTC+2:00']
17,['17/09/23'],['48.695kWh'],['3.689kWh/kW'],['-'],['7.766kW'],['1:55PM'],['Fine'],,['Updated 09:21 UTC+2:00']
18,['16/09/23'],['32.892kWh'],['2.492kWh/kW'],['-'],['7.499kW'],['12:25PM'],['Partly Cloudy'],,['Updated 06:51 UTC+2:00']
19,['15/09/23'],['43.600kWh'],['3.303kWh/kW'],['-'],['9.116kW'],['1:40PM'],['Fine'],,['Updated 06:50 UTC+2:00']
20,['14/09/23'],['36.437kWh'],['2.760kWh/kW'],['-'],['8.051kW'],['2:00PM'],['Fine'],,['Updated 06:47 UTC+2:00']
21,['13/09/23'],['19.304kWh'],['1.462kWh/kW'],['-'],['6.379kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 06:52 UTC+2:00']
22,['12/09/23'],['51.284kWh'],['3.885kWh/kW'],['-'],['8.544kW'],['1:55PM'],['Fine'],,['Updated 06:50 UTC+2:00']
23,['11/09/23'],['57.416kWh'],['4.350kWh/kW'],['-'],['7.828kW'],['2:20PM'],['Fine'],,['Updated 06:50 UTC+2:00']
24,['10/09/23'],['59.039kWh'],['4.473kWh/kW'],['-'],['7.894kW'],['2:10PM'],['Fine'],,['Updated 06:47 UTC+2:00']
25,['09/09/23'],['59.503kWh'],['4.508kWh/kW'],['-'],['7.927kW'],['2:05PM'],['Fine'],,['Updated 06:51 UTC+2:00']
26,['08/09/23'],['58.290kWh'],['4.416kWh/kW'],['-'],['7.963kW'],['2:15PM'],['Fine'],,['Updated 09:23 UTC+2:00']
27,['07/09/23'],['59.498kWh'],['4.507kWh/kW'],['-'],['7.986kW'],['1:45PM'],['Fine'],,['Updated 06:47 UTC+2:00']
28,['06/09/23'],['61.069kWh'],['4.626kWh/kW'],['-'],['8.087kW'],['2:00PM'],['Fine'],,['Updated 06:51 UTC+2:00']
29,['05/09/23'],['61.851kWh'],['4.686kWh/kW'],['-'],['8.144kW'],['2:15PM'],['Fine'],,['Updated 06:51 UTC+2:00']
30,['04/09/23'],['62.546kWh'],['4.738kWh/kW'],['-'],['8.330kW'],['1:45PM'],['Fine'],,['Updated 06:48 UTC+2:00']
31,['03/09/23'],['59.284kWh'],['4.491kWh/kW'],['-'],['8.233kW'],['3:15PM'],['Fine'],,['Updated 06:49 UTC+2:00']
32,['02/09/23'],['63.074kWh'],['4.778kWh/kW'],['-'],['8.386kW'],['1:50PM'],['Fine'],,['Updated 06:53 UTC+2:00']
33,['01/09/23'],['66.790kWh'],['5.060kWh/kW'],['-'],['8.753kW'],['1:40PM'],['Fine'],,['Updated 06:55 UTC+2:00']
34,['31/08/23'],['38.726kWh'],['2.934kWh/kW'],['-'],['7.785kW'],['4:45PM'],['Partly Cloudy'],,['Updated 06:59 UTC+2:00']
35,['30/08/23'],['44.522kWh'],['3.373kWh/kW'],['-'],['8.729kW'],['1:15PM'],['Fine'],,['Updated 06:56 UTC+2:00']
36,['29/08/23'],['35.781kWh'],['2.711kWh/kW'],['-'],['6.315kW'],['11:30AM'],['Partly Cloudy'],,['Updated 06:56 UTC+2:00']
37,['28/08/23'],['13.325kWh'],['1.009kWh/kW'],['-'],['2.633kW'],['12:50PM'],['Cloudy'],,['Updated 06:53 UTC+2:00']
38,['27/08/23'],['15.768kWh'],['1.195kWh/kW'],['-'],['4.827kW'],['1:20PM'],['Cloudy'],,['Updated 06:50 UTC+2:00']
