,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['155.508kWh'],['2.945kWh/kW'],['-'],"['0,00 CHF']",['16.602kWh'],['51.616kWh'],['38.877kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.508MWh'],['3.808kWh/kW'],['-'],"['0,00 CHF']",['9.928kWh'],['66.790kWh'],['50.267kWh'],[]
2,['Aug 23'],['1.583MWh'],['3.869kWh/kW'],['-'],"['0,00 CHF']",['13.325kWh'],['77.268kWh'],['51.066kWh'],[]
3,['Jul 23'],['1.883MWh'],['4.602kWh/kW'],['-'],"['0,00 CHF']",['33.323kWh'],['78.385kWh'],['60.748kWh'],[]
4,['Jun 23'],['2.044MWh'],['5.161kWh/kW'],['-'],"['0,00 CHF']",['25.760kWh'],['82.739kWh'],['68.121kWh'],[]
5,['May 23'],['1.701MWh'],['4.158kWh/kW'],['-'],"['0,00 CHF']",['17.514kWh'],['80.861kWh'],['54.883kWh'],[]
6,['Apr 23'],['1.319MWh'],['3.331kWh/kW'],['-'],"['0,00 CHF']",['10.096kWh'],['75.541kWh'],['43.971kWh'],[]
7,['Mar 23'],['1.116MWh'],['2.728kWh/kW'],['-'],"['0,00 CHF']",['8.716kWh'],['61.727kWh'],['36.007kWh'],[]
8,['Feb 23'],['931.582kWh'],['2.520kWh/kW'],['-'],"['0,00 CHF']",['7.925kWh'],['46.020kWh'],['33.270kWh'],[]
9,['Jan 23'],['264.221kWh'],['0.646kWh/kW'],['-'],"['0,00 CHF']",['0.035kWh'],['31.176kWh'],['8.523kWh'],[]
10,['Dec 22'],['208.706kWh'],['0.510kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['23.414kWh'],['6.732kWh'],[]
11,['Nov 22'],['519.719kWh'],['1.312kWh/kW'],['-'],"['0,00 CHF']",['4.109kWh'],['35.564kWh'],['17.323kWh'],[]
12,['Oct 22'],['965.195kWh'],['2.359kWh/kW'],['-'],"['0,00 CHF']",['2.846kWh'],['54.076kWh'],['31.135kWh'],[]
13,['Sep 22'],['1.264MWh'],['3.192kWh/kW'],['-'],"['0,00 CHF']",['10.175kWh'],['63.633kWh'],['42.133kWh'],[]
14,['Aug 22'],['1.777MWh'],['4.343kWh/kW'],['-'],"['0,00 CHF']",['27.465kWh'],['73.279kWh'],['57.334kWh'],[]
15,['Jul 22'],['2.136MWh'],['5.221kWh/kW'],['-'],"['0,00 CHF']",['29.094kWh'],['81.723kWh'],['68.916kWh'],[]
16,['Jun 22'],['1.877MWh'],['4.739kWh/kW'],['-'],"['0,00 CHF']",['25.211kWh'],['84.363kWh'],['62.551kWh'],[]
17,['May 22'],['1.971MWh'],['4.817kWh/kW'],['-'],"['0,00 CHF']",['18.958kWh'],['81.462kWh'],['63.582kWh'],[]
18,['Apr 22'],['1.533MWh'],['3.870kWh/kW'],['-'],"['0,00 CHF']",['0.281kWh'],['80.048kWh'],['51.087kWh'],[]
19,['Mar 22'],['1.491MWh'],['3.643kWh/kW'],['-'],"['0,00 CHF']",['7.484kWh'],['60.610kWh'],['48.083kWh'],[]
20,['Feb 22'],['876.657kWh'],['2.372kWh/kW'],['-'],"['0,00 CHF']",['1.651kWh'],['55.251kWh'],['31.309kWh'],[]
21,['Jan 22'],['653.490kWh'],['1.597kWh/kW'],['-'],"['0,00 CHF']",['1.786kWh'],['36.164kWh'],['21.080kWh'],[]
22,['Dec 21'],['201.927kWh'],['0.493kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['25.549kWh'],['6.513kWh'],[]
23,['Nov 21'],['413.263kWh'],['1.044kWh/kW'],['-'],"['0,00 CHF']",['0.608kWh'],['36.451kWh'],['13.775kWh'],[]
24,['Oct 21'],['1.097MWh'],['2.682kWh/kW'],['-'],"['0,00 CHF']",['7.063kWh'],['52.215kWh'],['35.399kWh'],[]
25,['Sep 21'],['1.353MWh'],['3.417kWh/kW'],['-'],"['0,00 CHF']",['10.244kWh'],['65.961kWh'],['45.103kWh'],[]
26,['Aug 21'],['1.658MWh'],['4.053kWh/kW'],['-'],"['0,00 CHF']",['14.830kWh'],['75.485kWh'],['53.495kWh'],[]
27,['Jul 21'],['1.283MWh'],['3.136kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['79.035kWh'],['41.394kWh'],[]
28,['Jun 21'],['1.823MWh'],['4.603kWh/kW'],['-'],"['0,00 CHF']",['34.489kWh'],['84.621kWh'],['60.758kWh'],[]
29,['May 21'],['1.705MWh'],['4.167kWh/kW'],['-'],"['0,00 CHF']",['10.776kWh'],['88.087kWh'],['55.002kWh'],[]
30,['Apr 21'],['1.752MWh'],['4.423kWh/kW'],['-'],"['0,00 CHF']",['12.709kWh'],['78.876kWh'],['58.389kWh'],[]
31,['Mar 21'],['1.337MWh'],['3.267kWh/kW'],['-'],"['0,00 CHF']",['14.213kWh'],['68.193kWh'],['43.130kWh'],[]
32,['Feb 21'],['686.953kWh'],['1.859kWh/kW'],['-'],"['0,00 CHF']",['4.608kWh'],['49.636kWh'],['24.534kWh'],[]
33,['Jan 21'],['260.847kWh'],['0.637kWh/kW'],['-'],"['0,00 CHF']",['0.520kWh'],['31.098kWh'],['8.414kWh'],[]
34,['Dec 20'],['247.302kWh'],['0.604kWh/kW'],['-'],"['0,00 CHF']",['0.102kWh'],['23.618kWh'],['7.977kWh'],[]
35,['Nov 20'],['529.258kWh'],['1.337kWh/kW'],['-'],"['0,00 CHF']",['2.123kWh'],['34.114kWh'],['17.641kWh'],[]
36,['Oct 20'],['840.714kWh'],['2.055kWh/kW'],['-'],"['0,00 CHF']",['2.495kWh'],['49.626kWh'],['27.119kWh'],[]
37,['Sep 20'],['1.365MWh'],['3.446kWh/kW'],['-'],"['0,00 CHF']",['15.750kWh'],['64.717kWh'],['45.492kWh'],[]
38,['Aug 20'],['1.674MWh'],['4.090kWh/kW'],['-'],"['0,00 CHF']",['11.316kWh'],['76.397kWh'],['53.991kWh'],[]
