,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['106.331kWh'],['2.685kWh/kW'],['-'],"['0,00 CHF']",['16.602kWh'],['51.616kWh'],['35.443kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['354.018kWh'],['3.832kWh/kW'],['-'],"['0,00 CHF']",['44.825kWh'],['57.704kWh'],['50.574kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['302.604kWh'],['3.275kWh/kW'],['-'],"['0,00 CHF']",['9.928kWh'],['59.019kWh'],['43.229kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['289.628kWh'],['3.134kWh/kW'],['-'],"['0,00 CHF']",['19.304kWh'],['57.416kWh'],['41.375kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['421.796kWh'],['4.565kWh/kW'],['-'],"['0,00 CHF']",['58.290kWh'],['62.546kWh'],['60.256kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['321.502kWh'],['3.479kWh/kW'],['-'],"['0,00 CHF']",['13.325kWh'],['66.790kWh'],['45.928kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['314.108kWh'],['3.400kWh/kW'],['-'],"['0,00 CHF']",['15.768kWh'],['64.312kWh'],['44.872kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['423.137kWh'],['4.580kWh/kW'],['-'],"['0,00 CHF']",['48.974kWh'],['68.212kWh'],['60.448kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['407.003kWh'],['4.405kWh/kW'],['-'],"['0,00 CHF']",['43.871kWh'],['69.979kWh'],['58.143kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['379.727kWh'],['4.110kWh/kW'],['-'],"['0,00 CHF']",['26.765kWh'],['77.268kWh'],['54.246kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['367.776kWh'],['3.980kWh/kW'],['-'],"['0,00 CHF']",['33.323kWh'],['72.292kWh'],['52.539kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['439.986kWh'],['4.762kWh/kW'],['-'],"['0,00 CHF']",['46.973kWh'],['78.287kWh'],['62.855kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['438.174kWh'],['4.742kWh/kW'],['-'],"['0,00 CHF']",['34.138kWh'],['78.385kWh'],['62.596kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['453.027kWh'],['4.903kWh/kW'],['-'],"['0,00 CHF']",['39.597kWh'],['73.127kWh'],['64.718kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['403.169kWh'],['4.364kWh/kW'],['-'],"['0,00 CHF']",['25.760kWh'],['75.750kWh'],['57.595kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['442.471kWh'],['4.789kWh/kW'],['-'],"['0,00 CHF']",['28.190kWh'],['81.212kWh'],['63.210kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['519.162kWh'],['5.619kWh/kW'],['-'],"['0,00 CHF']",['59.654kWh'],['82.739kWh'],['74.166kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['497.303kWh'],['5.382kWh/kW'],['-'],"['0,00 CHF']",['57.225kWh'],['81.273kWh'],['71.043kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['507.700kWh'],['5.495kWh/kW'],['-'],"['0,00 CHF']",['55.812kWh'],['80.785kWh'],['72.528kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['475.737kWh'],['5.149kWh/kW'],['-'],"['0,00 CHF']",['30.669kWh'],['79.206kWh'],['67.962kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['301.680kWh'],['3.265kWh/kW'],['-'],"['0,00 CHF']",['17.514kWh'],['71.630kWh'],['43.097kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['298.465kWh'],['3.230kWh/kW'],['-'],"['0,00 CHF']",['34.440kWh'],['51.589kWh'],['42.637kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['410.304kWh'],['4.440kWh/kW'],['-'],"['0,00 CHF']",['24.967kWh'],['80.861kWh'],['58.614kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['336.172kWh'],['3.638kWh/kW'],['-'],"['0,00 CHF']",['25.160kWh'],['68.545kWh'],['48.024kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['287.886kWh'],['3.116kWh/kW'],['-'],"['0,00 CHF']",['12.631kWh'],['60.439kWh'],['41.126kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['224.441kWh'],['2.429kWh/kW'],['-'],"['0,00 CHF']",['10.096kWh'],['63.593kWh'],['32.063kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['392.469kWh'],['4.248kWh/kW'],['-'],"['0,00 CHF']",['28.818kWh'],['75.541kWh'],['56.067kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['245.642kWh'],['2.658kWh/kW'],['-'],"['0,00 CHF']",['20.968kWh'],['58.830kWh'],['35.091kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['257.390kWh'],['2.786kWh/kW'],['-'],"['0,00 CHF']",['13.489kWh'],['61.727kWh'],['36.770kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['299.510kWh'],['3.241kWh/kW'],['-'],"['0,00 CHF']",['20.480kWh'],['57.325kWh'],['42.787kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['228.726kWh'],['2.475kWh/kW'],['-'],"['0,00 CHF']",['8.716kWh'],['49.804kWh'],['32.675kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['216.149kWh'],['2.339kWh/kW'],['-'],"['0,00 CHF']",['12.336kWh'],['51.241kWh'],['30.878kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['235.111kWh'],['2.544kWh/kW'],['-'],"['0,00 CHF']",['19.566kWh'],['46.020kWh'],['33.587kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['285.670kWh'],['3.092kWh/kW'],['-'],"['0,00 CHF']",['25.064kWh'],['45.308kWh'],['40.810kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['239.848kWh'],['2.596kWh/kW'],['-'],"['0,00 CHF']",['7.925kWh'],['43.229kWh'],['34.264kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['168.307kWh'],['1.822kWh/kW'],['-'],"['0,00 CHF']",['13.261kWh'],['35.913kWh'],['24.043kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['26.873kWh'],['0.291kWh/kW'],['-'],"['0,00 CHF']",['1.133kWh'],['6.198kWh'],['3.839kWh'],['23/01/23 - 29/01/23']
37,['2023-03'],['9.941kWh'],['0.108kWh/kW'],['-'],"['0,00 CHF']",['0.035kWh'],['4.669kWh'],['1.420kWh'],['16/01/23 - 22/01/23']
38,['2023-02'],['79.593kWh'],['0.861kWh/kW'],['-'],"['0,00 CHF']",['2.612kWh'],['24.080kWh'],['11.370kWh'],['09/01/23 - 15/01/23']
39,['2023-01'],['78.353kWh'],['0.848kWh/kW'],['-'],"['0,00 CHF']",['3.181kWh'],['24.895kWh'],['11.193kWh'],['02/01/23 - 08/01/23']
40,['2022-52'],['83.667kWh'],['0.905kWh/kW'],['-'],"['0,00 CHF']",['2.716kWh'],['21.314kWh'],['11.952kWh'],['26/12/22 - 01/01/23']
41,['2022-51'],['48.184kWh'],['0.522kWh/kW'],['-'],"['0,00 CHF']",['2.595kWh'],['10.624kWh'],['6.883kWh'],['19/12/22 - 25/12/22']
42,['2022-50'],['9.812kWh'],['0.106kWh/kW'],['-'],"['0,00 CHF']",['0.163kWh'],['2.324kWh'],['1.401kWh'],['12/12/22 - 18/12/22']
43,['2022-49'],['59.465kWh'],['0.644kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['23.414kWh'],['8.495kWh'],['05/12/22 - 11/12/22']
44,['2022-48'],['46.530kWh'],['0.504kWh/kW'],['-'],"['0,00 CHF']",['2.279kWh'],['12.130kWh'],['6.647kWh'],['28/11/22 - 04/12/22']
45,['2022-47'],['126.888kWh'],['1.373kWh/kW'],['-'],"['0,00 CHF']",['9.404kWh'],['26.472kWh'],['18.126kWh'],['21/11/22 - 27/11/22']
