,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['18.836kWh'],['1.525kWh/kW'],['-'],['6.287kW'],['1:20PM'],['Cloudy'],,['Updated 14:06 UTC+2:00']
1,['03/10/23'],['29.438kWh'],['2.384kWh/kW'],['-'],['5.686kW'],['2:20PM'],['Cloudy'],,['Updated 00:13 UTC+2:00']
2,['02/10/23'],['44.099kWh'],['3.571kWh/kW'],['-'],['6.154kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 00:32 UTC+2:00']
3,['01/10/23'],['45.752kWh'],['3.705kWh/kW'],['-'],['6.964kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 00:32 UTC+2:00']
4,['30/09/23'],['33.776kWh'],['2.735kWh/kW'],['-'],['6.338kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 23:21 UTC+2:00']
5,['29/09/23'],['39.600kWh'],['3.206kWh/kW'],['-'],['6.129kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 00:39 UTC+2:00']
6,['28/09/23'],['41.410kWh'],['3.353kWh/kW'],['-'],['6.452kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 00:41 UTC+2:00']
7,['27/09/23'],['45.585kWh'],['3.691kWh/kW'],['-'],['6.633kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 00:12 UTC+2:00']
8,['26/09/23'],['49.290kWh'],['3.991kWh/kW'],['-'],['6.705kW'],['12:20PM'],['Mostly Cloudy'],,['Updated 00:45 UTC+2:00']
9,['25/09/23'],['46.873kWh'],['3.795kWh/kW'],['-'],['6.853kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 00:35 UTC+2:00']
10,['24/09/23'],['51.091kWh'],['4.137kWh/kW'],['-'],['7.563kW'],['12:05PM'],['Partly Cloudy'],,['Updated 00:39 UTC+2:00']
11,['23/09/23'],['28.990kWh'],['2.347kWh/kW'],['-'],['5.470kW'],['3:35PM'],['Cloudy'],,['Updated 00:14 UTC+2:00']
12,['22/09/23'],['28.710kWh'],['2.325kWh/kW'],['-'],['6.356kW'],['3:50PM'],['Cloudy'],,['Updated 00:32 UTC+2:00']
13,['21/09/23'],['33.362kWh'],['2.701kWh/kW'],['-'],['6.863kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 00:34 UTC+2:00']
14,['20/09/23'],['48.000kWh'],['3.887kWh/kW'],['-'],['6.820kW'],['12:20PM'],['Mostly Cloudy'],,['Updated 00:36 UTC+2:00']
15,['19/09/23'],['36.387kWh'],['2.946kWh/kW'],['-'],['6.631kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 00:23 UTC+2:00']
16,['18/09/23'],['12.285kWh'],['0.995kWh/kW'],['-'],['2.454kW'],['11:20AM'],['Showers'],,['Updated 00:36 UTC+2:00']
17,['17/09/23'],['49.562kWh'],['4.013kWh/kW'],['-'],['6.740kW'],['12:20PM'],['Partly Cloudy'],,['Updated 00:38 UTC+2:00']
18,['16/09/23'],['46.560kWh'],['3.770kWh/kW'],['-'],['8.128kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 00:13 UTC+2:00']
19,['15/09/23'],['37.670kWh'],['3.050kWh/kW'],['-'],['5.808kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:14 UTC+2:00']
20,['14/09/23'],['30.683kWh'],['2.484kWh/kW'],['-'],['6.380kW'],['1:20PM'],['Cloudy'],,['Updated 00:16 UTC+2:00']
21,['13/09/23'],['20.093kWh'],['1.627kWh/kW'],['-'],['6.619kW'],['4:05PM'],['Cloudy'],,['Updated 00:37 UTC+2:00']
22,['12/09/23'],['38.224kWh'],['3.095kWh/kW'],['-'],['6.804kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
23,['11/09/23'],['52.004kWh'],['4.211kWh/kW'],['-'],['6.988kW'],['12:35PM'],['Partly Cloudy'],,['Updated 00:41 UTC+2:00']
24,['10/09/23'],['54.461kWh'],['4.410kWh/kW'],['-'],['7.152kW'],['12:20PM'],['Partly Cloudy'],,['Updated 00:14 UTC+2:00']
25,['09/09/23'],['42.141kWh'],['3.412kWh/kW'],['-'],['7.062kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:34 UTC+2:00']
26,['08/09/23'],['55.742kWh'],['4.514kWh/kW'],['-'],['6.992kW'],['12:35PM'],['Partly Cloudy'],,['Updated 00:36 UTC+2:00']
27,['07/09/23'],['53.829kWh'],['4.359kWh/kW'],['-'],['7.133kW'],['12:20PM'],['Partly Cloudy'],,['Updated 00:39 UTC+2:00']
28,['06/09/23'],['56.594kWh'],['4.583kWh/kW'],['-'],['8.722kW'],['4:20PM'],['Partly Cloudy'],,['Updated 00:39 UTC+2:00']
29,['05/09/23'],['55.725kWh'],['4.512kWh/kW'],['-'],['7.647kW'],['12:35PM'],['Partly Cloudy'],,['Updated 00:39 UTC+2:00']
30,['04/09/23'],['57.394kWh'],['4.647kWh/kW'],['-'],['7.589kW'],['12:20PM'],['Partly Cloudy'],,['Updated 00:15 UTC+2:00']
31,['03/09/23'],['50.183kWh'],['4.063kWh/kW'],['-'],['7.293kW'],['12:50PM'],['Partly Cloudy'],,['Updated 00:33 UTC+2:00']
32,['02/09/23'],['57.858kWh'],['4.685kWh/kW'],['-'],['10.317kW'],['2:35PM'],['Partly Cloudy'],,['Updated 00:37 UTC+2:00']
33,['01/09/23'],['48.225kWh'],['3.905kWh/kW'],['-'],['9.126kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:40 UTC+2:00']
34,['31/08/23'],['29.710kWh'],['2.406kWh/kW'],['-'],['5.652kW'],['5:50PM'],['Cloudy'],,['Updated 00:17 UTC+2:00']
35,['30/08/23'],['40.259kWh'],['3.260kWh/kW'],['-'],['7.071kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 00:15 UTC+2:00']
36,['29/08/23'],['11.741kWh'],['0.951kWh/kW'],['-'],['3.387kW'],['11:20AM'],['Showers'],,['Updated 00:38 UTC+2:00']
37,['28/08/23'],['10.657kWh'],['0.863kWh/kW'],['-'],['3.244kW'],['11:35AM'],['Showers'],,['Updated 00:12 UTC+2:00']
38,['27/08/23'],['19.447kWh'],['1.575kWh/kW'],['-'],['6.635kW'],['4:20PM'],['Cloudy'],,['Updated 20:16 UTC+2:00']
39,['26/08/23'],['21.302kWh'],['1.725kWh/kW'],['-'],['3.322kW'],['11:20AM'],['Cloudy'],,['Updated 00:33 UTC+2:00']
40,['25/08/23'],['29.859kWh'],['2.418kWh/kW'],['-'],['7.373kW'],['2:20PM'],['Cloudy'],,['Updated 00:37 UTC+2:00']
41,['24/08/23'],['53.182kWh'],['4.306kWh/kW'],['-'],['7.459kW'],['12:35PM'],['Partly Cloudy'],,['Updated 00:41 UTC+2:00']
