,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['138.125kWh'],['2.796kWh/kW'],['-'],"['0,00 CHF']",['18.836kWh'],['45.752kWh'],['34.531kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.302MWh'],['3.515kWh/kW'],['-'],"['0,00 CHF']",['12.285kWh'],['57.858kWh'],['43.410kWh'],[]
2,['Aug 23'],['1.403MWh'],['3.664kWh/kW'],['-'],"['0,00 CHF']",['10.657kWh'],['70.883kWh'],['45.244kWh'],[]
3,['Jul 23'],['1.648MWh'],['4.305kWh/kW'],['-'],"['0,00 CHF']",['5.708kWh'],['76.588kWh'],['53.165kWh'],[]
4,['Jun 23'],['2.119MWh'],['5.719kWh/kW'],['-'],"['0,00 CHF']",['23.404kWh'],['82.455kWh'],['70.634kWh'],[]
5,['May 23'],['1.566MWh'],['4.091kWh/kW'],['-'],"['0,00 CHF']",['20.417kWh'],['81.633kWh'],['50.519kWh'],[]
6,['Apr 23'],['1.192MWh'],['3.218kWh/kW'],['-'],"['0,00 CHF']",['16.213kWh'],['63.292kWh'],['39.736kWh'],[]
7,['Mar 23'],['849.333kWh'],['2.218kWh/kW'],['-'],"['0,00 CHF']",['5.265kWh'],['54.551kWh'],['27.397kWh'],[]
8,['Feb 23'],['635.492kWh'],['1.838kWh/kW'],['-'],"['0,00 CHF']",['8.210kWh'],['40.293kWh'],['22.696kWh'],[]
9,['Jan 23'],['179.810kWh'],['0.470kWh/kW'],['-'],"['0,00 CHF']",['0.231kWh'],['15.209kWh'],['5.800kWh'],[]
10,['Dec 22'],['146.059kWh'],['0.381kWh/kW'],['-'],"['0,00 CHF']",['0.126kWh'],['18.153kWh'],['4.711kWh'],[]
11,['Nov 22'],['364.698kWh'],['0.984kWh/kW'],['-'],"['0,00 CHF']",['2.979kWh'],['24.594kWh'],['12.156kWh'],[]
12,['Oct 22'],['697.714kWh'],['1.822kWh/kW'],['-'],"['0,00 CHF']",['5.320kWh'],['44.234kWh'],['22.506kWh'],[]
13,['Sep 22'],['963.979kWh'],['2.602kWh/kW'],['-'],"['0,00 CHF']",['10.423kWh'],['53.384kWh'],['32.132kWh'],[]
14,['Aug 22'],['1.599MWh'],['4.177kWh/kW'],['-'],"['0,00 CHF']",['11.173kWh'],['70.353kWh'],['51.583kWh'],[]
15,['Jul 22'],['2.004MWh'],['5.234kWh/kW'],['-'],"['0,00 CHF']",['26.294kWh'],['80.911kWh'],['64.640kWh'],[]
16,['Jun 22'],['1.833MWh'],['4.948kWh/kW'],['-'],"['0,00 CHF']",['21.604kWh'],['83.099kWh'],['61.102kWh'],[]
17,['May 22'],['1.779MWh'],['4.648kWh/kW'],['-'],"['0,00 CHF']",['16.089kWh'],['82.670kWh'],['57.403kWh'],[]
18,['Apr 22'],['1.431MWh'],['3.863kWh/kW'],['-'],"['0,00 CHF']",['6.441kWh'],['73.200kWh'],['47.702kWh'],[]
19,['Mar 22'],['1.323MWh'],['3.455kWh/kW'],['-'],"['0,00 CHF']",['11.882kWh'],['56.372kWh'],['42.671kWh'],[]
20,['Feb 22'],['618.556kWh'],['1.789kWh/kW'],['-'],"['0,00 CHF']",['0.576kWh'],['45.128kWh'],['22.091kWh'],[]
21,['Jan 22'],['384.033kWh'],['1.003kWh/kW'],['-'],"['0,00 CHF']",['1.695kWh'],['23.436kWh'],['12.388kWh'],[]
22,['Dec 21'],['165.336kWh'],['0.432kWh/kW'],['-'],"['0,00 CHF']",['0.111kWh'],['14.709kWh'],['5.333kWh'],[]
23,['Nov 21'],['290.442kWh'],['0.784kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['25.551kWh'],['9.681kWh'],[]
24,['Oct 21'],['805.138kWh'],['2.103kWh/kW'],['-'],"['0,00 CHF']",['13.468kWh'],['42.167kWh'],['25.972kWh'],[]
25,['Sep 21'],['1.219MWh'],['3.291kWh/kW'],['-'],"['0,00 CHF']",['12.065kWh'],['59.065kWh'],['40.641kWh'],[]
26,['Aug 21'],['1.265MWh'],['3.303kWh/kW'],['-'],"['0,00 CHF']",['15.842kWh'],['66.636kWh'],['40.795kWh'],[]
27,['Jul 21'],['1.488MWh'],['3.886kWh/kW'],['-'],"['0,00 CHF']",['13.113kWh'],['77.369kWh'],['47.990kWh'],[]
28,['Jun 21'],['1.829MWh'],['4.936kWh/kW'],['-'],"['0,00 CHF']",['20.099kWh'],['82.341kWh'],['60.965kWh'],[]
29,['May 21'],['1.538MWh'],['4.017kWh/kW'],['-'],"['0,00 CHF']",['10.391kWh'],['84.504kWh'],['49.608kWh'],[]
30,['Apr 21'],['1.517MWh'],['4.236kWh/kW'],['-'],"['0,00 CHF']",['13.092kWh'],['74.215kWh'],['52.310kWh'],['Partial Month (29 days)']
31,['Dec 20'],['2.484kWh'],['0.050kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['1.303kWh'],['0.621kWh'],['Partial Month (4 days)']
32,['Nov 20'],['385.715kWh'],['1.041kWh/kW'],['-'],"['0,00 CHF']",['1.332kWh'],['23.100kWh'],['12.857kWh'],[]
33,['Oct 20'],['640.343kWh'],['1.673kWh/kW'],['-'],"['0,00 CHF']",['8.219kWh'],['36.039kWh'],['20.656kWh'],[]
34,['Sep 20'],['1.191MWh'],['3.215kWh/kW'],['-'],"['0,00 CHF']",['9.332kWh'],['60.412kWh'],['39.705kWh'],[]
35,['Aug 20'],['1.486MWh'],['3.880kWh/kW'],['-'],"['0,00 CHF']",['5.588kWh'],['69.935kWh'],['47.919kWh'],[]
36,['Jul 20'],['1.881MWh'],['4.913kWh/kW'],['-'],"['0,00 CHF']",['16.261kWh'],['81.062kWh'],['60.677kWh'],[]
37,['Jun 20'],['1.547MWh'],['4.175kWh/kW'],['-'],"['0,00 CHF']",['8.935kWh'],['83.526kWh'],['51.556kWh'],[]
38,['May 20'],['1.869MWh'],['4.881kWh/kW'],['-'],"['0,00 CHF']",['10.689kWh'],['84.660kWh'],['60.277kWh'],[]
39,['Apr 20'],['1.814MWh'],['4.895kWh/kW'],['-'],"['0,00 CHF']",['16.083kWh'],['73.203kWh'],['60.458kWh'],[]
40,['Mar 20'],['1.146MWh'],['2.994kWh/kW'],['-'],"['0,00 CHF']",['7.539kWh'],['62.997kWh'],['36.978kWh'],[]
41,['Feb 20'],['590.835kWh'],['1.650kWh/kW'],['-'],"['0,00 CHF']",['2.277kWh'],['39.078kWh'],['20.373kWh'],[]
42,['Jan 20'],['479.917kWh'],['1.254kWh/kW'],['-'],"['0,00 CHF']",['2.337kWh'],['22.929kWh'],['15.481kWh'],[]
43,['Dec 19'],['278.723kWh'],['0.728kWh/kW'],['-'],"['0,00 CHF']",['1.638kWh'],['22.542kWh'],['8.991kWh'],[]
44,['Nov 19'],['340.839kWh'],['0.920kWh/kW'],['-'],"['0,00 CHF']",['3.087kWh'],['20.595kWh'],['11.361kWh'],[]
45,['Oct 19'],['709.620kWh'],['1.854kWh/kW'],['-'],"['0,00 CHF']",['4.080kWh'],['45.834kWh'],['22.890kWh'],[]
46,['Sep 19'],['1.181MWh'],['3.188kWh/kW'],['-'],"['0,00 CHF']",['11.112kWh'],['61.338kWh'],['39.376kWh'],[]
47,['Aug 19'],['1.491MWh'],['3.895kWh/kW'],['-'],"['0,00 CHF']",['8.097kWh'],['69.288kWh'],['48.099kWh'],[]
48,['Jul 19'],['1.917MWh'],['5.006kWh/kW'],['-'],"['0,00 CHF']",['8.850kWh'],['80.511kWh'],['61.827kWh'],[]
49,['Jun 19'],['1.905MWh'],['5.141kWh/kW'],['-'],"['0,00 CHF']",['18.471kWh'],['80.157kWh'],['63.491kWh'],[]
50,['May 19'],['1.547MWh'],['4.041kWh/kW'],['-'],"['0,00 CHF']",['7.554kWh'],['79.620kWh'],['49.903kWh'],[]
51,['Apr 19'],['1.322MWh'],['3.567kWh/kW'],['-'],"['0,00 CHF']",['2.715kWh'],['71.277kWh'],['44.054kWh'],[]
52,['Mar 19'],['1.101MWh'],['2.876kWh/kW'],['-'],"['0,00 CHF']",['4.470kWh'],['62.898kWh'],['35.521kWh'],[]
53,['Feb 19'],['724.965kWh'],['2.097kWh/kW'],['-'],"['0,00 CHF']",['0.186kWh'],['44.472kWh'],['25.891kWh'],[]
54,['Jan 19'],['268.848kWh'],['0.702kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['23.637kWh'],['8.672kWh'],[]
55,['Dec 18'],['251.862kWh'],['0.658kWh/kW'],['-'],"['0,00 CHF']",['0.720kWh'],['20.436kWh'],['8.124kWh'],[]
56,['Nov 18'],['345.966kWh'],['0.934kWh/kW'],['-'],"['0,00 CHF']",['1.353kWh'],['24.993kWh'],['11.532kWh'],[]
57,['Oct 18'],['880.926kWh'],['2.301kWh/kW'],['-'],"['0,00 CHF']",['2.508kWh'],['45.501kWh'],['28.416kWh'],[]
58,['Sep 18'],['1.362MWh'],['3.677kWh/kW'],['-'],"['0,00 CHF']",['10.989kWh'],['59.100kWh'],['45.408kWh'],[]
59,['Aug 18'],['1.669MWh'],['4.358kWh/kW'],['-'],"['0,00 CHF']",['10.236kWh'],['69.315kWh'],['53.824kWh'],[]
60,['Jul 18'],['1.980MWh'],['5.172kWh/kW'],['-'],"['0,00 CHF']",['25.779kWh'],['80.793kWh'],['63.872kWh'],[]
61,['Jun 18'],['1.949MWh'],['5.259kWh/kW'],['-'],"['0,00 CHF']",['14.820kWh'],['83.766kWh'],['64.950kWh'],[]
62,['May 18'],['1.676MWh'],['4.378kWh/kW'],['-'],"['0,00 CHF']",['16.587kWh'],['78.867kWh'],['54.068kWh'],[]
63,['Apr 18'],['1.662MWh'],['4.485kWh/kW'],['-'],"['0,00 CHF']",['23.370kWh'],['70.998kWh'],['55.386kWh'],[]
64,['Mar 18'],['828.758kWh'],['2.165kWh/kW'],['-'],"['0,00 CHF']",['2.896kWh'],['60.873kWh'],['26.734kWh'],[]
65,['Feb 18'],['323.806kWh'],['0.936kWh/kW'],['-'],"['0,00 CHF']",['1.666kWh'],['32.875kWh'],['11.564kWh'],[]
66,['Jan 18'],['317.289kWh'],['0.829kWh/kW'],['-'],"['0,00 CHF']",['0.671kWh'],['24.490kWh'],['10.235kWh'],[]
67,['Dec 17'],['150.379kWh'],['0.393kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['19.762kWh'],['4.850kWh'],[]
68,['Nov 17'],['317.531kWh'],['0.857kWh/kW'],['-'],"['0,00 CHF']",['1.673kWh'],['30.164kWh'],['10.584kWh'],[]
69,['Oct 17'],['914.196kWh'],['2.388kWh/kW'],['-'],"['0,00 CHF']",['4.713kWh'],['47.153kWh'],['29.490kWh'],[]
70,['Sep 17'],['685.011kWh'],['3.263kWh/kW'],['-'],"['0,00 CHF']",['18.024kWh'],['54.612kWh'],['40.294kWh'],['Partial Month (17 days)']
