,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['92.373kWh'],['2.493kWh/kW'],['-'],"['0,00 CHF']",['18.836kWh'],['44.099kWh'],['30.791kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['302.286kWh'],['3.497kWh/kW'],['-'],"['0,00 CHF']",['33.776kWh'],['49.290kWh'],['43.183kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['238.825kWh'],['2.763kWh/kW'],['-'],"['0,00 CHF']",['12.285kWh'],['51.091kWh'],['34.117kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['274.796kWh'],['3.179kWh/kW'],['-'],"['0,00 CHF']",['20.093kWh'],['52.004kWh'],['39.256kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['375.886kWh'],['4.348kWh/kW'],['-'],"['0,00 CHF']",['42.141kWh'],['57.394kWh'],['53.698kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['248.633kWh'],['2.876kWh/kW'],['-'],"['0,00 CHF']",['10.657kWh'],['57.858kWh'],['35.519kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['297.271kWh'],['3.439kWh/kW'],['-'],"['0,00 CHF']",['19.447kWh'],['58.965kWh'],['42.467kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['393.337kWh'],['4.550kWh/kW'],['-'],"['0,00 CHF']",['43.166kWh'],['65.744kWh'],['56.191kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['358.305kWh'],['4.145kWh/kW'],['-'],"['0,00 CHF']",['30.710kWh'],['65.333kWh'],['51.186kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['322.305kWh'],['3.728kWh/kW'],['-'],"['0,00 CHF']",['20.142kWh'],['70.883kWh'],['46.043kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['255.821kWh'],['2.959kWh/kW'],['-'],"['0,00 CHF']",['5.708kWh'],['53.600kWh'],['36.545kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['413.421kWh'],['4.782kWh/kW'],['-'],"['0,00 CHF']",['44.062kWh'],['68.821kWh'],['59.060kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['396.317kWh'],['4.584kWh/kW'],['-'],"['0,00 CHF']",['30.162kWh'],['75.014kWh'],['56.616kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['429.071kWh'],['4.963kWh/kW'],['-'],"['0,00 CHF']",['44.586kWh'],['76.588kWh'],['61.295kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['375.543kWh'],['4.344kWh/kW'],['-'],"['0,00 CHF']",['23.404kWh'],['69.029kWh'],['53.649kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['463.874kWh'],['5.366kWh/kW'],['-'],"['0,00 CHF']",['53.656kWh'],['80.653kWh'],['66.267kWh'],['19/06/23 - 25/06/23']
