,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['15/01/18'],['8.197kWh'],['0.880kWh/kW'],['8.197kWh'],['3.694kW'],['11:05AM'],['Partly Cloudy'],,['Updated 18:05 UTC+1:00']
1,['14/01/18'],['1.984kWh'],['0.213kWh/kW'],['1.984kWh'],['0.453kW'],['1:25PM'],['Showers'],,['Updated 00:17 UTC+1:00']
2,['13/01/18'],['22.972kWh'],['2.467kWh/kW'],['22.972kWh'],['5.127kW'],['1:35PM'],['Fine'],,['Updated 00:15 UTC+1:00']
3,['12/01/18'],['3.812kWh'],['0.409kWh/kW'],['3.812kWh'],['2.254kW'],['1:10PM'],['Cloudy'],,['Updated 00:13 UTC+1:00']
4,['11/01/18'],['4.865kWh'],['0.523kWh/kW'],['4.865kWh'],['1.310kW'],['12:15PM'],['Cloudy'],,['Updated 00:12 UTC+1:00']
5,['10/01/18'],['5.145kWh'],['0.553kWh/kW'],['5.145kWh'],['2.573kW'],['10:50AM'],['Mostly Cloudy'],,['Updated 00:20 UTC+1:00']
6,['09/01/18'],['5.217kWh'],['0.560kWh/kW'],['5.217kWh'],['2.197kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 00:14 UTC+1:00']
7,['08/01/18'],['11.962kWh'],['1.285kWh/kW'],['11.962kWh'],['4.819kW'],['12:50PM'],['Fine'],,['Updated 00:17 UTC+1:00']
8,['07/01/18'],['4.253kWh'],['0.457kWh/kW'],['4.253kWh'],['1.480kW'],['12:15PM'],['Cloudy'],,['Updated 00:19 UTC+1:00']
9,['06/01/18'],['3.503kWh'],['0.376kWh/kW'],['3.503kWh'],['0.983kW'],['12:50PM'],['Cloudy'],,['Updated 00:14 UTC+1:00']
10,['05/01/18'],['10.480kWh'],['1.126kWh/kW'],['10.480kWh'],['3.740kW'],['10:35AM'],['Partly Cloudy'],,['Updated 00:20 UTC+1:00']
11,['04/01/18'],['1.440kWh'],['0.155kWh/kW'],['1.440kWh'],['0.518kW'],['1:20PM'],['Showers'],,['Updated 00:16 UTC+1:00']
12,['03/01/18'],['2.581kWh'],['0.277kWh/kW'],['2.581kWh'],['2.461kW'],['2:30PM'],['Cloudy'],,['Updated 00:14 UTC+1:00']
13,['02/01/18'],['13.232kWh'],['1.421kWh/kW'],['13.232kWh'],['4.561kW'],['11:35AM'],['Fine'],,['Updated 00:15 UTC+1:00']
14,['01/01/18'],['17.463kWh'],['1.876kWh/kW'],['17.463kWh'],['5.599kW'],['12:10PM'],['Fine'],,['Updated 00:12 UTC+1:00']
15,['31/12/17'],['21.743kWh'],['2.335kWh/kW'],['21.743kWh'],['4.348kW'],['11:40AM'],['Fine'],,['Updated 00:17 UTC+1:00']
16,['30/12/17'],['3.184kWh'],['0.342kWh/kW'],['3.184kWh'],['1.170kW'],['2:15PM'],['Cloudy'],,['Updated 00:16 UTC+1:00']
17,['29/12/17'],['13.148kWh'],['1.412kWh/kW'],['13.148kWh'],['4.176kW'],['10:30AM'],['Fine'],,['Updated 00:13 UTC+1:00']
18,['28/12/17'],['7.570kWh'],['0.813kWh/kW'],['7.570kWh'],['4.688kW'],['1:50PM'],['Partly Cloudy'],,['Updated 00:12 UTC+1:00']
19,['27/12/17'],['1.511kWh'],['0.162kWh/kW'],['1.511kWh'],['0.450kW'],['2:10PM'],['Showers'],,['Updated 00:21 UTC+1:00']
20,['26/12/17'],['3.836kWh'],['0.412kWh/kW'],['3.836kWh'],['1.584kW'],['9:10AM'],['Cloudy'],,['Updated 00:18 UTC+1:00']
21,['25/12/17'],['3.499kWh'],['0.376kWh/kW'],['3.499kWh'],['1.143kW'],['2:00PM'],['Cloudy'],,['Updated 00:16 UTC+1:00']
22,['24/12/17'],['1.956kWh'],['0.210kWh/kW'],['1.956kWh'],['0.542kW'],['1:00PM'],['Showers'],,['Updated 00:14 UTC+1:00']
23,['23/12/17'],['1.820kWh'],['0.195kWh/kW'],['1.820kWh'],['0.483kW'],['12:40PM'],['Showers'],,['Updated 00:13 UTC+1:00']
24,['22/12/17'],['3.867kWh'],['0.415kWh/kW'],['3.867kWh'],['1.261kW'],['12:20PM'],['Cloudy'],,['Updated 00:11 UTC+1:00']
25,['21/12/17'],['9.340kWh'],['1.003kWh/kW'],['9.340kWh'],['3.605kW'],['12:40PM'],['Partly Cloudy'],,['Updated 00:20 UTC+1:00']
26,['20/12/17'],['11.866kWh'],['1.275kWh/kW'],['11.866kWh'],['4.036kW'],['1:30PM'],['Fine'],,['Updated 00:19 UTC+1:00']
27,['19/12/17'],['0.797kWh'],['0.086kWh/kW'],['0.797kWh'],['0.336kW'],['2:25PM'],['Showers'],,['Updated 00:16 UTC+1:00']
28,['18/12/17'],['0.154kWh'],['0.017kWh/kW'],['0.154kWh'],['0.114kW'],['2:05PM'],['Showers'],,['Updated 00:15 UTC+1:00']
29,['17/12/17'],['5.410kWh'],['0.581kWh/kW'],['5.410kWh'],['1.662kW'],['11:05AM'],['Mostly Cloudy'],,['Updated 00:13 UTC+1:00']
30,['16/12/17'],['3.010kWh'],['0.323kWh/kW'],['3.010kWh'],['2.027kW'],['12:55PM'],['Cloudy'],,['Updated 00:12 UTC+1:00']
31,['15/12/17'],['12.694kWh'],['1.363kWh/kW'],['12.694kWh'],['4.745kW'],['11:40AM'],['Fine'],,['Updated 00:11 UTC+1:00']
32,['14/12/17'],['1.578kWh'],['0.169kWh/kW'],['1.578kWh'],['0.637kW'],['11:50AM'],['Showers'],,['Updated 00:20 UTC+1:00']
33,['13/12/17'],['16.483kWh'],['1.770kWh/kW'],['16.483kWh'],['5.185kW'],['10:40AM'],['Fine'],,['Updated 00:18 UTC+1:00']
34,['12/12/17'],['3.244kWh'],['0.348kWh/kW'],['3.244kWh'],['1.188kW'],['12:25PM'],['Cloudy'],,['Updated 00:16 UTC+1:00']
35,['11/12/17'],['1.485kWh'],['0.160kWh/kW'],['1.485kWh'],['0.562kW'],['12:10PM'],['Showers'],,['Updated 00:15 UTC+1:00']
36,['10/12/17'],['0.003kWh'],['0.000kWh/kW'],['0.003kWh'],['0.015kW'],['3:55PM'],['Showers'],,['Updated 00:14 UTC+1:00']
37,['09/12/17'],['3.327kWh'],['0.357kWh/kW'],['3.327kWh'],['3.124kW'],['11:45AM'],['Cloudy'],,['Updated 00:12 UTC+1:00']
38,['08/12/17'],['7.137kWh'],['0.767kWh/kW'],['7.137kWh'],['5.469kW'],['1:10PM'],['Partly Cloudy'],,['Updated 00:21 UTC+1:00']
39,['07/12/17'],['7.737kWh'],['0.831kWh/kW'],['7.737kWh'],['3.845kW'],['1:55PM'],['Partly Cloudy'],,['Updated 00:19 UTC+1:00']
40,['06/12/17'],['2.494kWh'],['0.268kWh/kW'],['2.494kWh'],['0.627kW'],['11:20AM'],['Cloudy'],,['Updated 00:18 UTC+1:00']
41,['05/12/17'],['27.966kWh'],['3.004kWh/kW'],['27.966kWh'],['5.161kW'],['12:10PM'],['Fine'],,['Updated 00:16 UTC+1:00']
42,['04/12/17'],['4.674kWh'],['0.502kWh/kW'],['4.674kWh'],['1.464kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:15 UTC+1:00']
43,['03/12/17'],['22.277kWh'],['2.393kWh/kW'],['22.277kWh'],['4.599kW'],['11:45AM'],['Fine'],,['Updated 00:14 UTC+1:00']
44,['02/12/17'],['4.916kWh'],['0.528kWh/kW'],['4.916kWh'],['2.443kW'],['12:00PM'],['Mostly Cloudy'],,['Updated 00:13 UTC+1:00']
45,['01/12/17'],['11.422kWh'],['1.227kWh/kW'],['11.422kWh'],['5.427kW'],['1:30PM'],['Fine'],,['Updated 00:12 UTC+1:00']
46,['30/11/17'],['3.861kWh'],['0.415kWh/kW'],['3.861kWh'],['1.285kW'],['12:20PM'],['Cloudy'],,['Updated 00:21 UTC+1:00']
47,['29/11/17'],['6.128kWh'],['0.658kWh/kW'],['6.128kWh'],['2.755kW'],['12:50PM'],['Cloudy'],,['Updated 00:20 UTC+1:00']
48,['28/11/17'],['5.280kWh'],['0.567kWh/kW'],['5.280kWh'],['1.574kW'],['12:30PM'],['Cloudy'],,['Updated 00:19 UTC+1:00']
49,['27/11/17'],['13.236kWh'],['1.422kWh/kW'],['13.236kWh'],['5.037kW'],['9:50AM'],['Partly Cloudy'],,['Updated 00:17 UTC+1:00']
50,['26/11/17'],['4.812kWh'],['0.517kWh/kW'],['4.812kWh'],['2.920kW'],['12:55PM'],['Cloudy'],,['Updated 00:16 UTC+1:00']
51,['25/11/17'],['2.577kWh'],['0.277kWh/kW'],['2.577kWh'],['1.688kW'],['1:50PM'],['Showers'],,['Updated 00:15 UTC+1:00']
52,['24/11/17'],['16.271kWh'],['1.748kWh/kW'],['16.271kWh'],['6.437kW'],['12:40PM'],['Fine'],,['Updated 00:14 UTC+1:00']
53,['23/11/17'],['18.417kWh'],['1.978kWh/kW'],['18.417kWh'],['6.275kW'],['12:00PM'],['Fine'],,['Updated 00:12 UTC+1:00']
54,['22/11/17'],['35.364kWh'],['3.798kWh/kW'],['35.364kWh'],['6.464kW'],['12:10PM'],['Fine'],,['Updated 00:21 UTC+1:00']
55,['21/11/17'],['20.635kWh'],['2.216kWh/kW'],['20.635kWh'],['6.550kW'],['12:30PM'],['Fine'],,['Updated 00:19 UTC+1:00']
56,['20/11/17'],['15.236kWh'],['1.637kWh/kW'],['15.236kWh'],['6.683kW'],['12:05PM'],['Fine'],,['Updated 00:16 UTC+1:00']
57,['19/11/17'],['5.950kWh'],['0.639kWh/kW'],['5.950kWh'],['5.978kW'],['1:10PM'],['Cloudy'],,['Updated 00:15 UTC+1:00']
58,['18/11/17'],['3.495kWh'],['0.375kWh/kW'],['3.495kWh'],['0.759kW'],['12:45PM'],['Cloudy'],,['Updated 00:14 UTC+1:00']
59,['17/11/17'],['27.841kWh'],['2.990kWh/kW'],['27.841kWh'],['6.422kW'],['12:05PM'],['Fine'],,['Updated 00:13 UTC+1:00']
60,['16/11/17'],['4.965kWh'],['0.533kWh/kW'],['4.965kWh'],['1.267kW'],['1:15PM'],['Cloudy'],,['Updated 00:11 UTC+1:00']
61,['15/11/17'],['25.723kWh'],['2.763kWh/kW'],['25.723kWh'],['7.040kW'],['12:15PM'],['Fine'],,['Updated 00:20 UTC+1:00']
62,['14/11/17'],['32.809kWh'],['3.524kWh/kW'],['32.809kWh'],['7.852kW'],['11:35AM'],['Fine'],,['Updated 00:19 UTC+1:00']
63,['13/11/17'],['14.945kWh'],['1.605kWh/kW'],['14.945kWh'],['6.579kW'],['1:50PM'],['Fine'],,['Updated 00:18 UTC+1:00']
64,['12/11/17'],['3.821kWh'],['0.410kWh/kW'],['3.821kWh'],['2.128kW'],['3:00PM'],['Cloudy'],,['Updated 00:16 UTC+1:00']
65,['11/11/17'],['3.995kWh'],['0.429kWh/kW'],['3.995kWh'],['1.073kW'],['12:40PM'],['Cloudy'],,['Updated 00:15 UTC+1:00']
66,['10/11/17'],['4.718kWh'],['0.507kWh/kW'],['4.718kWh'],['1.302kW'],['11:10AM'],['Cloudy'],,['Updated 00:14 UTC+1:00']
67,['09/11/17'],['5.188kWh'],['0.557kWh/kW'],['5.188kWh'],['1.458kW'],['1:30PM'],['Cloudy'],,['Updated 00:12 UTC+1:00']
68,['08/11/17'],['10.619kWh'],['1.141kWh/kW'],['10.619kWh'],['4.052kW'],['12:45PM'],['Partly Cloudy'],,['Updated 00:11 UTC+1:00']
69,['07/11/17'],['5.515kWh'],['0.592kWh/kW'],['5.515kWh'],['1.619kW'],['10:35AM'],['Cloudy'],,['Updated 00:21 UTC+1:00']
70,['06/11/17'],['2.279kWh'],['0.245kWh/kW'],['2.279kWh'],['0.892kW'],['10:20AM'],['Showers'],,['Updated 00:19 UTC+1:00']
71,['05/11/17'],['1.870kWh'],['0.201kWh/kW'],['1.870kWh'],['0.621kW'],['11:55AM'],['Showers'],,['Updated 00:17 UTC+1:00']
72,['04/11/17'],['11.383kWh'],['1.223kWh/kW'],['11.383kWh'],['5.271kW'],['11:20AM'],['Partly Cloudy'],,['Updated 00:16 UTC+1:00']
73,['03/11/17'],['38.208kWh'],['4.104kWh/kW'],['38.208kWh'],['6.692kW'],['12:05PM'],['Fine'],,['Updated 00:15 UTC+1:00']
74,['02/11/17'],['19.511kWh'],['2.096kWh/kW'],['19.511kWh'],['6.067kW'],['12:05PM'],['Fine'],,['Updated 00:13 UTC+1:00']
75,['01/11/17'],['38.426kWh'],['4.127kWh/kW'],['38.426kWh'],['6.983kW'],['12:25PM'],['Fine'],,['Updated 00:12 UTC+1:00']
76,['31/10/17'],['44.217kWh'],['4.749kWh/kW'],['44.217kWh'],['7.023kW'],['12:10PM'],['Fine'],,['Updated 00:21 UTC+1:00']
77,['30/10/17'],['43.591kWh'],['4.682kWh/kW'],['43.591kWh'],['7.638kW'],['12:05PM'],['Fine'],,['Updated 00:20 UTC+1:00']
78,['29/10/17'],['6.020kWh'],['0.647kWh/kW'],['6.020kWh'],['2.738kW'],['12:50PM'],['Cloudy'],,['Updated 00:18 UTC+1:00']
79,['28/10/17'],['34.041kWh'],['3.656kWh/kW'],['34.041kWh'],['7.169kW'],['1:20PM'],['Fine'],,['Updated 00:21 UTC+2:00']
80,['27/10/17'],['8.859kWh'],['0.952kWh/kW'],['8.859kWh'],['7.251kW'],['2:15PM'],['Cloudy'],,['Updated 00:20 UTC+2:00']
81,['26/10/17'],['37.086kWh'],['3.983kWh/kW'],['37.086kWh'],['7.064kW'],['12:50PM'],['Fine'],,['Updated 00:21 UTC+2:00']
82,['25/10/17'],['43.349kWh'],['4.656kWh/kW'],['43.349kWh'],['6.936kW'],['1:25PM'],['Fine'],,['Updated 00:19 UTC+2:00']
83,['24/10/17'],['42.195kWh'],['4.532kWh/kW'],['42.195kWh'],['7.010kW'],['1:20PM'],['Fine'],,['Updated 00:13 UTC+2:00']
84,['23/10/17'],['5.214kWh'],['0.560kWh/kW'],['5.214kWh'],['2.136kW'],['12:25PM'],['Cloudy'],,['Updated 00:12 UTC+2:00']
85,['22/10/17'],['29.494kWh'],['3.168kWh/kW'],['29.494kWh'],['8.360kW'],['11:30AM'],['Fine'],,['Updated 00:21 UTC+2:00']
86,['21/10/17'],['23.000kWh'],['2.470kWh/kW'],['23.000kWh'],['5.847kW'],['10:50AM'],['Fine'],,['Updated 00:19 UTC+2:00']
