,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Jan 18'],['117.106kWh'],['0.839kWh/kW'],['117.106kWh'],"['12,18 CHF']",['1.440kWh'],['22.972kWh'],['7.807kWh'],['Partial Month (15 days)']
1,['Dec 17'],['220.148kWh'],['0.763kWh/kW'],['220.148kWh'],"['22,90 CHF']",['0.003kWh'],['27.966kWh'],['7.101kWh'],[]
2,['Nov 17'],['403.078kWh'],['1.443kWh/kW'],['403.078kWh'],"['41,92 CHF']",['1.870kWh'],['38.426kWh'],['13.435kWh'],[]
3,['Oct 17'],['1.058MWh'],['3.665kWh/kW'],['1.058MWh'],"['110,00 CHF']",['5.214kWh'],['51.279kWh'],['34.117kWh'],[]
4,['Sep 17'],['989.245kWh'],['3.542kWh/kW'],['989.245kWh'],"['102,88 CHF']",['8.509kWh'],['55.093kWh'],['32.974kWh'],[]
5,['Aug 17'],['1.259MWh'],['4.363kWh/kW'],['1.259MWh'],"['130,95 CHF']",['6.740kWh'],['55.691kWh'],['40.616kWh'],[]
6,['Jul 17'],['1.281MWh'],['4.439kWh/kW'],['1.281MWh'],"['133,24 CHF']",['12.802kWh'],['56.467kWh'],['41.328kWh'],[]
7,['Jun 17'],['1.383MWh'],['4.952kWh/kW'],['1.383MWh'],"['143,85 CHF']",['0.995kWh'],['60.453kWh'],['46.105kWh'],[]
8,['May 17'],['1.294MWh'],['4.482kWh/kW'],['1.294MWh'],"['134,52 CHF']",['3.927kWh'],['61.493kWh'],['41.725kWh'],[]
9,['Apr 17'],['1.135MWh'],['4.878kWh/kW'],['1.135MWh'],"['118,07 CHF']",['0.000kWh'],['64.251kWh'],['45.411kWh'],['Partial Month (25 days)']
10,['Mar 17'],['1.114MWh'],['3.861kWh/kW'],['1.114MWh'],"['115,89 CHF']",['5.506kWh'],['57.113kWh'],['35.946kWh'],[]
11,['Feb 17'],['621.642kWh'],['2.385kWh/kW'],['621.642kWh'],"['64,65 CHF']",['2.144kWh'],['50.864kWh'],['22.201kWh'],[]
12,['Jan 17'],['184.479kWh'],['0.734kWh/kW'],['184.479kWh'],"['19,19 CHF']",['0.078kWh'],['34.148kWh'],['6.832kWh'],['Partial Month (27 days)']
13,['Dec 16'],['281.804kWh'],['0.977kWh/kW'],['281.804kWh'],"['29,31 CHF']",['1.409kWh'],['31.123kWh'],['9.090kWh'],[]
14,['Nov 16'],['349.628kWh'],['1.252kWh/kW'],['349.628kWh'],"['36,36 CHF']",['2.368kWh'],['33.504kWh'],['11.654kWh'],[]
15,['Oct 16'],['695.348kWh'],['2.409kWh/kW'],['695.348kWh'],"['72,32 CHF']",['2.761kWh'],['52.290kWh'],['22.430kWh'],[]
16,['Sep 16'],['1.131MWh'],['4.051kWh/kW'],['1.131MWh'],"['117,67 CHF']",['1.100kWh'],['54.985kWh'],['37.714kWh'],[]
17,['Aug 16'],['1.361MWh'],['4.716kWh/kW'],['1.361MWh'],"['141,56 CHF']",['9.374kWh'],['58.643kWh'],['43.908kWh'],[]
18,['Jul 16'],['1.333MWh'],['4.620kWh/kW'],['1.333MWh'],"['138,67 CHF']",['8.265kWh'],['59.359kWh'],['43.011kWh'],[]
19,['Jun 16'],['1.088MWh'],['3.895kWh/kW'],['1.088MWh'],"['113,14 CHF']",['14.303kWh'],['57.541kWh'],['36.263kWh'],[]
20,['May 16'],['1.112MWh'],['3.981kWh/kW'],['1.112MWh'],"['115,63 CHF']",['1.352kWh'],['64.014kWh'],['37.061kWh'],['Partial Month (30 days)']
21,['Apr 16'],['1.015MWh'],['3.636kWh/kW'],['1.015MWh'],"['105,61 CHF']",['5.913kWh'],['63.302kWh'],['33.848kWh'],[]
