,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2018-03'],['8.197kWh'],['0.880kWh/kW'],['8.197kWh'],"['0,85 CHF']",['8.197kWh'],['8.197kWh'],['8.197kWh'],['15/01/18 - 15/01/18']
1,['2018-02'],['55.957kWh'],['0.859kWh/kW'],['55.957kWh'],"['5,82 CHF']",['1.984kWh'],['22.972kWh'],['7.993kWh'],['08/01/18 - 14/01/18']
2,['2018-01'],['52.952kWh'],['0.813kWh/kW'],['52.952kWh'],"['5,51 CHF']",['1.440kWh'],['17.463kWh'],['7.564kWh'],['01/01/18 - 07/01/18']
3,['2017-52'],['54.491kWh'],['0.836kWh/kW'],['54.491kWh'],"['5,67 CHF']",['1.511kWh'],['21.743kWh'],['7.784kWh'],['25/12/17 - 31/12/17']
4,['2017-51'],['29.800kWh'],['0.457kWh/kW'],['29.800kWh'],"['3,10 CHF']",['0.154kWh'],['11.866kWh'],['4.257kWh'],['18/12/17 - 24/12/17']
5,['2017-50'],['43.904kWh'],['0.673kWh/kW'],['43.904kWh'],"['4,57 CHF']",['1.485kWh'],['16.483kWh'],['6.272kWh'],['11/12/17 - 17/12/17']
6,['2017-49'],['53.338kWh'],['0.818kWh/kW'],['53.338kWh'],"['5,55 CHF']",['0.003kWh'],['27.966kWh'],['7.619kWh'],['04/12/17 - 10/12/17']
7,['2017-48'],['67.120kWh'],['1.030kWh/kW'],['67.120kWh'],"['6,98 CHF']",['3.861kWh'],['22.277kWh'],['9.588kWh'],['27/11/17 - 03/12/17']
8,['2017-47'],['113.312kWh'],['1.739kWh/kW'],['113.312kWh'],"['11,78 CHF']",['2.577kWh'],['35.364kWh'],['16.187kWh'],['20/11/17 - 26/11/17']
9,['2017-46'],['115.728kWh'],['1.776kWh/kW'],['115.728kWh'],"['12,04 CHF']",['3.495kWh'],['32.809kWh'],['16.532kWh'],['13/11/17 - 19/11/17']
10,['2017-45'],['36.135kWh'],['0.554kWh/kW'],['36.135kWh'],"['3,76 CHF']",['2.279kWh'],['10.619kWh'],['5.162kWh'],['06/11/17 - 12/11/17']
11,['2017-44'],['197.206kWh'],['3.026kWh/kW'],['197.206kWh'],"['20,51 CHF']",['1.870kWh'],['44.217kWh'],['28.172kWh'],['30/10/17 - 05/11/17']
12,['2017-43'],['176.764kWh'],['2.712kWh/kW'],['176.764kWh'],"['18,38 CHF']",['5.214kWh'],['43.349kWh'],['25.252kWh'],['23/10/17 - 29/10/17']
13,['2017-42'],['246.408kWh'],['3.781kWh/kW'],['246.408kWh'],"['25,63 CHF']",['14.986kWh'],['48.241kWh'],['35.201kWh'],['16/10/17 - 22/10/17']
14,['2017-41'],['304.957kWh'],['4.679kWh/kW'],['304.957kWh'],"['31,72 CHF']",['22.750kWh'],['49.634kWh'],['43.565kWh'],['09/10/17 - 15/10/17']
15,['2017-40'],['205.184kWh'],['3.148kWh/kW'],['205.184kWh'],"['21,34 CHF']",['8.184kWh'],['51.279kWh'],['29.312kWh'],['02/10/17 - 08/10/17']
16,['2017-39'],['228.538kWh'],['3.507kWh/kW'],['228.538kWh'],"['23,77 CHF']",['13.621kWh'],['50.346kWh'],['32.648kWh'],['25/09/17 - 01/10/17']
17,['2017-38'],['280.244kWh'],['4.300kWh/kW'],['280.244kWh'],"['29,15 CHF']",['15.540kWh'],['55.093kWh'],['40.034kWh'],['18/09/17 - 24/09/17']
18,['2017-37'],['204.159kWh'],['3.133kWh/kW'],['204.159kWh'],"['21,23 CHF']",['14.110kWh'],['51.604kWh'],['29.165kWh'],['11/09/17 - 17/09/17']
19,['2017-36'],['229.241kWh'],['3.518kWh/kW'],['229.241kWh'],"['23,84 CHF']",['8.509kWh'],['51.502kWh'],['32.748kWh'],['04/09/17 - 10/09/17']
20,['2017-35'],['223.596kWh'],['3.431kWh/kW'],['223.596kWh'],"['23,25 CHF']",['6.740kWh'],['51.196kWh'],['31.942kWh'],['28/08/17 - 03/09/17']
21,['2017-34'],['303.675kWh'],['4.660kWh/kW'],['303.675kWh'],"['31,58 CHF']",['23.634kWh'],['55.183kWh'],['43.382kWh'],['21/08/17 - 27/08/17']
22,['2017-33'],['343.246kWh'],['5.267kWh/kW'],['343.246kWh'],"['35,70 CHF']",['44.932kWh'],['53.824kWh'],['49.035kWh'],['14/08/17 - 20/08/17']
23,['2017-32'],['210.592kWh'],['3.232kWh/kW'],['210.592kWh'],"['21,90 CHF']",['9.138kWh'],['55.691kWh'],['30.084kWh'],['07/08/17 - 13/08/17']
24,['2017-31'],['301.591kWh'],['4.628kWh/kW'],['301.591kWh'],"['31,37 CHF']",['34.531kWh'],['51.345kWh'],['43.084kWh'],['31/07/17 - 06/08/17']
25,['2017-30'],['252.832kWh'],['3.879kWh/kW'],['252.832kWh'],"['26,29 CHF']",['23.241kWh'],['54.282kWh'],['36.118kWh'],['24/07/17 - 30/07/17']
26,['2017-29'],['308.951kWh'],['4.741kWh/kW'],['308.951kWh'],"['32,13 CHF']",['20.285kWh'],['53.894kWh'],['44.135kWh'],['17/07/17 - 23/07/17']
27,['2017-28'],['307.928kWh'],['4.725kWh/kW'],['307.928kWh'],"['32,02 CHF']",['29.730kWh'],['53.824kWh'],['43.989kWh'],['10/07/17 - 16/07/17']
28,['2017-27'],['318.927kWh'],['4.894kWh/kW'],['318.927kWh'],"['33,17 CHF']",['22.058kWh'],['56.467kWh'],['45.561kWh'],['03/07/17 - 09/07/17']
