,country,name,sid,id
0,switzerland,Feuerwehr,34873,38078
1,switzerland,Oberwis,34833,38078
2,switzerland,PVA Schwimmbad Weiher Seuzach,66400,38820
3,switzerland,Penthalaz,31421,34294
4,switzerland,Feldstrasse 2 Cham,42956,47115
5,switzerland,SH Bühlmatt - Udligenswil,70069,79025
6,switzerland,Hutmattenweg,36035,39450
7,switzerland,kulmsolar Bezirksschulhaus,74142,83657
8,switzerland,Seuzach Kindergarten,52904,59457
9,switzerland,white_dove,29687,32389
10,switzerland,Seuzach Landstrasse,33517,36574
11,switzerland,TRA,62294,70114
12,switzerland,MyPVMar,20218,22325
13,switzerland,Villaz-St-Pierre,41754,44202
14,switzerland,Reduce2TheMax,77002,86824
15,switzerland,--,16873,19023
16,switzerland,YRR Home,54013,60671
17,switzerland,Penth2,48518,34294
18,switzerland,Aloaha Enecsys 2000003270,36334,39776
19,switzerland,Steinacher28,54415,61126
20,switzerland,Solar Consult,61528,69245
21,switzerland,Frattaroli-Seuzach,35508,38820
22,switzerland,DSE,67542,76152
23,switzerland,Cottens Brévires,61199,68880
24,switzerland,SE15K Winterthur,72464,81747
25,switzerland,StreckerPower,7327,9001
