,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['51.364kWh'],['3.171kWh/kW'],['-'],['11.547kW'],['12:00PM'],['Fine'],,['Updated 14:04 UTC+2:00']
1,['03/10/23'],['66.591kWh'],['4.111kWh/kW'],['-'],['11.517kW'],['12:00PM'],['Fine'],,['Updated 21:09 UTC+2:00']
2,['02/10/23'],['65.732kWh'],['4.058kWh/kW'],['-'],['11.429kW'],['11:15AM'],['Fine'],,['Updated 21:15 UTC+2:00']
3,['01/10/23'],['68.242kWh'],['4.212kWh/kW'],['-'],['11.022kW'],['11:55AM'],['Fine'],,['Updated 21:13 UTC+2:00']
4,['30/09/23'],['51.164kWh'],['3.158kWh/kW'],['-'],['12.928kW'],['11:40AM'],['Fine'],,['Updated 20:15 UTC+2:00']
5,['29/09/23'],['64.785kWh'],['3.999kWh/kW'],['-'],['12.365kW'],['10:15AM'],['Fine'],,['Updated 21:15 UTC+2:00']
6,['28/09/23'],['64.775kWh'],['3.998kWh/kW'],['-'],['12.061kW'],['10:00AM'],['Fine'],,['Updated 21:21 UTC+2:00']
7,['27/09/23'],['62.104kWh'],['3.834kWh/kW'],['-'],['13.315kW'],['10:40AM'],['Fine'],,['Updated 21:17 UTC+2:00']
8,['26/09/23'],['69.606kWh'],['4.297kWh/kW'],['-'],['11.990kW'],['11:20AM'],['Fine'],,['Updated 00:27 UTC+2:00']
9,['25/09/23'],['78.714kWh'],['4.859kWh/kW'],['-'],['12.227kW'],['11:30AM'],['Fine'],,['Updated 21:28 UTC+2:00']
10,['24/09/23'],['73.844kWh'],['4.558kWh/kW'],['-'],['13.203kW'],['11:45AM'],['Fine'],,['Updated 21:33 UTC+2:00']
11,['23/09/23'],['50.019kWh'],['3.088kWh/kW'],['-'],['15.108kW'],['12:50PM'],['Fine'],,['Updated 21:25 UTC+2:00']
12,['22/09/23'],['25.138kWh'],['1.552kWh/kW'],['-'],['11.331kW'],['2:35PM'],['Mostly Cloudy'],,['Updated 21:25 UTC+2:00']
13,['21/09/23'],['53.813kWh'],['3.322kWh/kW'],['-'],['13.910kW'],['10:35AM'],['Fine'],,['Updated 21:17 UTC+2:00']
14,['20/09/23'],['78.362kWh'],['4.837kWh/kW'],['-'],['11.752kW'],['11:05AM'],['Fine'],,['Updated 21:35 UTC+2:00']
15,['19/09/23'],['65.921kWh'],['4.069kWh/kW'],['-'],['14.192kW'],['10:10AM'],['Fine'],,['Updated 21:45 UTC+2:00']
16,['18/09/23'],['17.720kWh'],['1.094kWh/kW'],['-'],['6.772kW'],['1:15PM'],['Cloudy'],,['Updated 21:42 UTC+2:00']
17,['17/09/23'],['68.781kWh'],['4.246kWh/kW'],['-'],['11.824kW'],['11:30AM'],['Fine'],,['Updated 21:47 UTC+2:00']
18,['16/09/23'],['69.507kWh'],['4.291kWh/kW'],['-'],['16.095kW'],['12:20PM'],['Fine'],,['Updated 21:31 UTC+2:00']
19,['15/09/23'],['42.460kWh'],['2.621kWh/kW'],['-'],['12.626kW'],['12:25PM'],['Partly Cloudy'],,['Updated 21:49 UTC+2:00']
20,['14/09/23'],['61.971kWh'],['3.825kWh/kW'],['-'],['12.679kW'],['11:20AM'],['Fine'],,['Updated 21:33 UTC+2:00']
21,['13/09/23'],['32.329kWh'],['1.996kWh/kW'],['-'],['10.945kW'],['11:35AM'],['Partly Cloudy'],,['Updated 21:38 UTC+2:00']
22,['12/09/23'],['68.553kWh'],['4.232kWh/kW'],['-'],['13.883kW'],['11:50AM'],['Fine'],,['Updated 21:55 UTC+2:00']
23,['11/09/23'],['77.373kWh'],['4.776kWh/kW'],['-'],['11.346kW'],['11:15AM'],['Fine'],,['Updated 21:55 UTC+2:00']
24,['10/09/23'],['77.675kWh'],['4.795kWh/kW'],['-'],['11.349kW'],['11:40AM'],['Fine'],,['Updated 21:57 UTC+2:00']
25,['09/09/23'],['76.051kWh'],['4.695kWh/kW'],['-'],['11.266kW'],['11:30AM'],['Fine'],,['Updated 22:02 UTC+2:00']
26,['08/09/23'],['78.072kWh'],['4.819kWh/kW'],['-'],['11.393kW'],['11:50AM'],['Fine'],,['Updated 21:59 UTC+2:00']
27,['07/09/23'],['80.129kWh'],['4.946kWh/kW'],['-'],['11.583kW'],['11:40AM'],['Fine'],,['Updated 22:01 UTC+2:00']
28,['06/09/23'],['82.772kWh'],['5.109kWh/kW'],['-'],['11.956kW'],['11:30AM'],['Fine'],,['Updated 22:02 UTC+2:00']
29,['05/09/23'],['84.792kWh'],['5.234kWh/kW'],['-'],['12.035kW'],['11:25AM'],['Fine'],,['Updated 22:13 UTC+2:00']
30,['04/09/23'],['85.053kWh'],['5.250kWh/kW'],['-'],['12.601kW'],['11:50AM'],['Fine'],,['Updated 22:07 UTC+2:00']
31,['03/09/23'],['71.113kWh'],['4.390kWh/kW'],['-'],['11.278kW'],['10:05AM'],['Fine'],,['Updated 22:05 UTC+2:00']
32,['02/09/23'],['82.985kWh'],['5.123kWh/kW'],['-'],['11.996kW'],['11:30AM'],['Fine'],,['Updated 22:07 UTC+2:00']
33,['01/09/23'],['71.744kWh'],['4.429kWh/kW'],['-'],['16.192kW'],['12:35PM'],['Fine'],,['Updated 22:06 UTC+2:00']
34,['31/08/23'],['51.082kWh'],['3.153kWh/kW'],['-'],['12.736kW'],['10:00AM'],['Partly Cloudy'],,['Updated 22:07 UTC+2:00']
35,['30/08/23'],['53.790kWh'],['3.320kWh/kW'],['-'],['11.601kW'],['1:45PM'],['Partly Cloudy'],,['Updated 22:13 UTC+2:00']
36,['29/08/23'],['14.823kWh'],['0.915kWh/kW'],['-'],['3.127kW'],['11:15AM'],['Cloudy'],,['Updated 22:09 UTC+2:00']
37,['28/08/23'],['16.544kWh'],['1.021kWh/kW'],['-'],['4.255kW'],['11:15AM'],['Cloudy'],,['Updated 21:57 UTC+2:00']
38,['27/08/23'],['16.485kWh'],['1.018kWh/kW'],['-'],['5.873kW'],['11:55AM'],['Cloudy'],,['Updated 22:08 UTC+2:00']
39,['26/08/23'],['23.521kWh'],['1.452kWh/kW'],['-'],['12.116kW'],['11:00AM'],['Cloudy'],,['Updated 22:39 UTC+2:00']
40,['25/08/23'],['38.154kWh'],['2.355kWh/kW'],['-'],['12.601kW'],['12:00PM'],['Mostly Cloudy'],,['Updated 22:10 UTC+2:00']
41,['24/08/23'],['77.752kWh'],['4.800kWh/kW'],['-'],['11.333kW'],['9:50AM'],['Fine'],,['Updated 21:24 UTC+2:00']
42,['23/08/23'],['81.957kWh'],['5.059kWh/kW'],['-'],['11.345kW'],['12:15PM'],['Fine'],,['Updated 22:46 UTC+2:00']
43,['22/08/23'],['82.125kWh'],['5.069kWh/kW'],['-'],['11.414kW'],['11:35AM'],['Fine'],,['Updated 22:34 UTC+2:00']
44,['21/08/23'],['82.439kWh'],['5.089kWh/kW'],['-'],['11.268kW'],['11:25AM'],['Fine'],,['Updated 22:31 UTC+2:00']
45,['20/08/23'],['82.528kWh'],['5.094kWh/kW'],['-'],['13.229kW'],['10:20AM'],['Fine'],,['Updated 22:44 UTC+2:00']
46,['19/08/23'],['82.768kWh'],['5.109kWh/kW'],['-'],['14.805kW'],['1:25PM'],['Fine'],,['Updated 22:31 UTC+2:00']
47,['18/08/23'],['86.999kWh'],['5.370kWh/kW'],['-'],['11.860kW'],['11:30AM'],['Fine'],,['Updated 22:30 UTC+2:00']
48,['17/08/23'],['78.096kWh'],['4.821kWh/kW'],['-'],['13.336kW'],['11:30AM'],['Fine'],,['Updated 22:48 UTC+2:00']
49,['16/08/23'],['86.392kWh'],['5.333kWh/kW'],['-'],['11.684kW'],['11:55AM'],['Fine'],,['Updated 22:41 UTC+2:00']
50,['15/08/23'],['69.413kWh'],['4.285kWh/kW'],['-'],['13.321kW'],['12:10PM'],['Fine'],,['Updated 22:41 UTC+2:00']
51,['14/08/23'],['76.257kWh'],['4.707kWh/kW'],['-'],['12.602kW'],['12:35PM'],['Fine'],,['Updated 22:41 UTC+2:00']
