,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['251.929kWh'],['3.888kWh/kW'],['-'],['-'],['51.364kWh'],['68.242kWh'],['62.982kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.967MWh'],['4.048kWh/kW'],['-'],['-'],['17.720kWh'],['85.053kWh'],['65.577kWh'],[]
2,['Aug 23'],['1.928MWh'],['3.839kWh/kW'],['-'],['-'],['14.823kWh'],['92.051kWh'],['62.185kWh'],[]
3,['Jul 23'],['2.361MWh'],['4.701kWh/kW'],['-'],['-'],['36.631kWh'],['97.340kWh'],['76.154kWh'],[]
4,['Jun 23'],['2.649MWh'],['5.450kWh/kW'],['-'],['-'],['45.031kWh'],['105.587kWh'],['88.284kWh'],[]
5,['May 23'],['2.135MWh'],['4.251kWh/kW'],['-'],['-'],['27.426kWh'],['101.710kWh'],['68.861kWh'],[]
6,['Apr 23'],['1.625MWh'],['3.344kWh/kW'],['-'],['-'],['12.746kWh'],['99.807kWh'],['54.180kWh'],[]
7,['Mar 23'],['1.422MWh'],['2.831kWh/kW'],['-'],['-'],['7.857kWh'],['85.364kWh'],['45.858kWh'],[]
8,['Feb 23'],['950.126kWh'],['2.095kWh/kW'],['-'],['-'],['4.630kWh'],['62.842kWh'],['33.933kWh'],[]
9,['Jan 23'],['404.805kWh'],['0.806kWh/kW'],['-'],['-'],['1.774kWh'],['37.818kWh'],['13.058kWh'],[]
10,['Dec 22'],['278.653kWh'],['0.555kWh/kW'],['-'],['-'],['0.027kWh'],['32.284kWh'],['8.988kWh'],[]
11,['Nov 22'],['564.368kWh'],['1.161kWh/kW'],['-'],['-'],['3.534kWh'],['45.945kWh'],['18.812kWh'],[]
12,['Oct 22'],['1.050MWh'],['2.091kWh/kW'],['-'],['-'],['7.009kWh'],['58.936kWh'],['33.871kWh'],[]
13,['Sep 22'],['1.667MWh'],['3.430kWh/kW'],['-'],['-'],['9.135kWh'],['85.951kWh'],['55.568kWh'],[]
14,['Aug 22'],['2.342MWh'],['4.664kWh/kW'],['-'],['-'],['9.975kWh'],['97.478kWh'],['75.559kWh'],[]
15,['Jul 22'],['2.669MWh'],['5.314kWh/kW'],['-'],['-'],['43.981kWh'],['103.376kWh'],['86.095kWh'],[]
16,['Jun 22'],['2.328MWh'],['4.791kWh/kW'],['-'],['-'],['32.974kWh'],['105.592kWh'],['77.606kWh'],[]
17,['May 22'],['2.465MWh'],['4.907kWh/kW'],['-'],['-'],['21.168kWh'],['107.602kWh'],['79.500kWh'],[]
18,['Apr 22'],['1.998MWh'],['4.111kWh/kW'],['-'],['-'],['17.721kWh'],['102.110kWh'],['66.601kWh'],[]
19,['Mar 22'],['2.064MWh'],['4.110kWh/kW'],['-'],['-'],['7.457kWh'],['81.857kWh'],['66.588kWh'],[]
20,['Feb 22'],['1.119MWh'],['2.467kWh/kW'],['-'],['-'],['8.988kWh'],['76.105kWh'],['39.965kWh'],[]
21,['Jan 22'],['538.695kWh'],['1.386kWh/kW'],['-'],['-'],['5.903kWh'],['52.378kWh'],['22.445kWh'],['Partial Month (24 days)']
22,['Dec 21'],['334.010kWh'],['0.665kWh/kW'],['-'],['-'],['1.061kWh'],['36.111kWh'],['10.774kWh'],[]
23,['Nov 21'],['456.972kWh'],['0.940kWh/kW'],['-'],['-'],['3.717kWh'],['53.922kWh'],['15.232kWh'],[]
24,['Oct 21'],['1.205MWh'],['2.399kWh/kW'],['-'],['-'],['7.356kWh'],['72.112kWh'],['38.864kWh'],[]
25,['Sep 21'],['1.889MWh'],['3.888kWh/kW'],['-'],['-'],['16.668kWh'],['89.960kWh'],['62.980kWh'],[]
26,['Aug 21'],['1.846MWh'],['3.677kWh/kW'],['-'],['-'],['20.180kWh'],['92.873kWh'],['59.563kWh'],[]
27,['Jul 21'],['2.035MWh'],['4.053kWh/kW'],['-'],['-'],['21.007kWh'],['107.593kWh'],['65.657kWh'],[]
28,['Jun 21'],['2.326MWh'],['4.786kWh/kW'],['-'],['-'],['24.851kWh'],['104.876kWh'],['77.529kWh'],[]
29,['May 21'],['2.057MWh'],['4.097kWh/kW'],['-'],['-'],['24.310kWh'],['110.657kWh'],['66.365kWh'],[]
30,['Apr 21'],['2.241MWh'],['4.612kWh/kW'],['-'],['-'],['32.135kWh'],['101.961kWh'],['74.711kWh'],[]
31,['Mar 21'],['1.748MWh'],['3.481kWh/kW'],['-'],['-'],['8.294kWh'],['88.886kWh'],['56.384kWh'],[]
32,['Feb 21'],['1.061MWh'],['2.339kWh/kW'],['-'],['-'],['3.842kWh'],['74.965kWh'],['37.899kWh'],[]
33,['Jan 21'],['323.140kWh'],['0.643kWh/kW'],['-'],['-'],['0.138kWh'],['40.954kWh'],['10.423kWh'],[]
34,['Dec 20'],['262.967kWh'],['0.524kWh/kW'],['-'],['-'],['1.104kWh'],['32.754kWh'],['8.482kWh'],[]
35,['Nov 20'],['517.723kWh'],['1.065kWh/kW'],['-'],['-'],['3.156kWh'],['39.170kWh'],['17.257kWh'],[]
36,['Oct 20'],['879.746kWh'],['1.752kWh/kW'],['-'],['-'],['3.241kWh'],['69.786kWh'],['28.378kWh'],[]
37,['Sep 20'],['1.796MWh'],['3.696kWh/kW'],['-'],['-'],['12.488kWh'],['85.513kWh'],['59.875kWh'],[]
38,['Aug 20'],['2.019MWh'],['4.021kWh/kW'],['-'],['-'],['5.758kWh'],['98.938kWh'],['65.136kWh'],[]
39,['Jul 20'],['2.542MWh'],['5.061kWh/kW'],['-'],['-'],['22.655kWh'],['107.610kWh'],['81.984kWh'],[]
40,['Jun 20'],['1.935MWh'],['3.982kWh/kW'],['-'],['-'],['22.818kWh'],['104.337kWh'],['64.502kWh'],[]
41,['May 20'],['2.306MWh'],['4.592kWh/kW'],['-'],['-'],['10.762kWh'],['109.958kWh'],['74.395kWh'],[]
42,['Apr 20'],['2.449MWh'],['5.039kWh/kW'],['-'],['-'],['29.602kWh'],['97.976kWh'],['81.637kWh'],[]
43,['Mar 20'],['1.682MWh'],['3.350kWh/kW'],['-'],['-'],['6.502kWh'],['96.442kWh'],['54.270kWh'],[]
44,['Feb 20'],['916.228kWh'],['1.950kWh/kW'],['-'],['-'],['2.924kWh'],['67.830kWh'],['31.594kWh'],[]
45,['Jan 20'],['618.077kWh'],['1.231kWh/kW'],['-'],['-'],['3.149kWh'],['44.969kWh'],['19.937kWh'],[]
46,['Dec 19'],['466.129kWh'],['0.928kWh/kW'],['-'],['-'],['3.197kWh'],['43.907kWh'],['15.036kWh'],[]
47,['Nov 19'],['464.008kWh'],['0.955kWh/kW'],['-'],['-'],['2.253kWh'],['40.454kWh'],['15.466kWh'],[]
48,['Oct 19'],['1.012MWh'],['2.015kWh/kW'],['-'],['-'],['4.941kWh'],['67.790kWh'],['32.641kWh'],[]
49,['Sep 19'],['1.797MWh'],['3.698kWh/kW'],['-'],['-'],['13.550kWh'],['90.900kWh'],['59.904kWh'],[]
50,['Aug 19'],['2.082MWh'],['4.145kWh/kW'],['-'],['-'],['14.840kWh'],['95.030kWh'],['67.146kWh'],[]
51,['Jul 19'],['2.546MWh'],['5.070kWh/kW'],['-'],['-'],['23.620kWh'],['102.520kWh'],['82.135kWh'],[]
52,['Jun 19'],['2.438MWh'],['5.016kWh/kW'],['-'],['-'],['29.810kWh'],['106.860kWh'],['81.267kWh'],[]
53,['May 19'],['2.124MWh'],['4.230kWh/kW'],['-'],['-'],['16.400kWh'],['103.940kWh'],['68.521kWh'],[]
54,['Apr 19'],['1.733MWh'],['3.566kWh/kW'],['-'],['-'],['11.520kWh'],['97.840kWh'],['57.765kWh'],[]
55,['Mar 19'],['1.676MWh'],['3.337kWh/kW'],['-'],['-'],['8.010kWh'],['92.520kWh'],['54.061kWh'],[]
56,['Feb 19'],['1.244MWh'],['2.744kWh/kW'],['-'],['-'],['6.080kWh'],['72.050kWh'],['44.443kWh'],[]
57,['Jan 19'],['451.800kWh'],['0.900kWh/kW'],['-'],['-'],['0.780kWh'],['42.510kWh'],['14.574kWh'],[]
58,['Dec 18'],['176.440kWh'],['0.351kWh/kW'],['-'],['-'],['0.000kWh'],['41.890kWh'],['5.691kWh'],[]
59,['Nov 18'],['428.900kWh'],['0.882kWh/kW'],['-'],['-'],['3.000kWh'],['50.800kWh'],['14.296kWh'],[]
