,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['183.687kWh'],['3.780kWh/kW'],['-'],['-'],['51.364kWh'],['66.591kWh'],['61.229kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['459.390kWh'],['4.051kWh/kW'],['-'],['-'],['51.164kWh'],['78.714kWh'],['65.627kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['364.817kWh'],['3.217kWh/kW'],['-'],['-'],['17.720kWh'],['78.362kWh'],['52.116kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['420.974kWh'],['3.712kWh/kW'],['-'],['-'],['32.329kWh'],['77.373kWh'],['60.139kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['564.544kWh'],['4.978kWh/kW'],['-'],['-'],['76.051kWh'],['85.053kWh'],['80.649kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['362.081kWh'],['3.193kWh/kW'],['-'],['-'],['14.823kWh'],['82.985kWh'],['51.725kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['402.433kWh'],['3.549kWh/kW'],['-'],['-'],['16.485kWh'],['82.439kWh'],['57.490kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['562.453kWh'],['4.960kWh/kW'],['-'],['-'],['69.413kWh'],['86.999kWh'],['80.350kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['495.691kWh'],['4.371kWh/kW'],['-'],['-'],['44.677kWh'],['92.051kWh'],['70.813kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['408.433kWh'],['3.602kWh/kW'],['-'],['-'],['30.322kWh'],['77.493kWh'],['58.347kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['446.583kWh'],['3.938kWh/kW'],['-'],['-'],['38.315kWh'],['82.819kWh'],['63.797kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['592.085kWh'],['5.221kWh/kW'],['-'],['-'],['75.233kWh'],['96.616kWh'],['84.583kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['535.479kWh'],['4.722kWh/kW'],['-'],['-'],['59.065kWh'],['91.093kWh'],['76.497kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['546.771kWh'],['4.822kWh/kW'],['-'],['-'],['36.631kWh'],['97.340kWh'],['78.110kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['536.967kWh'],['4.735kWh/kW'],['-'],['-'],['45.031kWh'],['98.140kWh'],['76.709kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['554.319kWh'],['4.888kWh/kW'],['-'],['-'],['57.461kWh'],['100.112kWh'],['79.188kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['683.788kWh'],['6.030kWh/kW'],['-'],['-'],['91.127kWh'],['105.587kWh'],['97.684kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['673.925kWh'],['5.943kWh/kW'],['-'],['-'],['86.927kWh'],['100.184kWh'],['96.275kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['659.148kWh'],['5.813kWh/kW'],['-'],['-'],['66.149kWh'],['101.302kWh'],['94.164kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['557.966kWh'],['4.920kWh/kW'],['-'],['-'],['27.426kWh'],['100.972kWh'],['79.709kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['409.283kWh'],['3.609kWh/kW'],['-'],['-'],['30.582kWh'],['83.501kWh'],['58.469kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['325.836kWh'],['2.873kWh/kW'],['-'],['-'],['30.184kWh'],['56.883kWh'],['46.548kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['544.401kWh'],['4.801kWh/kW'],['-'],['-'],['42.980kWh'],['101.710kWh'],['77.771kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['409.605kWh'],['3.612kWh/kW'],['-'],['-'],['23.182kWh'],['78.660kWh'],['58.515kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['342.168kWh'],['3.017kWh/kW'],['-'],['-'],['14.733kWh'],['76.938kWh'],['48.881kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['337.561kWh'],['2.977kWh/kW'],['-'],['-'],['12.746kWh'],['87.320kWh'],['48.223kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['466.970kWh'],['4.118kWh/kW'],['-'],['-'],['26.374kWh'],['99.807kWh'],['66.710kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['318.271kWh'],['2.807kWh/kW'],['-'],['-'],['22.375kWh'],['85.364kWh'],['45.467kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['313.204kWh'],['2.762kWh/kW'],['-'],['-'],['11.760kWh'],['84.340kWh'],['44.743kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['433.046kWh'],['3.819kWh/kW'],['-'],['-'],['30.268kWh'],['79.725kWh'],['61.863kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['227.195kWh'],['2.004kWh/kW'],['-'],['-'],['15.566kWh'],['54.219kWh'],['32.456kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['225.501kWh'],['1.989kWh/kW'],['-'],['-'],['7.857kWh'],['71.171kWh'],['32.214kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['316.823kWh'],['2.794kWh/kW'],['-'],['-'],['8.426kWh'],['62.842kWh'],['45.260kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['192.923kWh'],['1.701kWh/kW'],['-'],['-'],['13.971kWh'],['49.141kWh'],['27.560kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['356.528kWh'],['3.144kWh/kW'],['-'],['-'],['29.099kWh'],['60.944kWh'],['50.932kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['129.432kWh'],['1.141kWh/kW'],['-'],['-'],['4.630kWh'],['37.818kWh'],['18.490kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['28.247kWh'],['0.249kWh/kW'],['-'],['-'],['1.774kWh'],['7.721kWh'],['4.035kWh'],['23/01/23 - 29/01/23']
37,['2023-03'],['116.796kWh'],['1.030kWh/kW'],['-'],['-'],['3.332kWh'],['34.093kWh'],['16.685kWh'],['16/01/23 - 22/01/23']
38,['2023-02'],['74.322kWh'],['0.655kWh/kW'],['-'],['-'],['3.794kWh'],['18.948kWh'],['10.617kWh'],['09/01/23 - 15/01/23']
39,['2023-01'],['78.625kWh'],['0.693kWh/kW'],['-'],['-'],['3.172kWh'],['22.776kWh'],['11.232kWh'],['02/01/23 - 08/01/23']
40,['2022-52'],['136.378kWh'],['1.202kWh/kW'],['-'],['-'],['4.310kWh'],['34.736kWh'],['19.482kWh'],['26/12/22 - 01/01/23']
41,['2022-51'],['63.465kWh'],['0.559kWh/kW'],['-'],['-'],['2.556kWh'],['20.533kWh'],['9.066kWh'],['19/12/22 - 25/12/22']
42,['2022-50'],['52.039kWh'],['0.459kWh/kW'],['-'],['-'],['1.336kWh'],['32.284kWh'],['7.434kWh'],['12/12/22 - 18/12/22']
43,['2022-49'],['44.898kWh'],['0.396kWh/kW'],['-'],['-'],['0.027kWh'],['16.818kWh'],['6.414kWh'],['05/12/22 - 11/12/22']
44,['2022-48'],['37.506kWh'],['0.331kWh/kW'],['-'],['-'],['2.742kWh'],['9.266kWh'],['5.358kWh'],['28/11/22 - 04/12/22']
