,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['23.273kWh'],['2.074kWh/kW'],['-'],['5.928kW'],['12:05PM'],['Fine'],,['Updated 14:09 UTC+2:00']
1,['03/10/23'],['31.775kWh'],['2.832kWh/kW'],['-'],['5.580kW'],['1:35PM'],['Fine'],,['Updated 00:21 UTC+2:00']
2,['02/10/23'],['35.183kWh'],['3.136kWh/kW'],['-'],['5.472kW'],['1:05PM'],['Fine'],,['Updated 00:17 UTC+2:00']
3,['01/10/23'],['35.133kWh'],['3.131kWh/kW'],['-'],['5.484kW'],['12:50PM'],['Fine'],,['Updated 00:28 UTC+2:00']
4,['30/09/23'],['34.017kWh'],['3.032kWh/kW'],['-'],['6.312kW'],['1:10PM'],['Partly Cloudy'],,['Updated 23:23 UTC+2:00']
5,['29/09/23'],['34.208kWh'],['3.049kWh/kW'],['-'],['6.096kW'],['2:05PM'],['Partly Cloudy'],,['Updated 00:19 UTC+2:00']
6,['28/09/23'],['34.751kWh'],['3.097kWh/kW'],['-'],['6.012kW'],['12:35PM'],['Partly Cloudy'],,['Updated 00:28 UTC+2:00']
7,['27/09/23'],['38.319kWh'],['3.415kWh/kW'],['-'],['5.904kW'],['12:50PM'],['Fine'],,['Updated 00:19 UTC+2:00']
8,['26/09/23'],['39.151kWh'],['3.489kWh/kW'],['-'],['5.964kW'],['12:55PM'],['Fine'],,['Updated 00:27 UTC+2:00']
9,['25/09/23'],['40.387kWh'],['3.600kWh/kW'],['-'],['6.180kW'],['1:05PM'],['Fine'],,['Updated 00:23 UTC+2:00']
10,['24/09/23'],['41.675kWh'],['3.714kWh/kW'],['-'],['6.528kW'],['1:10PM'],['Fine'],,['Updated 00:21 UTC+2:00']
11,['23/09/23'],['31.917kWh'],['2.845kWh/kW'],['-'],['6.852kW'],['1:20PM'],['Partly Cloudy'],,['Updated 00:18 UTC+2:00']
12,['22/09/23'],['37.550kWh'],['3.347kWh/kW'],['-'],['6.744kW'],['1:50PM'],['Fine'],,['Updated 00:29 UTC+2:00']
13,['21/09/23'],['24.636kWh'],['2.196kWh/kW'],['-'],['5.376kW'],['11:20AM'],['Partly Cloudy'],,['Updated 00:24 UTC+2:00']
14,['20/09/23'],['42.052kWh'],['3.748kWh/kW'],['-'],['6.468kW'],['1:10PM'],['Fine'],,['Updated 00:20 UTC+2:00']
15,['19/09/23'],['31.129kWh'],['2.774kWh/kW'],['-'],['7.092kW'],['12:50PM'],['Partly Cloudy'],,['Updated 00:15 UTC+2:00']
16,['18/09/23'],['6.615kWh'],['0.590kWh/kW'],['-'],['2.640kW'],['5:25PM'],['Showers'],,['Updated 00:26 UTC+2:00']
17,['17/09/23'],['36.128kWh'],['3.220kWh/kW'],['-'],['6.024kW'],['1:35PM'],['Partly Cloudy'],,['Updated 00:21 UTC+2:00']
18,['16/09/23'],['25.185kWh'],['2.245kWh/kW'],['-'],['6.228kW'],['12:05PM'],['Partly Cloudy'],,['Updated 00:18 UTC+2:00']
19,['15/09/23'],['28.744kWh'],['2.562kWh/kW'],['-'],['7.104kW'],['12:20PM'],['Partly Cloudy'],,['Updated 00:28 UTC+2:00']
20,['14/09/23'],['28.763kWh'],['2.564kWh/kW'],['-'],['7.332kW'],['12:10PM'],['Partly Cloudy'],,['Updated 00:24 UTC+2:00']
21,['13/09/23'],['13.981kWh'],['1.246kWh/kW'],['-'],['4.956kW'],['12:35PM'],['Cloudy'],,['Updated 00:20 UTC+2:00']
22,['12/09/23'],['41.280kWh'],['3.679kWh/kW'],['-'],['7.212kW'],['1:05PM'],['Fine'],,['Updated 00:17 UTC+2:00']
23,['11/09/23'],['42.017kWh'],['3.745kWh/kW'],['-'],['6.348kW'],['12:40PM'],['Fine'],,['Updated 00:19 UTC+2:00']
24,['10/09/23'],['43.161kWh'],['3.847kWh/kW'],['-'],['6.156kW'],['1:05PM'],['Fine'],,['Updated 00:29 UTC+2:00']
25,['09/09/23'],['43.907kWh'],['3.913kWh/kW'],['-'],['6.360kW'],['12:40PM'],['Fine'],,['Updated 00:25 UTC+2:00']
26,['08/09/23'],['43.973kWh'],['3.919kWh/kW'],['-'],['6.300kW'],['1:10PM'],['Fine'],,['Updated 00:21 UTC+2:00']
27,['07/09/23'],['44.194kWh'],['3.939kWh/kW'],['-'],['6.276kW'],['12:35PM'],['Fine'],,['Updated 00:16 UTC+2:00']
28,['06/09/23'],['45.222kWh'],['4.030kWh/kW'],['-'],['6.444kW'],['1:10PM'],['Fine'],,['Updated 00:27 UTC+2:00']
29,['05/09/23'],['45.601kWh'],['4.064kWh/kW'],['-'],['6.408kW'],['1:35PM'],['Fine'],,['Updated 00:24 UTC+2:00']
30,['04/09/23'],['46.385kWh'],['4.134kWh/kW'],['-'],['6.588kW'],['1:35PM'],['Fine'],,['Updated 00:20 UTC+2:00']
31,['03/09/23'],['46.583kWh'],['4.152kWh/kW'],['-'],['6.648kW'],['2:10PM'],['Fine'],,['Updated 00:28 UTC+2:00']
32,['02/09/23'],['47.470kWh'],['4.231kWh/kW'],['-'],['6.708kW'],['1:05PM'],['Fine'],,['Updated 00:25 UTC+2:00']
33,['01/09/23'],['49.960kWh'],['4.453kWh/kW'],['-'],['7.056kW'],['1:10PM'],['Fine'],,['Updated 00:21 UTC+2:00']
34,['31/08/23'],['29.451kWh'],['2.625kWh/kW'],['-'],['5.088kW'],['3:50PM'],['Partly Cloudy'],,['Updated 00:18 UTC+2:00']
35,['30/08/23'],['34.394kWh'],['3.065kWh/kW'],['-'],['7.308kW'],['1:40PM'],['Partly Cloudy'],,['Updated 00:27 UTC+2:00']
36,['29/08/23'],['31.434kWh'],['2.802kWh/kW'],['-'],['6.540kW'],['11:20AM'],['Partly Cloudy'],,['Updated 00:24 UTC+2:00']
37,['28/08/23'],['11.210kWh'],['0.999kWh/kW'],['-'],['2.748kW'],['12:40PM'],['Cloudy'],,['Updated 00:20 UTC+2:00']
38,['27/08/23'],['13.297kWh'],['1.185kWh/kW'],['-'],['4.644kW'],['12:50PM'],['Cloudy'],,['Updated 00:29 UTC+2:00']
39,['26/08/23'],['12.626kWh'],['1.125kWh/kW'],['-'],['4.728kW'],['3:05PM'],['Cloudy'],,['Updated 00:24 UTC+2:00']
40,['25/08/23'],['29.257kWh'],['2.608kWh/kW'],['-'],['5.448kW'],['2:55PM'],['Partly Cloudy'],,['Updated 00:21 UTC+2:00']
41,['24/08/23'],['46.299kWh'],['4.126kWh/kW'],['-'],['6.564kW'],['1:05PM'],['Fine'],,['Updated 00:18 UTC+2:00']
42,['23/08/23'],['47.573kWh'],['4.240kWh/kW'],['-'],['6.456kW'],['1:35PM'],['Fine'],,['Updated 00:28 UTC+2:00']
43,['22/08/23'],['45.159kWh'],['4.025kWh/kW'],['-'],['6.552kW'],['2:05PM'],['Fine'],,['Updated 00:25 UTC+2:00']
44,['21/08/23'],['48.630kWh'],['4.334kWh/kW'],['-'],['6.588kW'],['1:20PM'],['Fine'],,['Updated 00:20 UTC+2:00']
45,['20/08/23'],['49.056kWh'],['4.372kWh/kW'],['-'],['6.600kW'],['11:50AM'],['Fine'],,['Updated 00:16 UTC+2:00']
46,['19/08/23'],['48.161kWh'],['4.292kWh/kW'],['-'],['6.972kW'],['1:20PM'],['Fine'],,['Updated 00:28 UTC+2:00']
47,['18/08/23'],['50.198kWh'],['4.474kWh/kW'],['-'],['6.888kW'],['12:50PM'],['Fine'],,['Updated 00:26 UTC+2:00']
48,['17/08/23'],['34.729kWh'],['3.095kWh/kW'],['-'],['7.476kW'],['1:35PM'],['Partly Cloudy'],,['Updated 00:23 UTC+2:00']
