,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['125.364kWh'],['2.793kWh/kW'],['-'],"['0,00 CHF']",['23.273kWh'],['35.183kWh'],['31.341kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.109MWh'],['3.295kWh/kW'],['-'],"['0,00 CHF']",['6.615kWh'],['49.960kWh'],['36.965kWh'],[]
2,['Aug 23'],['1.256MWh'],['3.610kWh/kW'],['-'],"['0,00 CHF']",['11.210kWh'],['60.265kWh'],['40.506kWh'],[]
3,['Jul 23'],['1.530MWh'],['4.400kWh/kW'],['-'],"['0,00 CHF']",['26.801kWh'],['62.636kWh'],['49.370kWh'],[]
4,['Jun 23'],['1.680MWh'],['4.991kWh/kW'],['-'],"['0,00 CHF']",['20.977kWh'],['68.076kWh'],['56.004kWh'],[]
5,['May 23'],['1.408MWh'],['4.048kWh/kW'],['-'],"['0,00 CHF']",['15.853kWh'],['66.772kWh'],['45.423kWh'],[]
6,['Apr 23'],['998.723kWh'],['2.967kWh/kW'],['-'],"['0,00 CHF']",['6.768kWh'],['54.788kWh'],['33.290kWh'],[]
7,['Mar 23'],['840.043kWh'],['2.415kWh/kW'],['-'],"['0,00 CHF']",['7.561kWh'],['45.624kWh'],['27.098kWh'],[]
8,['Feb 23'],['616.442kWh'],['1.962kWh/kW'],['-'],"['0,00 CHF']",['3.957kWh'],['30.196kWh'],['22.015kWh'],[]
9,['Jan 23'],['111.243kWh'],['0.320kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['11.921kWh'],['3.588kWh'],[]
10,['Dec 22'],['134.776kWh'],['0.387kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['12.360kWh'],['4.347kWh'],[]
11,['Nov 22'],['340.699kWh'],['1.012kWh/kW'],['-'],"['0,00 CHF']",['3.107kWh'],['20.381kWh'],['11.356kWh'],[]
12,['Oct 22'],['692.491kWh'],['1.991kWh/kW'],['-'],"['0,00 CHF']",['1.953kWh'],['37.248kWh'],['22.338kWh'],[]
13,['Sep 22'],['996.127kWh'],['2.959kWh/kW'],['-'],"['0,00 CHF']",['8.417kWh'],['48.036kWh'],['33.204kWh'],[]
14,['Aug 22'],['1.446MWh'],['4.157kWh/kW'],['-'],"['0,00 CHF']",['19.546kWh'],['59.989kWh'],['46.638kWh'],[]
15,['Jul 22'],['1.806MWh'],['5.192kWh/kW'],['-'],"['0,00 CHF']",['26.428kWh'],['69.310kWh'],['58.249kWh'],[]
