,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['90.231kWh'],['2.681kWh/kW'],['-'],"['0,00 CHF']",['23.273kWh'],['35.183kWh'],['30.077kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['255.966kWh'],['3.259kWh/kW'],['-'],"['0,00 CHF']",['34.017kWh'],['40.387kWh'],['36.566kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['215.574kWh'],['2.745kWh/kW'],['-'],"['0,00 CHF']",['6.615kWh'],['42.052kWh'],['30.796kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['216.098kWh'],['2.752kWh/kW'],['-'],"['0,00 CHF']",['13.981kWh'],['42.017kWh'],['30.871kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['312.443kWh'],['3.978kWh/kW'],['-'],"['0,00 CHF']",['43.161kWh'],['46.385kWh'],['44.634kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['250.502kWh'],['3.190kWh/kW'],['-'],"['0,00 CHF']",['11.210kWh'],['49.960kWh'],['35.786kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['242.841kWh'],['3.092kWh/kW'],['-'],"['0,00 CHF']",['12.626kWh'],['48.630kWh'],['34.691kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['328.511kWh'],['4.183kWh/kW'],['-'],"['0,00 CHF']",['34.729kWh'],['52.830kWh'],['46.930kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['332.707kWh'],['4.236kWh/kW'],['-'],"['0,00 CHF']",['32.728kWh'],['54.445kWh'],['47.529kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['304.323kWh'],['3.875kWh/kW'],['-'],"['0,00 CHF']",['20.503kWh'],['60.265kWh'],['43.474kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['286.387kWh'],['3.646kWh/kW'],['-'],"['0,00 CHF']",['26.801kWh'],['54.745kWh'],['40.912kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['369.899kWh'],['4.710kWh/kW'],['-'],"['0,00 CHF']",['39.747kWh'],['62.090kWh'],['52.842kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['352.593kWh'],['4.489kWh/kW'],['-'],"['0,00 CHF']",['30.566kWh'],['62.636kWh'],['50.370kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['369.909kWh'],['4.710kWh/kW'],['-'],"['0,00 CHF']",['33.913kWh'],['60.192kWh'],['52.844kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['343.489kWh'],['4.373kWh/kW'],['-'],"['0,00 CHF']",['20.977kWh'],['63.406kWh'],['49.069kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['336.044kWh'],['4.279kWh/kW'],['-'],"['0,00 CHF']",['24.322kWh'],['67.604kWh'],['48.006kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['433.307kWh'],['5.517kWh/kW'],['-'],"['0,00 CHF']",['50.269kWh'],['68.076kWh'],['61.901kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['417.078kWh'],['5.310kWh/kW'],['-'],"['0,00 CHF']",['48.134kWh'],['67.187kWh'],['59.582kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['411.055kWh'],['5.234kWh/kW'],['-'],"['0,00 CHF']",['49.380kWh'],['66.772kWh'],['58.722kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['391.259kWh'],['4.982kWh/kW'],['-'],"['0,00 CHF']",['26.354kWh'],['65.482kWh'],['55.894kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['268.095kWh'],['3.413kWh/kW'],['-'],"['0,00 CHF']",['15.853kWh'],['59.099kWh'],['38.299kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['242.010kWh'],['3.081kWh/kW'],['-'],"['0,00 CHF']",['30.526kWh'],['39.204kWh'],['34.572kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['338.459kWh'],['4.309kWh/kW'],['-'],"['0,00 CHF']",['20.106kWh'],['63.128kWh'],['48.351kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['276.155kWh'],['3.516kWh/kW'],['-'],"['0,00 CHF']",['21.004kWh'],['53.421kWh'],['39.450kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['210.622kWh'],['2.682kWh/kW'],['-'],"['0,00 CHF']",['6.768kWh'],['45.057kWh'],['30.088kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['186.011kWh'],['2.368kWh/kW'],['-'],"['0,00 CHF']",['9.031kWh'],['49.654kWh'],['26.573kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['283.781kWh'],['3.613kWh/kW'],['-'],"['0,00 CHF']",['8.020kWh'],['54.788kWh'],['40.540kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['174.561kWh'],['2.223kWh/kW'],['-'],"['0,00 CHF']",['9.361kWh'],['44.939kWh'],['24.937kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['198.858kWh'],['2.532kWh/kW'],['-'],"['0,00 CHF']",['12.450kWh'],['45.624kWh'],['28.408kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['226.458kWh'],['2.884kWh/kW'],['-'],"['0,00 CHF']",['16.909kWh'],['42.263kWh'],['32.351kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['168.649kWh'],['2.147kWh/kW'],['-'],"['0,00 CHF']",['7.561kWh'],['33.424kWh'],['24.092kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['161.236kWh'],['2.053kWh/kW'],['-'],"['0,00 CHF']",['10.013kWh'],['36.591kWh'],['23.033kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['171.363kWh'],['2.182kWh/kW'],['-'],"['0,00 CHF']",['16.871kWh'],['30.196kWh'],['24.480kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['184.758kWh'],['2.352kWh/kW'],['-'],"['0,00 CHF']",['21.611kWh'],['28.324kWh'],['26.394kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['148.659kWh'],['1.893kWh/kW'],['-'],"['0,00 CHF']",['6.989kWh'],['26.912kWh'],['21.237kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['66.382kWh'],['0.845kWh/kW'],['-'],"['0,00 CHF']",['0.003kWh'],['22.423kWh'],['9.483kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['0.000kWh'],['0.000kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['0.000kWh'],['0.000kWh'],['23/01/23 - 29/01/23']
37,['2023-03'],['2.716kWh'],['0.035kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['2.716kWh'],['0.388kWh'],['16/01/23 - 22/01/23']
38,['2023-02'],['49.952kWh'],['0.636kWh/kW'],['-'],"['0,00 CHF']",['0.974kWh'],['11.921kWh'],['7.136kWh'],['09/01/23 - 15/01/23']
39,['2023-01'],['47.323kWh'],['0.602kWh/kW'],['-'],"['0,00 CHF']",['2.658kWh'],['11.740kWh'],['6.760kWh'],['02/01/23 - 08/01/23']
40,['2022-52'],['51.254kWh'],['0.653kWh/kW'],['-'],"['0,00 CHF']",['1.409kWh'],['11.401kWh'],['7.322kWh'],['26/12/22 - 01/01/23']
41,['2022-51'],['31.760kWh'],['0.404kWh/kW'],['-'],"['0,00 CHF']",['1.842kWh'],['8.004kWh'],['4.537kWh'],['19/12/22 - 25/12/22']
42,['2022-50'],['4.455kWh'],['0.057kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['2.718kWh'],['0.636kWh'],['12/12/22 - 18/12/22']
43,['2022-49'],['34.950kWh'],['0.445kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['12.360kWh'],['4.992kWh'],['05/12/22 - 11/12/22']
44,['2022-48'],['36.663kWh'],['0.467kWh/kW'],['-'],"['0,00 CHF']",['1.638kWh'],['9.470kWh'],['5.237kWh'],['28/11/22 - 04/12/22']
45,['2022-47'],['80.587kWh'],['1.026kWh/kW'],['-'],"['0,00 CHF']",['8.134kWh'],['13.955kWh'],['11.512kWh'],['21/11/22 - 27/11/22']
46,['2022-46'],['76.594kWh'],['0.975kWh/kW'],['-'],"['0,00 CHF']",['5.449kWh'],['16.884kWh'],['10.942kWh'],['14/11/22 - 20/11/22']
47,['2022-45'],['90.296kWh'],['1.150kWh/kW'],['-'],"['0,00 CHF']",['3.107kWh'],['20.381kWh'],['12.899kWh'],['07/11/22 - 13/11/22']
48,['2022-44'],['97.363kWh'],['1.240kWh/kW'],['-'],"['0,00 CHF']",['8.303kWh'],['19.480kWh'],['13.909kWh'],['31/10/22 - 06/11/22']
49,['2022-43'],['138.995kWh'],['1.770kWh/kW'],['-'],"['0,00 CHF']",['1.953kWh'],['24.785kWh'],['19.856kWh'],['24/10/22 - 30/10/22']
50,['2022-42'],['147.742kWh'],['1.881kWh/kW'],['-'],"['0,00 CHF']",['7.873kWh'],['28.246kWh'],['21.106kWh'],['17/10/22 - 23/10/22']
51,['2022-41'],['162.353kWh'],['2.067kWh/kW'],['-'],"['0,00 CHF']",['14.766kWh'],['30.858kWh'],['23.193kWh'],['10/10/22 - 16/10/22']
52,['2022-40'],['182.917kWh'],['2.329kWh/kW'],['-'],"['0,00 CHF']",['10.611kWh'],['37.248kWh'],['26.131kWh'],['03/10/22 - 09/10/22']
53,['2022-39'],['126.208kWh'],['1.607kWh/kW'],['-'],"['0,00 CHF']",['8.417kWh'],['29.090kWh'],['18.029kWh'],['26/09/22 - 02/10/22']
54,['2022-38'],['252.535kWh'],['3.215kWh/kW'],['-'],"['0,00 CHF']",['14.733kWh'],['45.473kWh'],['36.076kWh'],['19/09/22 - 25/09/22']
