,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['17.919kWh'],['1.493kWh/kW'],['5.271kWh'],['4.063kW'],['1:05PM'],['Fine'],,['Updated 13:57 UTC+2:00']
1,['03/10/23'],['27.636kWh'],['2.303kWh/kW'],['4.806kWh'],['4.601kW'],['12:05PM'],['Fine'],,['Updated 00:40 UTC+2:00']
2,['02/10/23'],['31.017kWh'],['2.585kWh/kW'],['13.689kWh'],['3.982kW'],['1:35PM'],['Fine'],,['Updated 00:34 UTC+2:00']
3,['01/10/23'],['29.802kWh'],['2.484kWh/kW'],['2.022kWh'],['4.044kW'],['1:35PM'],['Fine'],,['Updated 00:15 UTC+2:00']
4,['30/09/23'],['25.461kWh'],['2.122kWh/kW'],['5.478kWh'],['4.367kW'],['1:35PM'],['Partly Cloudy'],,['Updated 23:40 UTC+2:00']
5,['29/09/23'],['31.812kWh'],['2.651kWh/kW'],['20.391kWh'],['4.083kW'],['2:20PM'],['Fine'],,['Updated 00:35 UTC+2:00']
6,['28/09/23'],['32.736kWh'],['2.728kWh/kW'],['21.159kWh'],['4.278kW'],['1:35PM'],['Fine'],,['Updated 00:32 UTC+2:00']
7,['27/09/23'],['35.253kWh'],['2.938kWh/kW'],['29.814kWh'],['4.906kW'],['12:50PM'],['Fine'],,['Updated 00:38 UTC+2:00']
8,['26/09/23'],['37.419kWh'],['3.118kWh/kW'],['21.075kWh'],['4.398kW'],['1:20PM'],['Fine'],,['Updated 00:31 UTC+2:00']
9,['25/09/23'],['38.520kWh'],['3.210kWh/kW'],['9.771kWh'],['4.449kW'],['1:35PM'],['Fine'],,['Updated 00:11 UTC+2:00']
10,['24/09/23'],['34.920kWh'],['2.910kWh/kW'],['9.081kWh'],['4.955kW'],['11:50AM'],['Fine'],,['Updated 00:38 UTC+2:00']
11,['23/09/23'],['20.763kWh'],['1.730kWh/kW'],['9.861kWh'],['4.910kW'],['2:50PM'],['Partly Cloudy'],,['Updated 00:33 UTC+2:00']
12,['22/09/23'],['22.812kWh'],['1.901kWh/kW'],['16.506kWh'],['5.739kW'],['2:50PM'],['Partly Cloudy'],,['Updated 00:12 UTC+2:00']
13,['21/09/23'],['23.337kWh'],['1.945kWh/kW'],['18.117kWh'],['4.644kW'],['12:50PM'],['Partly Cloudy'],,['Updated 00:37 UTC+2:00']
14,['20/09/23'],['40.161kWh'],['3.347kWh/kW'],['26.841kWh'],['4.607kW'],['1:35PM'],['Fine'],,['Updated 00:31 UTC+2:00']
15,['19/09/23'],['31.839kWh'],['2.653kWh/kW'],['26.514kWh'],['5.684kW'],['12:35PM'],['Fine'],,['Updated 00:11 UTC+2:00']
16,['18/09/23'],['12.882kWh'],['1.074kWh/kW'],['8.682kWh'],['3.210kW'],['3:20PM'],['Mostly Cloudy'],,['Updated 00:37 UTC+2:00']
17,['17/09/23'],['35.529kWh'],['2.961kWh/kW'],['12.864kWh'],['4.703kW'],['1:35PM'],['Fine'],,['Updated 00:33 UTC+2:00']
18,['16/09/23'],['31.083kWh'],['2.590kWh/kW'],['3.732kWh'],['4.731kW'],['12:50PM'],['Fine'],,['Updated 00:13 UTC+2:00']
19,['15/09/23'],['31.587kWh'],['2.632kWh/kW'],['11.496kWh'],['5.191kW'],['3:50PM'],['Fine'],,['Updated 00:40 UTC+2:00']
20,['14/09/23'],['20.598kWh'],['1.717kWh/kW'],['11.628kWh'],['5.437kW'],['12:50PM'],['Partly Cloudy'],,['Updated 00:36 UTC+2:00']
21,['13/09/23'],['16.194kWh'],['1.350kWh/kW'],['7.293kWh'],['4.047kW'],['11:35AM'],['Mostly Cloudy'],,['Updated 00:30 UTC+2:00']
22,['12/09/23'],['31.251kWh'],['2.604kWh/kW'],['26.133kWh'],['4.842kW'],['1:20PM'],['Fine'],,['Updated 00:39 UTC+2:00']
23,['11/09/23'],['41.676kWh'],['3.473kWh/kW'],['25.977kWh'],['4.674kW'],['1:35PM'],['Fine'],,['Updated 00:37 UTC+2:00']
24,['10/09/23'],['41.385kWh'],['3.449kWh/kW'],['13.626kWh'],['4.782kW'],['1:05PM'],['Fine'],,['Updated 00:32 UTC+2:00']
25,['09/09/23'],['40.521kWh'],['3.377kWh/kW'],['30.201kWh'],['4.972kW'],['2:35PM'],['Fine'],,['Updated 00:10 UTC+2:00']
26,['08/09/23'],['41.982kWh'],['3.499kWh/kW'],['22.014kWh'],['4.837kW'],['1:35PM'],['Fine'],,['Updated 00:34 UTC+2:00']
27,['07/09/23'],['42.723kWh'],['3.560kWh/kW'],['36.450kWh'],['4.767kW'],['1:20PM'],['Fine'],,['Updated 00:14 UTC+2:00']
28,['06/09/23'],['45.606kWh'],['3.801kWh/kW'],['36.621kWh'],['5.006kW'],['1:35PM'],['Fine'],,['Updated 00:39 UTC+2:00']
29,['05/09/23'],['46.383kWh'],['3.865kWh/kW'],['22.569kWh'],['5.007kW'],['1:20PM'],['Fine'],,['Updated 00:34 UTC+2:00']
30,['04/09/23'],['46.155kWh'],['3.846kWh/kW'],['29.778kWh'],['5.063kW'],['1:35PM'],['Fine'],,['Updated 00:14 UTC+2:00']
31,['03/09/23'],['37.854kWh'],['3.155kWh/kW'],['14.796kWh'],['5.242kW'],['1:20PM'],['Fine'],,['Updated 00:11 UTC+2:00']
