,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['106.374kWh'],['2.216kWh/kW'],['25.788kWh'],"['4,98 CHF']",['17.919kWh'],['31.017kWh'],['26.593kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.027MWh'],['2.853kWh/kW'],['555.720kWh'],"['103,63 CHF']",['12.882kWh'],['46.383kWh'],['34.229kWh'],[]
2,['Aug 23'],['1.106MWh'],['2.972kWh/kW'],['710.517kWh'],"['132,32 CHF']",['8.778kWh'],['60.657kWh'],['35.663kWh'],[]
3,['Jul 23'],['1.380MWh'],['3.709kWh/kW'],['1.011MWh'],"['178,21 CHF']",['18.543kWh'],['61.083kWh'],['44.507kWh'],[]
4,['Jun 23'],['1.608MWh'],['4.467kWh/kW'],['1.130MWh'],"['201,29 CHF']",['18.213kWh'],['64.233kWh'],['53.600kWh'],[]
5,['May 23'],['1.188MWh'],['3.194kWh/kW'],['729.756kWh'],"['133,34 CHF']",['9.924kWh'],['62.733kWh'],['38.330kWh'],[]
6,['Apr 23'],['922.836kWh'],['2.563kWh/kW'],['465.192kWh'],"['83,72 CHF']",['6.681kWh'],['54.423kWh'],['30.761kWh'],[]
7,['Mar 23'],['673.599kWh'],['1.811kWh/kW'],['349.560kWh'],"['63,81 CHF']",['2.955kWh'],['43.134kWh'],['21.729kWh'],[]
8,['Feb 23'],['429.120kWh'],['1.277kWh/kW'],['243.441kWh'],"['44,92 CHF']",['3.042kWh'],['27.132kWh'],['15.325kWh'],[]
9,['Jan 23'],['172.473kWh'],['0.464kWh/kW'],['87.471kWh'],"['16,32 CHF']",['0.612kWh'],['14.472kWh'],['5.563kWh'],[]
10,['Dec 22'],['86.550kWh'],['0.233kWh/kW'],['41.109kWh'],"['8,22 CHF']",['0.000kWh'],['11.694kWh'],['2.791kWh'],[]
11,['Nov 22'],['258.354kWh'],['0.718kWh/kW'],['143.664kWh'],"['27,19 CHF']",['1.245kWh'],['17.610kWh'],['8.611kWh'],[]
12,['Oct 22'],['517.695kWh'],['1.392kWh/kW'],['224.157kWh'],"['40,35 CHF']",['3.543kWh'],['32.253kWh'],['16.699kWh'],[]
13,['Sep 22'],['815.166kWh'],['2.264kWh/kW'],['316.665kWh'],"['58,35 CHF']",['6.432kWh'],['41.910kWh'],['27.172kWh'],[]
14,['Aug 22'],['1.313MWh'],['3.530kWh/kW'],['693.579kWh'],"['131,44 CHF']",['4.431kWh'],['58.062kWh'],['42.358kWh'],[]
15,['Jul 22'],['1.639MWh'],['4.406kWh/kW'],['1.031MWh'],"['183,88 CHF']",['22.704kWh'],['65.418kWh'],['52.868kWh'],[]
16,['Jun 22'],['1.460MWh'],['4.055kWh/kW'],['853.257kWh'],"['152,00 CHF']",['19.113kWh'],['68.241kWh'],['48.652kWh'],[]
17,['May 22'],['1.432MWh'],['3.848kWh/kW'],['795.615kWh'],"['142,46 CHF']",['13.785kWh'],['67.767kWh'],['46.180kWh'],[]
18,['Apr 22'],['1.118MWh'],['3.104kWh/kW'],['593.445kWh'],"['112,48 CHF']",['2.292kWh'],['59.457kWh'],['37.252kWh'],[]
19,['Mar 22'],['995.196kWh'],['2.675kWh/kW'],['423.111kWh'],"['78,35 CHF']",['4.563kWh'],['42.348kWh'],['32.103kWh'],[]
20,['Feb 22'],['494.352kWh'],['1.471kWh/kW'],['316.206kWh'],"['54,59 CHF']",['2.664kWh'],['33.984kWh'],['17.655kWh'],[]
21,['Jan 22'],['298.578kWh'],['0.803kWh/kW'],['171.042kWh'],"['30,40 CHF']",['1.623kWh'],['18.315kWh'],['9.631kWh'],[]
22,['Dec 21'],['155.680kWh'],['0.419kWh/kW'],['74.658kWh'],"['13,96 CHF']",['0.786kWh'],['13.374kWh'],['5.021kWh'],[]
23,['Nov 21'],['189.936kWh'],['0.528kWh/kW'],['97.194kWh'],"['17,28 CHF']",['0.042kWh'],['18.780kWh'],['6.331kWh'],[]
24,['Oct 21'],['577.422kWh'],['1.552kWh/kW'],['306.153kWh'],"['54,34 CHF']",['3.009kWh'],['34.821kWh'],['18.626kWh'],[]
25,['Sep 21'],['967.455kWh'],['2.687kWh/kW'],['449.634kWh'],"['83,26 CHF']",['6.399kWh'],['48.708kWh'],['32.248kWh'],[]
26,['Aug 21'],['1.062MWh'],['2.854kWh/kW'],['558.276kWh'],"['102,92 CHF']",['10.830kWh'],['55.122kWh'],['34.249kWh'],[]
27,['Jul 21'],['1.212MWh'],['3.258kWh/kW'],['627.396kWh'],"['115,34 CHF']",['13.884kWh'],['60.522kWh'],['39.095kWh'],[]
28,['Jun 21'],['1.456MWh'],['4.046kWh/kW'],['806.886kWh'],"['147,68 CHF']",['15.081kWh'],['68.382kWh'],['48.548kWh'],[]
