,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['76.572kWh'],['2.127kWh/kW'],['23.766kWh'],"['4,75 CHF']",['17.919kWh'],['31.017kWh'],['25.524kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['231.003kWh'],['2.750kWh/kW'],['109.710kWh'],"['21,50 CHF']",['25.461kWh'],['38.520kWh'],['33.000kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['186.714kWh'],['2.223kWh/kW'],['115.602kWh'],"['21,63 CHF']",['12.882kWh'],['40.161kWh'],['26.673kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['207.918kWh'],['2.475kWh/kW'],['99.123kWh'],"['18,39 CHF']",['16.194kWh'],['41.676kWh'],['29.702kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['304.755kWh'],['3.628kWh/kW'],['191.259kWh'],"['35,68 CHF']",['40.521kWh'],['46.383kWh'],['43.536kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['199.299kWh'],['2.373kWh/kW'],['90.381kWh'],"['16,32 CHF']",['8.778kWh'],['45.132kWh'],['28.471kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['226.431kWh'],['2.696kWh/kW'],['146.790kWh'],"['28,67 CHF']",['11.127kWh'],['47.394kWh'],['32.347kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['302.595kWh'],['3.602kWh/kW'],['177.939kWh'],"['31,49 CHF']",['32.730kWh'],['48.912kWh'],['43.227kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['286.275kWh'],['3.408kWh/kW'],['218.298kWh'],"['39,47 CHF']",['24.684kWh'],['52.962kWh'],['40.896kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['262.374kWh'],['3.124kWh/kW'],['153.030kWh'],"['29,80 CHF']",['24.549kWh'],['60.657kWh'],['37.482kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['254.604kWh'],['3.031kWh/kW'],['212.301kWh'],"['38,80 CHF']",['26.220kWh'],['50.607kWh'],['36.372kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['336.702kWh'],['4.008kWh/kW'],['308.376kWh'],"['54,87 CHF']",['33.027kWh'],['55.908kWh'],['48.100kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['311.706kWh'],['3.711kWh/kW'],['202.542kWh'],"['34,88 CHF']",['18.543kWh'],['59.802kWh'],['44.529kWh'],['10/07/23 - 16/07/23']
