,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023'],['8.613MWh'],['2.591kWh/kW'],['5.308MWh'],"['962,54 CHF']",['0.612kWh'],['64.233kWh'],['31.093kWh'],['Partial Year (277 days)']
1,['2022'],['10.427MWh'],['2.381kWh/kW'],['5.603MWh'],"[""1'019,71 CHF""]",['0.000kWh'],['68.241kWh'],['28.566kWh'],[]
2,['2021'],['9.561MWh'],['2.183kWh/kW'],['4.719MWh'],"['857,02 CHF']",['0.000kWh'],['70.638kWh'],['26.194kWh'],[]
3,['2020'],['9.878MWh'],['2.287kWh/kW'],['4.802MWh'],"['873,61 CHF']",['0.282kWh'],['68.106kWh'],['27.439kWh'],['Partial Year (360 days)']
4,['2019'],['10.029MWh'],['2.290kWh/kW'],['5.912MWh'],"[""1'076,17 CHF""]",['0.000kWh'],['68.811kWh'],['27.475kWh'],[]
5,['2018'],['10.131MWh'],['2.313kWh/kW'],['6.752MWh'],"[""1'219,82 CHF""]",['0.009kWh'],['66.159kWh'],['27.757kWh'],[]
6,['2017'],['8.985MWh'],['2.051kWh/kW'],['6.336MWh'],"[""1'144,32 CHF""]",['0.000kWh'],['68.433kWh'],['24.617kWh'],[]
7,['2016'],['9.319MWh'],['2.139kWh/kW'],['4.006MWh'],"['729,11 CHF']",['0.005kWh'],['66.096kWh'],['25.672kWh'],['Partial Year (363 days)']
8,['2015'],['10.078MWh'],['2.301kWh/kW'],['0.000kWh'],"['0,00 CHF']",['0.000kWh'],['70.253kWh'],['27.611kWh'],[]
9,['2014'],['7.836MWh'],['2.492kWh/kW'],['2.795MWh'],"['499,48 CHF']",['0.000kWh'],['70.472kWh'],['29.907kWh'],['Partial Year (262 days)']
