,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['20.806kWh'],['1.926kWh/kW'],['-'],['5.908kW'],['12:25PM'],['Cloudy'],,['Updated 14:11 UTC+2:00']
1,['03/10/23'],['35.014kWh'],['3.242kWh/kW'],['-'],['6.741kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 23:47 UTC+2:00']
2,['02/10/23'],['43.643kWh'],['4.041kWh/kW'],['-'],['6.469kW'],['12:35PM'],['Partly Cloudy'],,['Updated 23:54 UTC+2:00']
3,['01/10/23'],['43.730kWh'],['4.049kWh/kW'],['-'],['6.423kW'],['12:30PM'],['Partly Cloudy'],,['Updated 23:47 UTC+2:00']
4,['30/09/23'],['41.493kWh'],['3.842kWh/kW'],['-'],['6.351kW'],['12:40PM'],['Mostly Cloudy'],,['Updated 22:57 UTC+2:00']
5,['29/09/23'],['42.572kWh'],['3.942kWh/kW'],['-'],['6.416kW'],['12:25PM'],['Mostly Cloudy'],,['Updated 23:54 UTC+2:00']
6,['28/09/23'],['41.427kWh'],['3.836kWh/kW'],['-'],['6.334kW'],['12:10PM'],['Mostly Cloudy'],,['Updated 23:49 UTC+2:00']
7,['27/09/23'],['45.637kWh'],['4.226kWh/kW'],['-'],['6.619kW'],['12:20PM'],['Partly Cloudy'],,['Updated 23:51 UTC+2:00']
8,['26/09/23'],['47.193kWh'],['4.370kWh/kW'],['-'],['6.790kW'],['12:40PM'],['Partly Cloudy'],,['Updated 23:43 UTC+2:00']
9,['25/09/23'],['48.535kWh'],['4.494kWh/kW'],['-'],['6.945kW'],['12:40PM'],['Partly Cloudy'],,['Updated 23:48 UTC+2:00']
10,['24/09/23'],['49.130kWh'],['4.549kWh/kW'],['-'],['7.032kW'],['12:45PM'],['Partly Cloudy'],,['Updated 23:49 UTC+2:00']
11,['23/09/23'],['45.415kWh'],['4.205kWh/kW'],['-'],['7.599kW'],['12:55PM'],['Partly Cloudy'],,['Updated 23:54 UTC+2:00']
12,['22/09/23'],['38.605kWh'],['3.575kWh/kW'],['-'],['7.563kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 23:47 UTC+2:00']
13,['21/09/23'],['35.755kWh'],['3.311kWh/kW'],['-'],['7.189kW'],['11:25AM'],['Mostly Cloudy'],,['Updated 23:56 UTC+2:00']
14,['20/09/23'],['43.244kWh'],['4.004kWh/kW'],['-'],['7.890kW'],['12:35PM'],['Partly Cloudy'],,['Updated 23:53 UTC+2:00']
