,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['143.193kWh'],['3.314kWh/kW'],['-'],"['0,00 CHF']",['20.806kWh'],['43.730kWh'],['35.798kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.310MWh'],['4.042kWh/kW'],['-'],"['0,00 CHF']",['9.559kWh'],['55.593kWh'],['43.652kWh'],[]
2,['Aug 23'],['1.455MWh'],['4.346kWh/kW'],['-'],"['0,00 CHF']",['15.712kWh'],['67.205kWh'],['46.936kWh'],[]
3,['Jul 23'],['1.711MWh'],['5.111kWh/kW'],['-'],"['0,00 CHF']",['15.015kWh'],['69.574kWh'],['55.195kWh'],[]
4,['Jun 23'],['1.744MWh'],['5.382kWh/kW'],['-'],"['0,00 CHF']",['21.331kWh'],['70.855kWh'],['58.129kWh'],[]
5,['May 23'],['1.622MWh'],['4.844kWh/kW'],['-'],"['0,00 CHF']",['13.562kWh'],['68.881kWh'],['52.313kWh'],[]
6,['Apr 23'],['1.270MWh'],['3.921kWh/kW'],['-'],"['0,00 CHF']",['2.176kWh'],['64.578kWh'],['42.345kWh'],[]
7,['Mar 23'],['946.245kWh'],['2.826kWh/kW'],['-'],"['0,00 CHF']",['1.060kWh'],['52.636kWh'],['30.524kWh'],[]
8,['Feb 23'],['778.610kWh'],['2.575kWh/kW'],['-'],"['0,00 CHF']",['0.288kWh'],['40.870kWh'],['27.807kWh'],[]
9,['Jan 23'],['135.882kWh'],['0.466kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['21.311kWh'],['5.032kWh'],['Partial Month (27 days)']
10,['Dec 22'],['284.080kWh'],['0.877kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['22.202kWh'],['9.469kWh'],['Partial Month (30 days)']
11,['Nov 22'],['525.219kWh'],['1.621kWh/kW'],['-'],"['0,00 CHF']",['1.246kWh'],['28.855kWh'],['17.507kWh'],[]
12,['Oct 22'],['844.023kWh'],['2.521kWh/kW'],['-'],"['0,00 CHF']",['5.708kWh'],['44.771kWh'],['27.226kWh'],[]
13,['Sep 22'],['1.039MWh'],['3.206kWh/kW'],['-'],"['0,00 CHF']",['13.694kWh'],['52.522kWh'],['34.624kWh'],[]
14,['Aug 22'],['1.256MWh'],['3.751kWh/kW'],['-'],"['0,00 CHF']",['15.144kWh'],['51.470kWh'],['40.508kWh'],[]
15,['Jul 22'],['1.461MWh'],['4.364kWh/kW'],['-'],"['0,00 CHF']",['21.150kWh'],['60.974kWh'],['47.135kWh'],[]
16,['Jun 22'],['1.280MWh'],['3.950kWh/kW'],['-'],"['0,00 CHF']",['4.514kWh'],['62.561kWh'],['42.662kWh'],[]
17,['May 22'],['1.451MWh'],['4.333kWh/kW'],['-'],"['0,00 CHF']",['7.012kWh'],['62.073kWh'],['46.794kWh'],[]
18,['Apr 22'],['1.316MWh'],['4.062kWh/kW'],['-'],"['0,00 CHF']",['9.577kWh'],['61.191kWh'],['43.869kWh'],[]
19,['Mar 22'],['1.282MWh'],['3.830kWh/kW'],['-'],"['0,00 CHF']",['16.434kWh'],['48.676kWh'],['41.366kWh'],[]
20,['Feb 22'],['611.082kWh'],['2.021kWh/kW'],['-'],"['0,00 CHF']",['0.227kWh'],['43.948kWh'],['21.824kWh'],[]
21,['Jan 22'],['256.596kWh'],['0.990kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['28.673kWh'],['10.691kWh'],['Partial Month (24 days)']
22,['Dec 21'],['82.381kWh'],['0.587kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['19.951kWh'],['6.337kWh'],['Partial Month (13 days)']
23,['Nov 21'],['522.484kWh'],['1.613kWh/kW'],['-'],"['0,00 CHF']",['0.481kWh'],['31.228kWh'],['17.416kWh'],[]
24,['Oct 21'],['1.002MWh'],['2.992kWh/kW'],['-'],"['0,00 CHF']",['4.173kWh'],['44.783kWh'],['32.317kWh'],[]
25,['Sep 21'],['1.223MWh'],['3.776kWh/kW'],['-'],"['0,00 CHF']",['12.527kWh'],['55.998kWh'],['40.776kWh'],[]
26,['Aug 21'],['1.594MWh'],['4.761kWh/kW'],['-'],"['0,00 CHF']",['18.501kWh'],['66.358kWh'],['51.413kWh'],[]
