,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['99.463kWh'],['3.070kWh/kW'],['-'],"['0,00 CHF']",['20.806kWh'],['43.643kWh'],['33.154kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['310.587kWh'],['4.108kWh/kW'],['-'],"['0,00 CHF']",['41.427kWh'],['48.535kWh'],['44.369kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['255.018kWh'],['3.373kWh/kW'],['-'],"['0,00 CHF']",['9.559kWh'],['49.130kWh'],['36.431kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['264.001kWh'],['3.492kWh/kW'],['-'],"['0,00 CHF']",['13.259kWh'],['50.421kWh'],['37.714kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['363.663kWh'],['4.810kWh/kW'],['-'],"['0,00 CHF']",['50.622kWh'],['53.246kWh'],['51.951kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['274.709kWh'],['3.634kWh/kW'],['-'],"['0,00 CHF']",['15.712kWh'],['55.593kWh'],['39.244kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['298.720kWh'],['3.951kWh/kW'],['-'],"['0,00 CHF']",['18.921kWh'],['56.378kWh'],['42.674kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['362.590kWh'],['4.796kWh/kW'],['-'],"['0,00 CHF']",['30.291kWh'],['60.875kWh'],['51.798kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['361.342kWh'],['4.780kWh/kW'],['-'],"['0,00 CHF']",['42.430kWh'],['60.696kWh'],['51.620kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['380.752kWh'],['5.036kWh/kW'],['-'],"['0,00 CHF']",['36.667kWh'],['67.205kWh'],['54.393kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['282.267kWh'],['3.734kWh/kW'],['-'],"['0,00 CHF']",['15.015kWh'],['57.354kWh'],['40.323kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['419.933kWh'],['5.555kWh/kW'],['-'],"['0,00 CHF']",['54.678kWh'],['65.246kWh'],['59.990kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['400.584kWh'],['5.299kWh/kW'],['-'],"['0,00 CHF']",['46.368kWh'],['65.337kWh'],['57.226kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['443.792kWh'],['5.870kWh/kW'],['-'],"['0,00 CHF']",['54.600kWh'],['69.574kWh'],['63.398kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['366.616kWh'],['4.849kWh/kW'],['-'],"['0,00 CHF']",['27.282kWh'],['67.165kWh'],['52.373kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['376.747kWh'],['4.983kWh/kW'],['-'],"['0,00 CHF']",['21.331kWh'],['68.411kWh'],['53.821kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['427.226kWh'],['5.651kWh/kW'],['-'],"['0,00 CHF']",['43.084kWh'],['68.802kWh'],['61.032kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['425.476kWh'],['5.628kWh/kW'],['-'],"['0,00 CHF']",['26.872kWh'],['70.855kWh'],['60.782kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['438.485kWh'],['5.800kWh/kW'],['-'],"['0,00 CHF']",['56.387kWh'],['67.026kWh'],['62.640kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['414.635kWh'],['5.485kWh/kW'],['-'],"['0,00 CHF']",['39.819kWh'],['68.881kWh'],['59.233kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['375.550kWh'],['4.968kWh/kW'],['-'],"['0,00 CHF']",['45.452kWh'],['64.899kWh'],['53.650kWh'],['15/05/23 - 21/05/23']
