,country,name,sid,id
0,thailand,FRECON-Multifiber,43488,47722
1,thailand,FRECON-APY_RoofTop#2,32225,35195
2,thailand,FRECON-HeatLava,47085,51787
3,thailand,Honda R&D Southeast Asia,33233,36310
4,thailand,FRECON-APY_RoofTop#1,26333,18050
5,thailand,ugisolar1,56822,63897
6,thailand,TPP Solar,73277,82654
7,thailand,FRECON-CWC,50635,55888
8,thailand,Science Building,40613,44494
9,thailand,Solar D Home - Achawin,38800,42489
10,thailand,HKT0,43282,44403
11,thailand,Honda R&D Southeast Asia 2,34003,36310
12,thailand,Solar D Home - Nuttacom,26929,29403
13,thailand,Nong Yong,77165,87000
14,thailand,Point IT Consulting,69483,78369
15,thailand,FRECON_10462020004PV,66684,75209
16,thailand,Bsq 600-69,44333,48686
17,thailand,Thaipowertech,33923,37082
18,thailand,FRECON_10462030005PV,66685,75210
19,thailand,FRECON-Porntichapong,41289,45258
20,thailand,FRECON-Woravit,48506,53321
21,thailand,Solar D - Prempracha,33622,36772
22,thailand,FRECON_10462020003PV,66683,75208
23,thailand,Solar D Home - Chaiwat 2,35924,34233
24,thailand,Solar D Home - Sakchai,26913,29380
25,thailand,FRECON-2014010012,26684,29129
26,thailand,FRECON-Worawut [BangBon],84570,95904
27,thailand,FRECON-2014010011,26683,29128
28,thailand,FRECON-2014010013,26685,29130
29,thailand,Solar D Home - Sumrit,25775,24553
30,thailand,FRECON-APY_RoofTop#2,32225,35195
31,thailand,FRECON-HeatLava,47085,51787
32,thailand,Honda R&D Southeast Asia,33233,36310
33,thailand,FRECON-APY_RoofTop#1,26333,18050
