,country,name,sid,id
0,ukraine,Куяновка,72282,77200
1,ukraine,topaz,71152,77200
2,ukraine,iv-pishchane,80776,88268
3,ukraine,sinitsa-solis,74316,77200
4,ukraine,MOHR1-4 (Hutzan),77586,87508
5,ukraine,Волков,68459,77200
6,ukraine,MOHR1-5 (Korchak),77587,87508
7,ukraine,MOHR-1-3 (Sidak),77409,77200
8,ukraine,MOHR-1-1 (Nikanorov),77407,77200
9,ukraine,Flash_home,82939,93940
10,ukraine,MOHR-1-2 (Rubanenko),77408,77200
11,ukraine,MOHR2-6 (SinitsaAA),78439,88268
12,ukraine,MOHR1-6 (Klochko S),77588,87508
13,ukraine,MOHR2-7 (Hutzan),78440,88268
14,ukraine,MOHR2-3 (Sinitsa),77593,87508
15,ukraine,MOHR2-4 (Gavrilenko),77591,87508
16,ukraine,MOHR2-11 (Sidak),78445,88268
17,ukraine,MOHR2-8 (GorlachD),78441,88268
18,ukraine,MOHR2-5 (Bugaiova),78438,87508
19,ukraine,MOHR2-1 (Horlach),77589,87508
20,ukraine,rybytsya,82828,93808
21,ukraine,MOHR2-2 (Klochko O),77590,87508
22,ukraine,rybytsya-2,83993,93808
23,ukraine,MOHR1-7 (Gorban),78437,87508
24,ukraine,MOHR2-0 (Fedchenko),77592,87508
25,ukraine,MOHR2-10 (Klochko),78444,88268
26,ukraine,miropillya,84167,93808
27,ukraine,MOHR2-9 (Klochko),78442,88268
28,ukraine,artemr,86857,98587
29,ukraine,dolya,84253,93808
