,country,name,sid,id
0,vietnam,Nhà Thắng,79502,89301
1,vietnam,Test GH,50039,53653
2,vietnam,Megatech,71174,80301
3,vietnam,Anh Quan Solar,50081,55137
4,vietnam,SolarHome199,48826,53653
5,vietnam,Phuchvt - Phan thiet,51736,57674
6,vietnam,Quoc Solar,50730,56037
7,vietnam,T1410,49688,54649
8,vietnam,NamPC  Solar,48829,53657
9,vietnam,WeGen Yoco,48179,52953
10,vietnam,Hiep - Suoi da,55494,57674
11,vietnam,BinhDuong.Win,51391,57071
12,vietnam,PhuSa_Solar,49831,54811
13,vietnam,Bive_Solar,50455,55648
14,vietnam,Loc Thoai Son,51902,57955
15,vietnam,Powertech01,50777,56104
16,vietnam,HG210,51325,56952
17,vietnam,Hai_SongMay,64919,73180
18,vietnam,tmpHomeSolar,80863,91403
19,vietnam,Ton Quyen,49211,54114
20,vietnam,NgocQuang Solar,50676,55966
21,vietnam,TQHB PV1800,49519,54477
22,vietnam,MagnetVN,83071,94093
23,vietnam,Hiep cho lau,69632,78553
24,vietnam,Hoang Solar,50583,55810
25,vietnam,SolarTrangMinhelectronic,84006,95221
26,vietnam,ECSolar Home,55311,62155
27,vietnam,1700Wp VN,29579,32262
28,vietnam,Swatt_VuHoang,48819,53645
29,vietnam,Quang Trung Solar,50870,56229
